,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",IND,0,L,36,46,0.439,240,39,89,0.438,12,36,0.333,25,27,0.926,9,23,32,25,6,5,15,12,115
1,"APR 12, 2024",MIN,0,L,36,45,0.444,240,40,90,0.444,9,30,0.3,17,25,0.68,9,31,40,23,4,1,14,25,106
2,"APR 10, 2024",CHA,1,L,36,44,0.45,240,43,82,0.524,18,40,0.45,10,16,0.625,7,31,38,35,7,2,16,20,114
3,"APR 09, 2024",MIA,1,L,36,43,0.456,290,45,113,0.398,10,46,0.217,11,14,0.786,17,42,59,28,13,2,15,23,111
4,"APR 06, 2024",DEN,0,L,36,42,0.462,240,37,87,0.425,12,37,0.324,24,29,0.828,11,27,38,30,8,2,16,18,110
5,"APR 04, 2024",DAL,0,L,36,41,0.468,240,34,85,0.4,13,38,0.342,14,21,0.667,11,45,56,21,7,2,21,22,95
6,"APR 03, 2024",DET,1,W,36,40,0.474,240,49,90,0.544,13,38,0.342,10,15,0.667,6,42,48,36,9,8,16,13,121
7,"APR 01, 2024",CHI,0,W,35,40,0.467,240,41,82,0.5,19,40,0.475,12,18,0.667,8,37,45,29,4,5,14,21,113
8,"MAR 30, 2024",MIL,1,L,34,40,0.459,240,42,92,0.457,14,35,0.4,15,18,0.833,9,30,39,24,5,3,11,26,113
9,"MAR 28, 2024",BOS,1,W,34,39,0.466,265,51,104,0.49,15,44,0.341,6,10,0.6,17,36,53,24,5,5,11,17,123
10,"MAR 27, 2024",POR,1,W,33,39,0.458,240,44,85,0.518,16,41,0.39,16,20,0.8,8,33,41,23,12,9,16,17,120
11,"MAR 25, 2024",BOS,1,W,32,39,0.451,240,46,87,0.529,18,36,0.5,10,17,0.588,15,29,44,30,5,3,13,18,120
12,"MAR 23, 2024",CHA,1,W,31,39,0.443,240,50,90,0.556,20,42,0.476,12,14,0.857,11,32,43,40,9,5,8,14,132
13,"MAR 21, 2024",PHX,0,L,30,39,0.435,240,40,91,0.44,12,35,0.343,23,29,0.793,12,24,36,27,11,3,8,23,115
14,"MAR 18, 2024",LAL,0,L,30,38,0.441,240,42,98,0.429,9,41,0.22,12,15,0.8,12,30,42,32,8,5,9,14,105
15,"MAR 17, 2024",LAC,0,W,30,37,0.448,240,41,84,0.488,17,34,0.5,11,12,0.917,10,35,45,32,10,7,14,22,110
16,"MAR 15, 2024",UTA,0,L,29,37,0.439,240,41,92,0.446,20,39,0.513,20,27,0.741,11,30,41,32,7,5,9,16,122
17,"MAR 13, 2024",POR,0,L,29,36,0.446,240,38,88,0.432,14,39,0.359,12,18,0.667,13,25,38,19,11,6,14,23,102
18,"MAR 10, 2024",NOP,1,L,29,35,0.453,240,38,91,0.418,17,46,0.37,10,13,0.769,12,29,41,28,6,4,11,15,103
19,"MAR 08, 2024",MEM,0,W,29,34,0.46,240,37,87,0.425,15,35,0.429,10,15,0.667,15,32,47,21,9,5,14,20,99
20,"MAR 06, 2024",CLE,1,W,28,34,0.452,240,43,84,0.512,11,30,0.367,15,20,0.75,8,34,42,27,7,3,9,17,112
21,"MAR 05, 2024",NYK,0,W,27,34,0.443,240,44,87,0.506,10,31,0.323,18,23,0.783,13,38,51,26,6,5,14,13,116
22,"MAR 02, 2024",BKN,0,L,26,34,0.433,240,37,87,0.425,11,34,0.324,17,23,0.739,12,30,42,23,4,4,11,19,102
23,"FEB 29, 2024",BKN,0,L,26,33,0.441,240,37,86,0.43,8,28,0.286,15,21,0.714,8,31,39,18,3,8,11,14,97
24,"FEB 27, 2024",UTA,1,W,26,32,0.448,240,46,93,0.495,12,32,0.375,20,23,0.87,15,40,55,27,8,8,17,15,124
25,"FEB 25, 2024",ORL,1,W,25,32,0.439,240,41,90,0.456,12,29,0.414,15,17,0.882,9,35,44,31,10,3,9,17,109
26,"FEB 23, 2024",TOR,1,L,24,32,0.429,240,46,106,0.434,12,39,0.308,17,24,0.708,20,34,54,27,5,4,9,11,121
27,"FEB 14, 2024",CHA,0,L,24,31,0.436,240,36,89,0.404,9,38,0.237,18,20,0.9,15,30,45,23,5,6,16,20,99
28,"FEB 12, 2024",CHI,1,L,24,30,0.444,240,44,94,0.468,14,43,0.326,24,29,0.828,15,34,49,33,4,3,11,20,126
29,"FEB 10, 2024",HOU,1,W,24,29,0.453,240,40,88,0.455,14,41,0.341,28,37,0.757,9,32,41,25,7,8,11,18,122
30,"FEB 09, 2024",PHI,0,W,23,29,0.442,240,42,81,0.519,16,36,0.444,27,33,0.818,9,31,40,31,4,9,13,19,127
31,"FEB 07, 2024",BOS,0,L,22,29,0.431,240,43,102,0.422,13,41,0.317,18,20,0.9,13,36,49,24,8,2,9,13,117
32,"FEB 05, 2024",LAC,1,L,22,28,0.44,240,51,95,0.537,20,39,0.513,22,27,0.815,13,26,39,35,5,4,11,22,144
33,"FEB 03, 2024",GSW,1,W,22,27,0.449,265,55,114,0.482,14,43,0.326,17,22,0.773,16,41,57,27,5,4,8,20,141
34,"FEB 02, 2024",PHX,1,W,21,27,0.438,240,49,95,0.516,17,44,0.386,14,18,0.778,12,31,43,29,7,4,9,13,129
35,"JAN 30, 2024",LAL,1,W,20,27,0.426,240,53,101,0.525,16,38,0.421,16,18,0.889,12,34,46,32,10,2,12,18,138
36,"JAN 28, 2024",TOR,1,W,19,27,0.413,240,44,95,0.463,6,27,0.222,32,40,0.8,20,31,51,27,7,4,14,21,126
37,"JAN 26, 2024",DAL,1,L,18,27,0.4,240,51,97,0.526,15,34,0.441,26,30,0.867,12,24,36,32,7,2,7,24,143
38,"JAN 24, 2024",GSW,0,L,18,26,0.409,240,39,94,0.415,14,43,0.326,20,26,0.769,13,32,45,30,7,2,10,16,112
39,"JAN 22, 2024",SAC,0,L,18,25,0.419,240,36,93,0.387,14,40,0.35,21,27,0.778,13,37,50,19,2,7,12,19,107
40,"JAN 20, 2024",CLE,1,L,18,24,0.429,240,37,93,0.398,11,38,0.289,10,15,0.667,11,34,45,25,5,4,11,15,95
41,"JAN 19, 2024",MIA,0,W,18,23,0.439,240,40,87,0.46,15,35,0.429,14,17,0.824,9,29,38,23,6,2,13,20,109
42,"JAN 17, 2024",ORL,1,W,17,23,0.425,240,39,76,0.513,8,25,0.32,20,22,0.909,10,31,41,21,8,2,23,17,106
43,"JAN 15, 2024",SAS,1,W,16,23,0.41,240,40,93,0.43,13,38,0.342,16,21,0.762,13,44,57,24,8,6,16,19,109
44,"JAN 13, 2024",WAS,1,L,15,23,0.395,240,32,93,0.344,11,40,0.275,24,33,0.727,16,34,50,21,9,7,14,20,99
45,"JAN 12, 2024",IND,1,L,15,22,0.405,240,40,89,0.449,11,30,0.367,17,23,0.739,12,16,28,25,14,2,14,13,108
46,"JAN 10, 2024",PHI,1,W,15,21,0.417,265,48,102,0.471,12,34,0.353,31,42,0.738,16,39,55,32,6,8,12,21,139
