,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",OKC,0,L,50,32,0.61,240,32,97,0.33,8,39,0.205,14,17,0.824,12,29,41,19,8,2,14,15,86
1,"APR 12, 2024",DET,1,L,50,31,0.617,240,36,83,0.434,8,29,0.276,9,12,0.75,9,40,49,20,5,5,20,9,89
2,"APR 10, 2024",MIA,0,W,50,30,0.625,240,43,87,0.494,15,44,0.341,10,13,0.769,8,31,39,27,8,8,7,13,111
3,"APR 09, 2024",CHA,0,W,49,30,0.62,240,50,93,0.538,17,50,0.34,13,20,0.65,16,39,55,35,6,7,14,19,130
4,"APR 07, 2024",HOU,1,W,48,30,0.615,265,46,85,0.541,15,39,0.385,40,45,0.889,6,41,47,21,4,6,17,26,147
5,"APR 05, 2024",GSW,1,W,47,30,0.61,240,40,84,0.476,12,34,0.353,16,21,0.762,8,33,41,30,9,9,17,17,108
6,"APR 04, 2024",ATL,1,W,46,30,0.605,240,38,94,0.404,18,49,0.367,15,17,0.882,11,42,53,20,7,7,14,17,109
7,"APR 02, 2024",GSW,0,L,45,30,0.6,240,39,89,0.438,15,40,0.375,7,11,0.636,8,34,42,27,8,7,15,14,100
8,"MAR 31, 2024",HOU,0,W,45,29,0.608,240,48,93,0.516,24,47,0.511,5,9,0.556,10,37,47,24,7,8,13,17,125
9,"MAR 29, 2024",SAC,0,W,44,29,0.603,240,35,74,0.473,15,35,0.429,22,33,0.667,6,36,42,24,4,6,10,12,107
10,"MAR 26, 2024",SAC,0,W,43,29,0.597,240,51,92,0.554,22,39,0.564,8,13,0.615,5,44,49,34,10,4,9,18,132
11,"MAR 25, 2024",UTA,0,W,42,29,0.592,240,44,92,0.478,12,42,0.286,15,18,0.833,10,37,47,31,9,7,6,17,115
12,"MAR 21, 2024",UTA,1,W,41,29,0.586,240,43,86,0.5,10,32,0.313,17,28,0.607,11,32,43,33,12,3,13,20,113
13,"MAR 19, 2024",SAS,0,W,40,29,0.58,240,44,91,0.484,10,30,0.333,15,17,0.882,3,37,40,31,6,3,9,18,113
14,"MAR 17, 2024",DEN,1,W,39,29,0.574,240,42,100,0.42,9,35,0.257,14,21,0.667,22,38,60,22,5,5,11,21,107
