,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",UTA,1,W,46,36,0.561,240,45,94,0.479,14,43,0.326,19,23,0.826,12,30,42,35,10,6,9,14,123
1,"APR 12, 2024",NOP,1,L,45,36,0.556,240,40,86,0.465,13,34,0.382,16,21,0.762,11,42,53,27,6,5,16,15,109
2,"APR 11, 2024",POR,0,W,45,35,0.563,240,36,77,0.468,12,35,0.343,16,20,0.8,10,36,46,24,8,13,16,18,100
3,"APR 09, 2024",LAL,0,W,44,35,0.557,240,47,80,0.588,26,41,0.634,14,21,0.667,4,38,42,37,3,12,15,17,134
4,"APR 07, 2024",UTA,1,W,43,35,0.551,240,49,92,0.533,14,35,0.4,6,6,1.0,11,36,47,32,9,8,13,19,118
5,"APR 05, 2024",DAL,0,L,42,35,0.545,240,41,93,0.441,12,35,0.343,12,18,0.667,11,33,44,27,12,5,15,19,106
6,"APR 04, 2024",HOU,0,W,42,34,0.553,240,47,80,0.588,17,35,0.486,22,25,0.88,12,31,43,29,6,2,18,23,133
7,"APR 02, 2024",DAL,1,W,41,34,0.547,240,41,90,0.456,15,32,0.469,7,7,1.0,11,41,52,29,9,4,17,18,104
8,"MAR 31, 2024",SAS,0,W,40,34,0.541,240,45,92,0.489,16,39,0.41,11,13,0.846,12,29,41,34,15,3,15,14,117
9,"MAR 29, 2024",CHA,0,W,39,34,0.534,240,48,89,0.539,11,32,0.344,8,9,0.889,11,39,50,35,7,5,12,19,115
10,"MAR 27, 2024",ORL,0,W,38,34,0.528,240,40,90,0.444,10,34,0.294,11,13,0.846,12,40,52,26,5,5,12,18,101
11,"MAR 26, 2024",MIA,0,W,37,34,0.521,240,47,85,0.553,13,38,0.342,6,10,0.6,7,36,43,31,6,5,10,20,113
12,"MAR 24, 2024",MIN,0,L,36,34,0.514,240,38,85,0.447,14,36,0.389,20,26,0.769,7,34,41,23,8,3,12,19,110
13,"MAR 22, 2024",IND,1,L,36,33,0.522,240,43,106,0.406,14,48,0.292,11,16,0.688,24,40,64,24,6,6,14,15,111
14,"MAR 20, 2024",MEM,1,W,36,32,0.529,240,58,100,0.58,19,39,0.487,2,6,0.333,13,35,48,43,6,5,6,17,137
15,"MAR 18, 2024",NYK,1,L,35,32,0.522,240,42,88,0.477,14,36,0.389,14,18,0.778,12,27,39,29,7,5,13,16,112
16,"MAR 16, 2024",LAL,0,W,35,31,0.53,240,51,97,0.526,14,34,0.412,12,15,0.8,14,31,45,38,3,4,7,19,128
17,"MAR 13, 2024",DAL,0,L,34,31,0.523,240,37,92,0.402,9,28,0.321,16,19,0.842,15,27,42,19,9,3,15,20,99
18,"MAR 11, 2024",SAS,0,W,34,30,0.531,240,46,93,0.495,12,27,0.444,8,12,0.667,10,35,45,28,7,4,13,19,112
19,"MAR 09, 2024",SAS,1,L,33,30,0.524,240,41,88,0.466,10,30,0.333,21,29,0.724,9,30,39,26,9,7,12,24,113
20,"MAR 07, 2024",CHI,1,L,33,29,0.532,240,44,97,0.454,11,42,0.262,23,28,0.821,13,35,48,31,8,2,11,22,122
21,"MAR 06, 2024",MIL,1,W,33,28,0.541,240,51,91,0.56,19,39,0.487,4,7,0.571,8,42,50,37,10,13,14,13,125
22,"MAR 03, 2024",BOS,0,L,32,28,0.533,240,36,92,0.391,7,41,0.171,9,13,0.692,12,34,46,24,2,3,17,13,88
23,"MAR 01, 2024",TOR,0,W,32,27,0.542,240,44,98,0.449,18,44,0.409,14,18,0.778,15,41,56,26,10,5,14,14,120
24,"FEB 29, 2024",NYK,0,W,31,27,0.534,240,44,98,0.449,14,44,0.318,8,16,0.5,16,37,53,26,8,5,11,19,110
25,"FEB 27, 2024",WAS,0,W,30,27,0.526,240,47,94,0.5,21,46,0.457,8,11,0.727,9,35,44,39,12,6,18,11,123
26,"FEB 25, 2024",DEN,1,L,29,27,0.518,240,35,81,0.432,11,34,0.324,22,29,0.759,11,31,42,27,5,3,17,18,103
27,"FEB 23, 2024",CHA,1,W,29,26,0.527,240,38,89,0.427,13,42,0.31,8,10,0.8,13,40,53,28,7,7,21,15,97
28,"FEB 22, 2024",LAL,1,W,28,26,0.519,240,50,107,0.467,16,41,0.39,12,14,0.857,15,33,48,32,6,4,9,19,128
29,"FEB 15, 2024",UTA,0,W,27,26,0.509,240,49,92,0.533,20,42,0.476,22,28,0.786,13,28,41,42,8,6,13,19,140
30,"FEB 14, 2024",LAC,1,L,26,26,0.5,240,47,103,0.456,18,47,0.383,13,18,0.722,13,34,47,34,7,2,9,25,125
31,"FEB 12, 2024",UTA,0,W,26,25,0.51,240,48,100,0.48,20,44,0.455,13,17,0.765,12,39,51,31,8,4,13,13,129
32,"FEB 10, 2024",PHX,1,W,25,25,0.5,240,45,101,0.446,17,41,0.415,6,11,0.545,13,39,52,33,6,2,13,20,113
33,"FEB 08, 2024",IND,0,W,24,25,0.49,240,52,93,0.559,17,32,0.531,10,13,0.769,10,39,49,33,7,7,17,22,131
34,"FEB 07, 2024",PHI,0,W,23,25,0.479,240,47,94,0.5,16,38,0.421,17,22,0.773,12,40,52,30,7,8,12,21,127
35,"FEB 05, 2024",BKN,0,W,22,25,0.468,240,43,93,0.462,4,22,0.182,19,23,0.826,16,44,60,24,7,8,13,17,109
36,"FEB 03, 2024",ATL,0,L,21,25,0.457,265,50,112,0.446,18,56,0.321,16,20,0.8,14,43,57,26,4,7,14,23,134
37,"FEB 02, 2024",MEM,0,W,21,24,0.467,240,46,83,0.554,11,29,0.379,18,22,0.818,6,40,46,32,7,8,14,17,121
38,"JAN 30, 2024",PHI,1,W,20,24,0.455,240,44,79,0.557,14,32,0.438,17,19,0.895,8,34,42,32,6,6,16,20,119
39,"JAN 27, 2024",LAL,1,L,19,24,0.442,290,55,119,0.462,23,58,0.397,11,16,0.688,11,39,50,37,11,3,17,34,144
40,"JAN 25, 2024",SAC,1,L,19,23,0.452,240,48,86,0.558,19,37,0.514,18,23,0.783,6,27,33,30,7,3,13,19,133
41,"JAN 24, 2024",ATL,1,W,19,22,0.463,240,51,91,0.56,16,33,0.485,16,22,0.727,11,38,49,26,6,9,10,18,134
42,"JAN 15, 2024",MEM,0,L,18,22,0.45,240,44,90,0.489,10,31,0.323,9,10,0.9,7,38,45,28,4,6,19,25,107
43,"JAN 13, 2024",MIL,0,L,18,21,0.462,240,47,98,0.48,15,36,0.417,9,14,0.643,12,29,41,23,5,4,7,16,118
