,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",LAC,0,W,41,41,0.5,240,50,103,0.485,11,38,0.289,5,14,0.357,17,42,59,31,7,8,18,13,116
1,"APR 12, 2024",POR,0,W,40,41,0.494,240,44,92,0.478,11,39,0.282,17,20,0.85,10,38,48,25,3,5,8,20,116
2,"APR 11, 2024",UTA,0,L,39,41,0.488,240,40,95,0.421,21,47,0.447,20,22,0.909,16,23,39,22,8,6,10,18,121
3,"APR 09, 2024",ORL,1,W,39,40,0.494,240,45,86,0.523,15,35,0.429,13,18,0.722,6,31,37,29,8,7,12,21,118
4,"APR 07, 2024",DAL,0,L,38,40,0.487,265,46,93,0.495,17,41,0.415,27,35,0.771,4,28,32,31,11,6,10,34,136
5,"APR 05, 2024",MIA,1,L,38,39,0.494,240,34,90,0.378,14,44,0.318,22,25,0.88,12,33,45,25,7,2,9,13,104
6,"APR 04, 2024",GSW,1,L,38,38,0.5,240,36,86,0.419,12,40,0.3,26,30,0.867,12,17,29,23,11,1,12,19,110
7,"APR 02, 2024",MIN,0,L,38,37,0.507,240,41,92,0.446,14,48,0.292,10,14,0.714,12,25,37,23,10,0,14,23,106
8,"MAR 31, 2024",DAL,1,L,38,36,0.514,240,39,92,0.424,13,38,0.342,16,19,0.842,12,31,43,22,9,3,10,14,107
9,"MAR 29, 2024",UTA,0,W,38,35,0.521,240,35,91,0.385,13,42,0.31,18,28,0.643,15,30,45,19,10,6,10,18,101
10,"MAR 27, 2024",OKC,0,W,37,35,0.514,265,50,104,0.481,15,43,0.349,17,23,0.739,16,34,50,25,10,3,16,24,132
11,"MAR 25, 2024",POR,1,W,36,35,0.507,240,37,93,0.398,12,39,0.308,24,25,0.96,13,32,45,19,7,7,8,16,110
12,"MAR 23, 2024",UTA,1,W,35,35,0.5,240,54,97,0.557,27,49,0.551,12,14,0.857,12,32,44,31,7,3,9,26,147
13,"MAR 21, 2024",CHI,1,W,34,35,0.493,240,47,93,0.505,17,45,0.378,16,20,0.8,13,36,49,27,7,6,14,21,127
14,"MAR 19, 2024",WAS,0,W,33,35,0.485,240,47,91,0.516,13,39,0.333,30,36,0.833,12,35,47,25,6,11,7,15,137
15,"MAR 16, 2024",CLE,1,W,32,35,0.478,240,47,98,0.48,15,42,0.357,8,12,0.667,11,37,48,28,9,7,9,19,117
16,"MAR 14, 2024",WAS,1,W,31,35,0.47,240,51,87,0.586,12,28,0.429,21,24,0.875,8,39,47,24,7,1,17,19,135
17,"MAR 12, 2024",SAS,0,W,30,35,0.462,240,37,80,0.463,10,32,0.313,19,21,0.905,8,28,36,21,10,5,12,19,103
18,"MAR 10, 2024",SAC,0,W,29,35,0.453,240,39,84,0.464,12,29,0.414,22,27,0.815,6,36,42,23,8,1,12,18,112
19,"MAR 08, 2024",POR,0,W,28,35,0.444,240,45,94,0.479,14,37,0.378,19,26,0.731,14,33,47,33,12,10,7,15,123
20,"MAR 06, 2024",LAC,1,L,27,35,0.435,240,45,94,0.479,16,37,0.432,10,17,0.588,13,25,38,33,6,2,8,21,116
