,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",HOU,1,L,51,31,0.622,240,41,104,0.394,8,37,0.216,15,17,0.882,16,35,51,23,13,8,12,14,105
1,"APR 12, 2024",UTA,1,L,51,30,0.63,240,43,96,0.448,10,39,0.256,13,19,0.684,20,24,44,23,9,7,13,17,109
2,"APR 10, 2024",PHX,1,L,51,29,0.638,240,44,95,0.463,12,36,0.333,8,10,0.8,9,35,44,23,9,3,12,13,108
3,"APR 09, 2024",PHX,0,W,51,28,0.646,240,41,87,0.471,12,26,0.462,11,11,1.0,10,53,63,28,5,3,18,22,105
4,"APR 07, 2024",CLE,1,W,50,28,0.641,240,41,84,0.488,14,35,0.4,24,24,1.0,11,37,48,26,5,2,15,22,120
5,"APR 05, 2024",UTA,1,W,49,28,0.636,240,51,91,0.56,13,35,0.371,16,18,0.889,8,43,51,32,9,4,14,22,131
6,"APR 04, 2024",DEN,1,W,48,28,0.632,240,34,90,0.378,7,33,0.212,27,32,0.844,7,41,48,22,10,2,6,20,102
7,"APR 02, 2024",SAC,0,L,47,28,0.627,240,31,76,0.408,11,27,0.407,22,27,0.815,9,29,38,18,6,1,15,21,95
8,"MAR 31, 2024",CHA,0,W,47,27,0.635,240,43,75,0.573,14,29,0.483,30,34,0.882,7,34,41,28,4,5,8,16,130
9,"MAR 29, 2024",ORL,0,W,46,27,0.63,240,41,85,0.482,8,24,0.333,10,12,0.833,12,29,41,19,11,4,16,17,100
10,"MAR 27, 2024",PHI,0,W,45,27,0.625,240,40,90,0.444,14,36,0.389,14,20,0.7,11,32,43,28,8,5,6,16,108
11,"MAR 25, 2024",IND,1,L,44,27,0.62,240,46,85,0.541,6,20,0.3,18,22,0.818,11,25,36,26,4,4,8,19,116
12,"MAR 24, 2024",PHI,1,L,44,26,0.629,240,40,83,0.482,10,28,0.357,17,18,0.944,10,27,37,27,2,9,13,11,107
13,"MAR 22, 2024",POR,0,W,44,25,0.638,240,44,77,0.571,14,33,0.424,23,27,0.852,7,33,40,26,8,8,17,21,125
14,"MAR 20, 2024",POR,0,W,43,25,0.632,240,45,86,0.523,13,31,0.419,13,15,0.867,8,34,42,29,15,7,11,13,116
15,"MAR 17, 2024",ATL,1,L,42,25,0.627,240,28,74,0.378,11,36,0.306,26,29,0.897,10,30,40,17,10,5,15,13,93
16,"MAR 15, 2024",NOP,0,L,42,24,0.636,240,37,77,0.481,12,33,0.364,18,19,0.947,5,32,37,18,6,8,12,17,104
17,"MAR 14, 2024",CHI,0,W,42,23,0.646,240,48,80,0.6,20,40,0.5,10,14,0.714,6,29,35,32,9,2,9,16,126
18,"MAR 12, 2024",MIN,1,L,41,23,0.641,240,34,72,0.472,11,30,0.367,21,25,0.84,8,26,34,22,7,4,18,18,100
19,"MAR 10, 2024",MIL,1,L,41,22,0.651,240,47,104,0.452,14,47,0.298,9,10,0.9,17,35,52,30,3,9,10,23,117
20,"MAR 09, 2024",CHI,1,W,41,21,0.661,240,42,84,0.5,12,35,0.343,16,18,0.889,9,36,45,29,7,6,13,20,112
