,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",TOR,1,W,46,36,0.561,240,46,87,0.529,9,36,0.25,17,19,0.895,13,33,46,29,13,7,19,16,118
1,"APR 12, 2024",TOR,1,W,45,36,0.556,240,45,86,0.523,17,41,0.415,18,23,0.783,6,31,37,37,7,2,4,16,125
2,"APR 10, 2024",DAL,1,L,44,36,0.55,240,33,81,0.407,13,30,0.433,13,13,1.0,12,34,46,22,3,1,15,16,92
3,"APR 09, 2024",ATL,0,W,44,35,0.557,290,42,88,0.477,18,45,0.4,15,21,0.714,5,41,46,29,8,3,18,16,117
4,"APR 07, 2024",IND,0,L,43,35,0.551,240,39,84,0.464,8,27,0.296,29,32,0.906,8,31,39,21,3,2,7,22,115
5,"APR 05, 2024",HOU,0,W,43,34,0.558,240,44,89,0.494,13,36,0.361,18,21,0.857,8,40,48,27,8,4,9,18,119
6,"APR 04, 2024",PHI,1,L,42,34,0.553,240,39,94,0.415,13,43,0.302,14,16,0.875,16,35,51,24,8,4,15,10,105
7,"APR 02, 2024",NYK,1,W,42,33,0.56,240,36,74,0.486,17,38,0.447,20,21,0.952,7,32,39,24,5,4,17,17,109
8,"MAR 31, 2024",WAS,0,W,41,33,0.554,240,40,81,0.494,14,36,0.389,25,29,0.862,6,36,42,22,11,8,13,19,119
9,"MAR 29, 2024",POR,1,W,40,33,0.548,240,54,92,0.587,21,39,0.538,13,18,0.722,6,38,44,41,17,4,8,13,142
10,"MAR 26, 2024",GSW,1,L,39,33,0.542,240,37,92,0.402,8,33,0.242,10,13,0.769,11,28,39,24,3,2,8,9,92
11,"MAR 24, 2024",CLE,1,W,39,32,0.549,240,43,83,0.518,15,38,0.395,20,23,0.87,9,35,44,29,13,0,9,17,121
12,"MAR 22, 2024",NOP,1,L,38,32,0.543,240,31,86,0.36,13,47,0.277,13,15,0.867,7,27,34,22,3,4,4,9,88
13,"MAR 20, 2024",CLE,0,W,38,31,0.551,240,38,83,0.458,13,36,0.361,18,19,0.947,7,30,37,19,7,2,7,20,107
14,"MAR 18, 2024",PHI,0,L,37,31,0.544,240,35,89,0.393,12,33,0.364,9,14,0.643,11,38,49,23,8,3,15,13,91
15,"MAR 17, 2024",DET,0,W,37,30,0.552,240,40,89,0.449,12,35,0.343,12,16,0.75,11,36,47,24,7,2,9,11,104
16,"MAR 15, 2024",DET,0,W,36,30,0.545,240,43,91,0.473,7,34,0.206,15,21,0.714,9,35,44,23,14,6,8,16,108
17,"MAR 13, 2024",DEN,1,L,35,30,0.538,240,34,80,0.425,5,21,0.238,15,18,0.833,8,34,42,18,5,2,8,13,88
18,"MAR 10, 2024",WAS,1,L,35,29,0.547,240,43,95,0.453,10,33,0.303,12,18,0.667,16,35,51,20,9,6,13,18,108
19,"MAR 08, 2024",OKC,0,L,35,28,0.556,240,38,82,0.463,11,29,0.379,13,18,0.722,7,36,43,24,6,5,10,16,100
20,"MAR 07, 2024",DAL,0,L,35,27,0.565,240,40,82,0.488,17,38,0.447,11,17,0.647,2,35,37,30,7,2,10,20,108
21,"MAR 05, 2024",DET,1,W,35,26,0.574,240,42,85,0.494,14,31,0.452,20,23,0.87,8,34,42,27,7,5,9,14,118
22,"MAR 02, 2024",UTA,1,W,34,26,0.567,240,46,88,0.523,13,34,0.382,21,25,0.84,8,26,34,33,6,6,6,20,126
23,"FEB 29, 2024",DEN,0,L,33,26,0.559,240,35,83,0.422,7,26,0.269,20,24,0.833,9,36,45,21,10,1,14,16,97
24,"FEB 27, 2024",POR,0,W,33,25,0.569,240,37,70,0.529,14,26,0.538,18,26,0.692,6,28,34,29,8,8,18,19,106
25,"FEB 26, 2024",SAC,0,W,32,25,0.561,240,45,87,0.517,11,30,0.367,20,25,0.8,10,29,39,27,12,3,11,12,121
26,"FEB 23, 2024",NOP,0,W,31,25,0.554,240,38,82,0.463,13,29,0.448,17,25,0.68,10,36,46,20,6,11,14,14,106
27,"FEB 14, 2024",PHI,0,W,30,25,0.545,240,42,88,0.477,11,35,0.314,14,15,0.933,10,33,43,27,10,1,13,17,109
28,"FEB 13, 2024",MIL,0,W,29,25,0.537,240,45,87,0.517,19,40,0.475,14,18,0.778,7,40,47,34,10,3,14,13,123
29,"FEB 11, 2024",BOS,1,L,28,25,0.528,240,40,97,0.412,12,40,0.3,14,15,0.933,14,31,45,21,4,2,7,14,106
30,"FEB 07, 2024",SAS,1,W,28,24,0.538,240,43,87,0.494,12,38,0.316,18,23,0.783,5,40,45,29,8,2,10,20,116
31,"FEB 06, 2024",ORL,1,W,27,24,0.529,240,47,87,0.54,13,36,0.361,14,18,0.778,11,34,45,31,10,3,13,19,121
32,"FEB 04, 2024",LAC,1,L,26,24,0.52,240,38,91,0.418,8,30,0.267,11,12,0.917,12,33,45,24,9,0,10,19,95
33,"FEB 02, 2024",WAS,0,W,26,23,0.531,240,38,88,0.432,7,31,0.226,27,35,0.771,14,45,59,24,4,1,12,18,110
