,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",LAL,1,L,49,33,0.598,240,41,86,0.477,15,37,0.405,11,14,0.786,10,29,39,26,8,1,19,17,108
1,"APR 12, 2024",GSW,0,W,49,32,0.605,240,42,90,0.467,20,38,0.526,10,16,0.625,5,33,38,24,11,5,8,13,114
2,"APR 11, 2024",SAC,0,W,48,32,0.6,240,49,86,0.57,22,40,0.55,15,18,0.833,5,35,40,35,7,2,13,16,135
3,"APR 09, 2024",POR,0,W,47,32,0.595,240,36,87,0.414,11,36,0.306,27,29,0.931,13,32,45,25,13,2,9,9,110
4,"APR 07, 2024",PHX,0,W,46,32,0.59,240,40,85,0.471,16,39,0.41,17,19,0.895,8,34,42,26,8,7,12,17,113
5,"APR 05, 2024",SAS,1,L,45,32,0.584,240,44,86,0.512,9,29,0.31,12,12,1.0,11,30,41,28,11,2,17,17,109
6,"APR 03, 2024",ORL,1,L,45,31,0.592,240,36,76,0.474,12,29,0.414,24,28,0.857,7,28,35,21,9,1,14,26,108
7,"APR 01, 2024",PHX,1,L,45,30,0.6,240,42,89,0.472,11,27,0.407,16,24,0.667,12,25,37,29,10,1,9,17,111
8,"MAR 30, 2024",BOS,1,L,45,29,0.608,240,34,86,0.395,13,35,0.371,11,18,0.611,10,31,41,22,9,3,9,12,92
9,"MAR 28, 2024",MIL,1,W,45,28,0.616,240,36,91,0.396,8,32,0.25,27,34,0.794,11,37,48,22,11,5,6,19,107
10,"MAR 26, 2024",OKC,1,L,44,28,0.611,240,39,86,0.453,14,38,0.368,20,23,0.87,5,32,37,26,7,2,9,18,112
11,"MAR 24, 2024",DET,0,W,44,27,0.62,240,41,81,0.506,11,34,0.324,21,31,0.677,6,35,41,27,8,7,10,22,114
12,"MAR 22, 2024",MIA,0,W,43,27,0.614,240,42,82,0.512,18,36,0.5,9,12,0.75,12,44,56,25,3,2,12,13,111
13,"MAR 21, 2024",ORL,0,L,42,27,0.609,240,42,78,0.538,6,20,0.3,16,21,0.762,3,30,33,24,11,1,18,18,106
14,"MAR 19, 2024",BKN,0,W,42,26,0.618,240,42,83,0.506,10,34,0.294,10,13,0.769,11,37,48,29,7,5,13,19,104
15,"MAR 16, 2024",POR,1,W,41,26,0.612,240,52,97,0.536,13,33,0.394,9,10,0.9,10,29,39,36,8,5,9,13,126
16,"MAR 15, 2024",LAC,1,W,40,26,0.606,240,42,87,0.483,13,35,0.371,15,20,0.75,9,31,40,28,8,2,8,21,112
17,"MAR 13, 2024",CLE,1,L,39,26,0.6,240,35,80,0.438,4,22,0.182,21,26,0.808,7,36,43,22,7,6,11,13,95
18,"MAR 10, 2024",ATL,0,W,39,25,0.609,240,43,75,0.573,14,27,0.519,16,22,0.727,4,39,43,32,8,7,12,10,116
19,"MAR 08, 2024",PHI,0,W,38,25,0.603,240,35,79,0.443,11,31,0.355,22,23,0.957,9,39,48,22,7,10,12,18,103
20,"MAR 05, 2024",TOR,0,W,37,25,0.597,240,53,105,0.505,24,49,0.49,9,11,0.818,17,45,62,38,9,5,11,19,139
21,"MAR 01, 2024",IND,1,W,36,25,0.59,240,48,86,0.558,15,32,0.469,18,26,0.692,11,36,47,25,9,4,17,17,129
22,"FEB 28, 2024",IND,0,L,35,25,0.583,240,42,90,0.467,11,29,0.379,19,23,0.826,7,33,40,26,2,4,10,12,114
23,"FEB 27, 2024",NYK,0,W,35,24,0.593,240,39,77,0.506,18,34,0.529,19,23,0.826,10,34,44,23,4,5,14,21,115
24,"FEB 25, 2024",CHI,1,L,34,24,0.586,240,40,88,0.455,16,41,0.39,10,14,0.714,12,37,49,25,5,7,19,17,106
25,"FEB 23, 2024",MIA,1,L,34,23,0.596,240,39,104,0.375,7,32,0.219,10,13,0.769,18,36,54,20,6,7,11,19,95
26,"FEB 22, 2024",HOU,1,W,34,22,0.607,240,50,96,0.521,16,41,0.39,11,18,0.611,9,34,43,35,16,6,13,21,127
27,"FEB 14, 2024",WAS,1,W,33,22,0.6,240,50,89,0.562,10,32,0.313,23,29,0.793,8,31,39,36,14,6,10,21,133
28,"FEB 12, 2024",MEM,0,W,32,22,0.593,240,32,78,0.41,13,35,0.371,19,24,0.792,12,37,49,21,12,4,17,18,96
29,"FEB 10, 2024",POR,0,W,31,22,0.585,240,36,76,0.474,10,27,0.37,11,16,0.688,8,28,36,27,9,6,12,14,93
30,"FEB 09, 2024",LAL,0,L,30,22,0.577,240,46,89,0.517,11,29,0.379,19,23,0.826,10,31,41,28,5,7,13,22,122
31,"FEB 07, 2024",LAC,0,W,30,21,0.588,240,47,88,0.534,12,32,0.375,11,16,0.688,8,30,38,30,13,5,12,17,117
32,"FEB 05, 2024",TOR,1,W,29,21,0.58,240,53,104,0.51,19,45,0.422,13,13,1.0,17,34,51,36,11,5,7,13,138
33,"FEB 02, 2024",SAS,0,W,28,21,0.571,240,46,95,0.484,7,26,0.269,15,21,0.714,13,26,39,29,14,3,9,17,114
34,"JAN 31, 2024",HOU,0,W,27,21,0.563,240,41,82,0.5,11,34,0.324,17,24,0.708,12,44,56,20,3,6,16,22,110
35,"JAN 29, 2024",BOS,0,L,26,21,0.553,240,46,91,0.505,10,35,0.286,10,13,0.769,9,31,40,21,7,6,12,14,112
36,"JAN 27, 2024",MIL,0,L,26,20,0.565,240,40,85,0.471,9,23,0.391,28,36,0.778,9,34,43,20,5,3,14,17,117
37,"JAN 26, 2024",OKC,1,L,26,19,0.578,240,32,82,0.39,9,36,0.25,10,14,0.714,8,33,41,24,9,5,20,16,83
38,"JAN 23, 2024",UTA,1,W,26,18,0.591,240,60,104,0.577,23,46,0.5,10,15,0.667,12,45,57,41,5,4,9,24,153
39,"JAN 19, 2024",PHX,1,L,25,18,0.581,240,41,93,0.441,10,42,0.238,17,23,0.739,9,33,42,27,4,5,11,16,109
40,"JAN 17, 2024",CHA,1,W,25,17,0.595,240,44,88,0.5,25,47,0.532,19,23,0.826,16,34,50,32,11,3,12,14,132
