,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",CHI,1,W,50,32,0.61,265,46,91,0.505,12,32,0.375,16,21,0.762,16,37,53,27,7,6,21,17,120
1,"APR 12, 2024",BKN,1,W,49,32,0.605,240,38,83,0.458,14,30,0.467,21,25,0.84,8,23,31,21,10,3,5,15,111
2,"APR 11, 2024",BOS,0,W,48,32,0.6,240,49,99,0.495,14,36,0.389,6,10,0.6,17,35,52,24,7,4,12,12,118
3,"APR 09, 2024",CHI,0,W,47,32,0.595,240,46,83,0.554,17,36,0.472,19,20,0.95,6,25,31,31,6,4,10,15,128
4,"APR 07, 2024",MIL,0,W,46,32,0.59,240,45,92,0.489,14,29,0.483,18,22,0.818,13,28,41,25,9,6,5,22,122
5,"APR 05, 2024",CHI,0,L,45,32,0.584,240,36,83,0.434,10,29,0.345,18,24,0.75,9,29,38,22,9,2,17,15,100
6,"APR 04, 2024",SAC,1,W,45,31,0.592,240,44,80,0.55,12,28,0.429,20,29,0.69,9,30,39,34,9,2,11,20,120
7,"APR 02, 2024",MIA,0,L,44,31,0.587,240,35,76,0.461,12,34,0.353,17,21,0.81,7,23,30,25,11,2,14,17,99
8,"MAR 31, 2024",OKC,1,L,44,30,0.595,240,38,92,0.413,13,43,0.302,23,34,0.676,15,31,46,24,8,3,10,19,112
9,"MAR 29, 2024",SAS,0,L,44,29,0.603,265,51,110,0.464,14,37,0.378,10,12,0.833,18,32,50,24,10,1,11,24,126
10,"MAR 27, 2024",TOR,0,W,44,28,0.611,240,55,94,0.585,22,44,0.5,13,16,0.813,15,27,42,37,7,8,11,17,145
11,"MAR 25, 2024",DET,1,W,43,28,0.606,240,45,89,0.506,19,46,0.413,15,22,0.682,12,40,52,30,6,6,13,18,124
12,"MAR 23, 2024",BKN,1,W,42,28,0.6,240,42,97,0.433,15,40,0.375,6,12,0.5,16,31,47,25,10,4,9,15,105
13,"MAR 21, 2024",DEN,0,L,41,28,0.594,240,38,79,0.481,11,31,0.355,13,17,0.765,4,27,31,28,6,6,9,18,100
14,"MAR 18, 2024",GSW,0,W,41,27,0.603,240,44,91,0.484,14,37,0.378,17,20,0.85,14,30,44,29,6,1,10,17,119
