,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",DAL,1,W,57,25,0.695,240,54,97,0.557,14,34,0.412,13,16,0.813,11,47,58,38,6,6,14,17,135
1,"APR 12, 2024",MIL,1,W,56,25,0.691,240,47,89,0.528,13,38,0.342,18,20,0.9,8,30,38,29,13,5,10,12,125
2,"APR 10, 2024",SAS,1,W,55,25,0.688,240,47,101,0.465,16,38,0.421,17,21,0.81,7,55,62,33,12,6,12,16,127
3,"APR 09, 2024",SAC,1,W,54,25,0.684,240,39,80,0.488,11,30,0.367,23,31,0.742,6,36,42,21,11,8,13,18,112
4,"APR 07, 2024",CHA,0,W,53,25,0.679,240,45,87,0.517,18,36,0.5,13,17,0.765,10,26,36,33,14,4,16,17,121
5,"APR 05, 2024",IND,0,L,52,25,0.675,240,42,86,0.488,8,30,0.267,20,24,0.833,9,30,39,24,8,6,15,17,112
6,"APR 03, 2024",BOS,0,L,52,24,0.684,240,35,81,0.432,5,24,0.208,25,28,0.893,5,26,31,21,8,5,13,11,100
7,"APR 02, 2024",PHI,0,L,52,23,0.693,240,37,87,0.425,13,39,0.333,18,22,0.818,12,31,43,30,10,9,14,18,105
8,"MAR 31, 2024",NYK,0,W,52,22,0.703,240,44,82,0.537,13,34,0.382,12,24,0.5,9,34,43,29,6,8,12,23,113
9,"MAR 29, 2024",PHX,1,W,51,22,0.699,240,49,87,0.563,16,30,0.533,14,14,1.0,7,31,38,33,7,7,10,13,128
10,"MAR 27, 2024",HOU,1,L,50,22,0.694,265,47,96,0.49,14,38,0.368,18,24,0.75,13,36,49,26,7,7,19,24,126
11,"MAR 26, 2024",NOP,0,W,50,21,0.704,240,46,86,0.535,15,34,0.441,12,14,0.857,7,38,45,28,5,3,12,17,119
12,"MAR 24, 2024",MIL,0,L,49,21,0.7,240,33,89,0.371,10,43,0.233,17,22,0.773,10,27,37,20,9,1,12,16,93
13,"MAR 22, 2024",TOR,0,W,49,20,0.71,240,48,95,0.505,12,32,0.375,15,19,0.789,13,33,46,27,17,5,15,20,123
14,"MAR 20, 2024",UTA,1,W,48,20,0.706,240,43,88,0.489,10,34,0.294,23,29,0.793,10,35,45,29,10,7,10,16,119
15,"MAR 16, 2024",MEM,0,W,47,20,0.701,240,45,87,0.517,12,35,0.343,16,21,0.762,8,37,45,25,7,8,11,19,118
16,"MAR 14, 2024",DAL,1,W,46,20,0.697,240,45,86,0.523,16,39,0.41,20,23,0.87,8,26,34,28,10,7,13,24,126
17,"MAR 12, 2024",IND,1,L,45,20,0.692,240,43,99,0.434,14,37,0.378,11,15,0.733,13,37,50,24,5,4,12,16,111
18,"MAR 10, 2024",MEM,1,W,45,19,0.703,240,49,93,0.527,21,47,0.447,5,5,1.0,8,38,46,36,8,6,10,18,124
19,"MAR 08, 2024",MIA,1,W,44,19,0.698,240,42,89,0.472,12,38,0.316,11,13,0.846,9,36,45,28,5,8,9,16,107
20,"MAR 06, 2024",POR,0,W,43,19,0.694,240,43,74,0.581,9,22,0.409,33,39,0.846,7,32,39,23,10,5,18,18,128
