,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",MIN,0,W,49,33,0.598,240,47,86,0.547,16,29,0.552,15,18,0.833,13,19,32,28,13,3,12,24,125
1,"APR 12, 2024",SAC,0,W,48,33,0.593,240,40,76,0.526,12,32,0.375,16,17,0.941,6,35,41,25,4,4,18,16,108
2,"APR 10, 2024",LAC,0,W,47,33,0.588,240,46,95,0.484,18,50,0.36,14,15,0.933,9,39,48,29,8,6,13,13,124
3,"APR 09, 2024",LAC,1,L,46,33,0.582,240,30,89,0.337,8,35,0.229,24,28,0.857,8,30,38,17,16,7,8,13,92
4,"APR 07, 2024",NOP,1,L,46,32,0.59,240,39,87,0.448,14,39,0.359,13,14,0.929,9,29,38,30,7,8,15,17,105
5,"APR 05, 2024",MIN,1,W,46,31,0.597,240,33,76,0.434,9,26,0.346,22,29,0.759,7,42,49,29,12,3,18,19,97
6,"APR 03, 2024",CLE,1,W,45,31,0.592,240,44,87,0.506,18,33,0.545,16,17,0.941,8,35,43,32,11,2,15,17,122
7,"APR 01, 2024",NOP,0,W,44,31,0.587,240,43,87,0.494,18,47,0.383,20,25,0.8,16,33,49,29,7,6,12,21,124
8,"MAR 29, 2024",OKC,0,L,43,31,0.581,240,39,87,0.448,13,41,0.317,12,15,0.8,13,26,39,26,6,6,14,15,103
9,"MAR 27, 2024",DEN,0,W,43,30,0.589,240,39,83,0.47,16,33,0.485,10,11,0.909,12,39,51,29,3,7,16,13,104
10,"MAR 25, 2024",SAS,0,L,42,30,0.583,240,42,83,0.506,10,28,0.357,8,14,0.571,5,42,47,28,5,7,14,14,102
11,"MAR 23, 2024",SAS,0,W,42,29,0.592,240,56,94,0.596,11,24,0.458,8,10,0.8,7,32,39,38,11,5,8,18,131
12,"MAR 21, 2024",ATL,1,W,41,29,0.586,240,41,74,0.554,22,41,0.537,24,27,0.889,7,31,38,28,4,11,17,19,128
13,"MAR 20, 2024",PHI,1,W,40,29,0.58,240,45,90,0.5,19,39,0.487,6,8,0.75,14,41,55,34,7,12,23,18,115
14,"MAR 17, 2024",MIL,0,L,39,29,0.574,240,51,87,0.586,14,33,0.424,13,15,0.867,7,32,39,36,7,5,12,16,129
15,"MAR 15, 2024",CHA,0,W,39,28,0.582,240,40,87,0.46,11,38,0.289,16,20,0.8,10,47,57,31,3,3,10,20,107
