,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",SAC,0,L,21,61,0.256,240,31,98,0.316,7,45,0.156,13,17,0.765,23,31,54,18,11,2,17,19,82
1,"APR 12, 2024",HOU,1,L,21,60,0.259,240,37,95,0.389,12,35,0.343,21,29,0.724,16,32,48,20,4,5,7,14,107
2,"APR 11, 2024",GSW,1,L,21,59,0.263,240,35,97,0.361,8,34,0.235,14,17,0.824,20,29,49,22,9,3,12,18,92
3,"APR 09, 2024",NOP,1,L,21,58,0.266,240,40,85,0.471,13,38,0.342,7,8,0.875,13,34,47,28,3,3,21,19,100
4,"APR 07, 2024",BOS,0,L,21,57,0.269,240,40,102,0.392,14,38,0.368,13,13,1.0,22,31,53,26,8,2,14,12,107
5,"APR 05, 2024",WAS,0,W,21,56,0.273,240,41,94,0.436,9,29,0.31,17,24,0.708,16,39,55,29,7,5,12,23,108
6,"APR 03, 2024",CHA,0,W,20,56,0.263,240,37,93,0.398,7,26,0.269,8,12,0.667,14,41,55,19,4,2,15,19,89
7,"APR 01, 2024",ORL,0,L,19,56,0.253,240,40,90,0.444,11,31,0.355,12,15,0.8,11,33,44,28,9,3,9,21,103
8,"MAR 29, 2024",MIA,0,L,19,55,0.257,240,35,87,0.402,5,30,0.167,7,11,0.636,10,33,43,20,4,2,23,19,82
9,"MAR 27, 2024",ATL,0,L,19,54,0.26,240,43,85,0.506,14,31,0.452,6,10,0.6,6,27,33,35,8,2,18,18,106
10,"MAR 25, 2024",HOU,0,L,19,53,0.264,240,36,87,0.414,7,33,0.212,13,15,0.867,10,34,44,14,5,6,16,25,92
11,"MAR 23, 2024",DEN,1,L,19,52,0.268,240,43,93,0.462,10,28,0.357,15,17,0.882,14,31,45,27,8,8,15,24,111
12,"MAR 22, 2024",LAC,1,L,19,51,0.271,240,45,93,0.484,12,33,0.364,15,25,0.6,15,26,41,29,11,1,10,19,117
13,"MAR 20, 2024",LAC,1,L,19,50,0.275,240,39,81,0.481,15,34,0.441,10,15,0.667,8,30,38,21,6,4,17,16,103
14,"MAR 18, 2024",CHI,0,L,19,49,0.279,240,40,88,0.455,8,28,0.286,19,25,0.76,13,30,43,21,7,5,13,24,107
15,"MAR 16, 2024",NOP,0,L,19,48,0.284,240,42,84,0.5,12,33,0.364,11,12,0.917,10,26,36,23,3,7,19,15,107
16,"MAR 14, 2024",NYK,1,L,19,47,0.288,240,34,84,0.405,11,33,0.333,14,16,0.875,13,32,45,19,10,2,17,19,93
17,"MAR 13, 2024",ATL,1,W,19,46,0.292,240,38,82,0.463,10,30,0.333,20,24,0.833,12,37,49,24,7,5,18,21,106
18,"MAR 11, 2024",BOS,1,L,18,46,0.281,240,39,87,0.448,10,28,0.357,11,11,1.0,9,29,38,23,3,5,11,11,99
19,"MAR 09, 2024",TOR,1,W,18,45,0.286,265,49,103,0.476,16,40,0.4,14,15,0.933,18,34,52,31,10,3,14,18,128
20,"MAR 08, 2024",HOU,1,L,17,45,0.274,240,37,89,0.416,16,35,0.457,17,25,0.68,19,30,49,22,5,5,17,16,107
21,"MAR 06, 2024",OKC,1,L,17,44,0.279,240,41,81,0.506,14,34,0.412,24,27,0.889,7,25,32,27,10,2,17,28,120
22,"MAR 04, 2024",MIN,0,L,17,43,0.283,240,45,92,0.489,16,39,0.41,8,11,0.727,12,29,41,28,5,3,13,26,114
23,"MAR 02, 2024",MEM,0,W,17,42,0.288,265,39,92,0.424,11,35,0.314,18,24,0.75,13,37,50,23,8,5,22,25,107
24,"MAR 01, 2024",MEM,0,W,16,42,0.276,240,48,92,0.522,13,31,0.419,13,16,0.813,16,30,46,31,13,8,14,20,122
25,"FEB 27, 2024",MIA,1,L,15,42,0.263,240,35,86,0.407,10,31,0.323,16,19,0.842,15,25,40,24,9,4,17,25,96
26,"FEB 25, 2024",CHA,1,L,15,41,0.268,240,33,95,0.347,3,32,0.094,11,16,0.688,22,34,56,14,11,4,15,16,80
27,"FEB 23, 2024",DEN,1,L,15,40,0.273,240,46,101,0.455,8,25,0.32,12,18,0.667,19,26,45,25,11,2,10,17,112
28,"FEB 15, 2024",MIN,1,L,15,39,0.278,240,31,83,0.373,8,29,0.276,21,30,0.7,9,26,35,18,8,5,15,23,91
29,"FEB 13, 2024",MIN,1,L,15,38,0.283,240,39,87,0.448,11,29,0.379,20,25,0.8,12,32,44,26,5,1,16,29,109
30,"FEB 10, 2024",NOP,1,L,15,37,0.288,240,33,76,0.434,6,21,0.286,12,17,0.706,11,31,42,19,7,4,17,14,84
31,"FEB 08, 2024",DET,1,L,15,36,0.294,265,41,89,0.461,11,30,0.367,29,33,0.879,11,27,38,29,9,7,15,27,122
32,"FEB 04, 2024",DEN,0,L,15,35,0.3,240,39,85,0.459,11,31,0.355,14,15,0.933,15,27,42,29,6,3,13,16,103
33,"FEB 02, 2024",DEN,0,L,15,34,0.306,240,37,80,0.463,10,28,0.357,24,30,0.8,13,24,37,14,7,4,8,16,108
34,"JAN 31, 2024",MIL,1,W,15,33,0.313,240,49,92,0.533,12,28,0.429,9,9,1.0,9,30,39,26,9,1,11,20,119
35,"JAN 29, 2024",PHI,1,W,14,33,0.298,240,46,84,0.548,12,28,0.429,26,29,0.897,11,28,39,29,7,5,13,24,130
36,"JAN 28, 2024",CHI,1,L,13,33,0.283,240,32,79,0.405,6,33,0.182,26,29,0.897,7,41,48,22,2,5,13,21,96
37,"JAN 26, 2024",SAS,0,L,13,32,0.289,240,38,90,0.422,10,37,0.27,14,19,0.737,8,29,37,23,11,3,13,20,100
38,"JAN 24, 2024",HOU,0,W,13,31,0.295,265,50,98,0.51,15,35,0.429,22,24,0.917,13,35,48,31,6,4,12,18,137
39,"JAN 23, 2024",OKC,0,L,12,31,0.279,240,37,86,0.43,18,39,0.462,17,21,0.81,12,34,46,27,6,6,19,19,109
40,"JAN 21, 2024",LAL,0,L,12,30,0.286,240,42,90,0.467,9,29,0.31,17,20,0.85,10,25,35,24,7,5,12,21,110
41,"JAN 19, 2024",IND,1,W,12,29,0.293,240,42,84,0.5,4,12,0.333,30,35,0.857,9,38,47,18,3,11,9,21,118
42,"JAN 17, 2024",BKN,1,W,11,29,0.275,240,42,86,0.488,9,27,0.333,12,14,0.857,10,31,41,21,2,2,9,16,105
43,"JAN 14, 2024",PHX,1,L,10,29,0.256,240,40,89,0.449,20,42,0.476,16,22,0.727,12,24,36,23,8,1,13,21,116
44,"JAN 12, 2024",MIN,0,L,10,28,0.263,240,30,77,0.39,10,28,0.357,23,34,0.676,10,28,38,18,8,5,19,19,93
45,"JAN 11, 2024",OKC,0,L,10,27,0.27,240,28,101,0.277,11,49,0.224,10,16,0.625,13,29,42,16,8,8,9,19,77
46,"JAN 09, 2024",NYK,0,L,10,26,0.278,240,33,86,0.384,6,29,0.207,12,18,0.667,12,31,43,19,8,7,15,17,84
47,"JAN 07, 2024",BKN,0,W,10,25,0.286,265,45,95,0.474,20,38,0.526,24,30,0.8,9,29,38,21,5,5,9,20,134
48,"JAN 05, 2024",DAL,0,L,9,25,0.265,240,39,95,0.411,13,40,0.325,12,17,0.706,10,32,42,27,9,3,18,15,103
49,"JAN 03, 2024",DAL,0,L,9,24,0.273,240,34,87,0.391,13,40,0.325,16,22,0.727,10,36,46,23,4,3,22,34,97
50,"JAN 01, 2024",PHX,0,L,9,23,0.281,240,33,80,0.413,8,30,0.267,14,19,0.737,6,30,36,21,6,10,18,19,88
51,"DEC 29, 2023",SAS,1,W,9,22,0.29,240,48,95,0.505,16,27,0.593,22,27,0.815,16,27,43,28,8,6,14,19,134
52,"DEC 28, 2023",SAS,1,L,8,22,0.267,240,35,101,0.347,11,36,0.306,24,32,0.75,22,35,57,16,6,4,13,22,105
53,"DEC 26, 2023",SAC,1,W,8,21,0.276,240,49,98,0.5,16,40,0.4,16,20,0.8,16,30,46,28,5,5,7,17,130
