,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",POR,1,W,46,36,0.561,240,43,87,0.494,13,34,0.382,22,27,0.815,13,38,51,29,11,6,14,19,121
1,"APR 12, 2024",PHX,1,L,45,36,0.556,240,40,91,0.44,14,38,0.368,13,14,0.929,9,26,35,26,12,1,7,19,107
2,"APR 11, 2024",NOP,1,L,45,35,0.563,240,46,84,0.548,16,38,0.421,15,20,0.75,5,27,32,26,7,0,14,17,123
3,"APR 09, 2024",OKC,0,L,45,34,0.57,240,33,96,0.344,20,58,0.345,19,26,0.731,21,35,56,23,8,4,17,22,105
4,"APR 07, 2024",BKN,0,W,45,33,0.577,240,40,94,0.426,15,48,0.313,12,16,0.75,11,43,54,31,8,12,9,17,107
5,"APR 05, 2024",BOS,0,L,44,33,0.571,240,38,99,0.384,17,51,0.333,7,13,0.538,15,39,54,21,4,3,7,15,100
6,"APR 04, 2024",NYK,0,L,44,32,0.579,240,42,86,0.488,18,42,0.429,7,12,0.583,9,26,35,26,6,3,16,23,109
7,"APR 02, 2024",LAC,1,W,44,31,0.587,240,39,92,0.424,12,42,0.286,19,25,0.76,20,36,56,29,10,6,10,18,109
8,"MAR 31, 2024",UTA,1,W,43,31,0.581,240,45,84,0.536,20,40,0.5,17,23,0.739,13,31,44,34,8,6,15,23,127
9,"MAR 29, 2024",DAL,1,L,42,31,0.575,240,40,92,0.435,15,32,0.469,8,12,0.667,10,35,45,24,9,1,10,22,103
10,"MAR 26, 2024",DAL,1,L,42,30,0.583,240,35,90,0.389,11,30,0.367,15,19,0.789,11,31,42,27,6,5,13,15,96
11,"MAR 25, 2024",PHI,1,W,42,29,0.592,240,38,86,0.442,10,38,0.263,22,28,0.786,11,29,40,25,6,6,7,18,108
12,"MAR 23, 2024",ORL,0,W,41,29,0.586,240,38,87,0.437,15,40,0.375,18,21,0.857,6,36,42,26,6,5,7,19,109
13,"MAR 21, 2024",WAS,0,L,40,29,0.58,240,37,86,0.43,11,39,0.282,17,19,0.895,10,27,37,21,12,7,15,20,102
14,"MAR 20, 2024",TOR,0,W,40,28,0.588,240,48,93,0.516,12,40,0.3,15,18,0.833,18,35,53,32,14,6,15,16,123
15,"MAR 18, 2024",MEM,1,W,39,28,0.582,265,42,94,0.447,11,35,0.314,26,32,0.813,15,44,59,30,7,10,17,25,121
16,"MAR 16, 2024",NYK,1,L,38,28,0.576,240,30,85,0.353,10,37,0.27,21,26,0.808,11,31,42,22,7,5,12,20,91
17,"MAR 13, 2024",LAL,1,W,38,27,0.585,240,46,88,0.523,19,41,0.463,9,12,0.75,9,35,44,30,11,2,12,19,120
18,"MAR 12, 2024",MIL,1,W,37,27,0.578,240,49,92,0.533,18,40,0.45,13,16,0.813,6,45,51,34,11,1,8,26,129
