,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",DET,1,W,22,60,0.268,240,49,91,0.538,15,34,0.441,10,14,0.714,12,42,54,33,9,3,13,17,123
1,"APR 12, 2024",DEN,1,W,21,60,0.259,240,45,85,0.529,15,33,0.455,16,23,0.696,11,38,49,31,2,4,18,13,121
2,"APR 10, 2024",OKC,0,L,20,60,0.25,240,32,96,0.333,9,40,0.225,16,20,0.8,4,43,47,24,8,4,15,14,89
3,"APR 09, 2024",MEM,0,W,20,59,0.253,240,42,87,0.483,10,40,0.25,8,8,1.0,10,41,51,30,5,11,16,12,102
4,"APR 07, 2024",PHI,1,L,19,59,0.244,290,44,98,0.449,16,44,0.364,22,26,0.846,14,45,59,31,5,11,25,17,126
5,"APR 05, 2024",NOP,0,W,19,58,0.247,240,42,83,0.506,17,46,0.37,10,13,0.769,6,28,34,34,9,8,16,13,111
6,"APR 02, 2024",DEN,0,L,18,58,0.237,240,42,105,0.4,13,44,0.295,8,16,0.5,15,44,59,33,4,12,7,19,105
7,"MAR 31, 2024",GSW,1,L,18,57,0.24,240,40,89,0.449,17,43,0.395,16,18,0.889,16,29,45,31,7,5,19,12,113
8,"MAR 29, 2024",NYK,1,W,18,56,0.243,265,44,82,0.537,16,40,0.4,26,32,0.813,8,38,46,34,3,2,15,16,130
9,"MAR 27, 2024",UTA,0,W,17,56,0.233,240,44,86,0.512,16,33,0.485,14,21,0.667,9,32,41,40,9,7,21,21,118
10,"MAR 25, 2024",PHX,1,W,16,56,0.222,240,40,91,0.44,8,31,0.258,16,19,0.842,5,35,40,23,10,1,7,15,104
11,"MAR 23, 2024",PHX,1,L,15,56,0.211,240,40,85,0.471,9,33,0.273,17,21,0.81,8,26,34,27,6,6,15,9,106
12,"MAR 22, 2024",MEM,1,L,15,55,0.214,240,37,95,0.389,7,38,0.184,16,23,0.696,15,41,56,24,12,7,16,23,97
13,"MAR 19, 2024",DAL,1,L,15,54,0.217,240,39,89,0.438,14,39,0.359,15,21,0.714,9,39,48,31,6,10,15,14,107
14,"MAR 17, 2024",BKN,1,W,15,53,0.221,265,46,99,0.465,9,37,0.243,21,23,0.913,13,37,50,30,6,10,17,17,122
15,"MAR 15, 2024",DEN,1,L,14,53,0.209,240,37,81,0.457,11,29,0.379,21,27,0.778,12,32,44,23,6,4,16,13,106
16,"MAR 12, 2024",HOU,1,L,14,52,0.212,240,39,82,0.476,11,36,0.306,12,14,0.857,10,32,42,30,9,5,13,20,101
17,"MAR 11, 2024",GSW,1,L,14,51,0.215,240,39,93,0.419,14,37,0.378,10,15,0.667,13,37,50,27,6,10,15,15,102
18,"MAR 09, 2024",GSW,0,W,14,50,0.219,240,44,86,0.512,17,33,0.515,21,28,0.75,12,37,49,34,6,6,12,22,126
19,"MAR 07, 2024",SAC,0,L,13,50,0.206,240,46,91,0.505,16,33,0.485,21,21,1.0,9,28,37,39,8,4,12,20,129
20,"MAR 05, 2024",HOU,0,L,13,49,0.21,240,38,87,0.437,12,36,0.333,13,16,0.813,12,38,50,24,1,10,18,12,101
21,"MAR 03, 2024",IND,1,W,13,48,0.213,240,46,85,0.541,10,25,0.4,15,19,0.789,10,35,45,33,6,8,14,17,117
22,"FEB 29, 2024",OKC,1,W,12,48,0.2,240,48,91,0.527,19,39,0.487,17,20,0.85,11,34,45,39,6,8,11,20,132
23,"FEB 27, 2024",MIN,0,L,11,48,0.186,240,39,82,0.476,16,41,0.39,11,15,0.733,7,34,41,28,9,7,22,15,105
24,"FEB 25, 2024",UTA,0,L,11,47,0.19,240,42,91,0.462,13,31,0.419,12,19,0.632,10,36,46,34,8,11,20,17,109
25,"FEB 23, 2024",LAL,0,L,11,46,0.193,240,42,96,0.438,15,38,0.395,19,23,0.826,16,31,47,33,9,7,14,14,118
26,"FEB 22, 2024",SAC,0,L,11,45,0.196,240,50,98,0.51,11,25,0.44,11,16,0.688,11,31,42,37,9,5,8,12,122
27,"FEB 14, 2024",DAL,0,L,11,44,0.2,240,36,100,0.36,10,40,0.25,11,15,0.733,13,31,44,29,8,7,11,9,93
28,"FEB 12, 2024",TOR,0,W,11,43,0.204,240,46,87,0.529,11,30,0.367,19,23,0.826,5,41,46,37,12,13,17,14,122
