,GAME_DATE,MATCHUP,HOME,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,"APR 14, 2024",BOS,0,L,15,67,0.183,240,49,103,0.476,14,38,0.368,10,10,1.0,8,28,36,33,9,4,11,16,122
1,"APR 12, 2024",CHI,1,L,15,66,0.185,240,45,86,0.523,18,43,0.419,19,29,0.655,4,35,39,32,6,5,12,22,127
2,"APR 09, 2024",MIN,0,L,15,65,0.188,240,44,89,0.494,20,43,0.465,13,17,0.765,7,34,41,26,5,4,13,22,121
3,"APR 07, 2024",TOR,0,L,15,64,0.19,240,42,89,0.472,16,40,0.4,22,30,0.733,8,35,43,29,9,11,15,25,122
4,"APR 05, 2024",POR,1,L,15,63,0.192,240,38,88,0.432,5,33,0.152,21,30,0.7,12,33,45,24,9,5,9,21,102
5,"APR 03, 2024",LAL,1,L,15,62,0.195,240,45,91,0.495,18,42,0.429,12,13,0.923,6,33,39,26,11,4,18,22,120
6,"APR 02, 2024",MIL,1,W,15,61,0.197,240,47,93,0.505,9,38,0.237,14,17,0.824,5,39,44,26,9,2,10,20,117
7,"MAR 31, 2024",MIA,1,L,14,61,0.187,240,40,88,0.455,11,38,0.289,16,21,0.762,7,35,42,27,6,1,15,22,107
8,"MAR 29, 2024",DET,1,L,14,60,0.189,240,36,88,0.409,9,33,0.273,6,8,0.75,9,38,47,22,2,4,18,18,87
9,"MAR 27, 2024",BKN,1,L,14,59,0.192,265,46,91,0.505,14,34,0.412,13,17,0.765,5,39,44,26,4,4,13,21,119
10,"MAR 25, 2024",CHI,0,W,14,58,0.194,240,39,97,0.402,14,49,0.286,15,18,0.833,14,38,52,32,8,5,13,21,107
11,"MAR 23, 2024",TOR,1,W,13,58,0.183,240,44,92,0.478,11,35,0.314,13,19,0.684,16,39,55,28,7,8,17,18,112
12,"MAR 21, 2024",SAC,1,W,12,58,0.171,240,41,81,0.506,10,25,0.4,17,23,0.739,10,35,45,20,9,3,19,19,109
13,"MAR 19, 2024",HOU,1,L,11,58,0.159,240,42,98,0.429,15,39,0.385,15,20,0.75,17,27,44,24,6,2,10,27,114
14,"MAR 17, 2024",BOS,1,L,11,57,0.162,240,41,89,0.461,10,34,0.294,12,14,0.857,10,30,40,24,3,5,16,20,104
