PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
AJ Griffin,20,8,12,0.4,170.73,18,62,0.29,10,39,0.256,2,2,1.0,2,16,18,5,8,1,2,3,6,1,48,-51,78.1,0,0,87.0,14,15,6,16,16,16,15,18,12,12,14,17,17,1,18,15,17,16,14,18,16,4,2,18,16,12,17,9,3,16
Bogdan Bogdanovic,79,35,44,0.443,2401.4083333333333,471,1100,0.428,240,641,0.374,151,164,0.921,53,219,272,247,112,96,26,51,179,127,1333,127,2283.9,1,0,2336.0,1,1,18,10,2,2,2,11,1,1,6,5,6,2,7,6,6,3,3,2,5,15,19,6,3,1,3,8,3,3
Bruno Fernando,45,20,25,0.444,682.3033333333333,109,187,0.583,0,4,0.0,64,96,0.667,59,134,193,46,44,25,28,23,107,75,282,-96,697.6,0,0,627.0,10,10,9,8,10,9,10,2,18,18,18,9,9,15,6,8,8,11,9,9,4,11,11,9,10,16,9,9,3,9
Clint Capela,73,33,40,0.452,1883.0866666666666,353,618,0.571,0,1,0.0,130,206,0.631,335,441,776,91,74,43,106,69,164,170,836,-17,2276.7,38,0,2001.0,3,3,17,7,6,5,7,3,18,19,18,6,3,16,1,1,1,7,6,6,1,18,18,4,7,4,4,1,3,4
De'Andre Hunter,57,26,31,0.456,1681.0933333333332,304,663,0.459,117,304,0.385,166,196,0.847,31,191,222,87,83,40,16,29,146,193,891,-49,1372.9,3,0,1429.0,6,7,12,6,7,6,6,8,4,5,4,4,5,4,8,7,7,8,5,7,7,13,16,2,5,11,7,7,3,7
Dejounte Murray,78,34,44,0.436,2783.3433333333332,672,1463,0.459,201,554,0.363,208,262,0.794,62,354,416,502,201,111,24,69,138,192,1753,-154,3209.2,20,1,3142.0,2,2,18,12,1,1,1,7,2,2,8,2,2,9,5,3,3,2,2,1,6,18,15,3,1,19,1,3,1,1
Dylan Windler,6,3,3,0.5,73.28333333333333,10,19,0.526,8,17,0.471,0,0,0.0,3,9,12,3,2,2,0,0,3,1,28,-23,50.9,0,0,55.0,18,17,1,1,17,17,18,4,14,14,1,18,18,18,17,18,18,18,17,17,18,1,1,18,17,6,18,9,3,18
Garrison Mathews,66,29,37,0.439,992.1216666666667,103,226,0.456,85,193,0.44,34,42,0.81,17,75,92,37,19,20,8,5,115,68,325,-97,555.9,0,0,595.0,4,4,16,11,9,10,9,9,6,7,2,10,10,8,10,10,10,12,12,10,11,6,13,10,9,17,10,9,3,10
Jalen Johnson,56,27,29,0.482,1888.8666666666666,359,702,0.511,71,200,0.355,107,147,0.728,74,414,488,203,101,67,47,51,133,124,896,-76,2027.1,19,1,1886.0,7,6,11,2,5,4,4,5,7,6,9,7,7,14,4,2,2,4,4,4,3,15,14,7,4,14,5,4,1,5
Kobe Bufkin,17,8,9,0.471,196.00333333333333,34,92,0.37,9,40,0.225,4,8,0.5,6,27,33,27,10,7,5,7,20,8,81,-35,187.1,0,0,174.0,16,15,4,5,15,12,13,15,13,11,16,15,13,17,15,14,14,13,13,15,13,9,6,14,14,8,14,9,3,14
