PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Al Horford,65,51,14,0.785,1739.7966666666666,214,419,0.511,108,258,0.419,26,30,0.867,82,331,413,168,48,38,62,11,93,29,562,421,1561.6,3,0,1451.0,7,7,11,11,7,8,8,6,8,8,6,9,9,5,5,2,2,6,7,8,3,10,12,9,8,6,7,6,3,7
Dalano Banton,24,18,6,0.75,171.09333333333333,19,51,0.373,2,16,0.125,16,20,0.8,12,23,35,19,10,5,3,3,20,15,56,20,140.5,0,0,128.0,13,13,8,18,14,15,14,19,15,12,18,12,11,10,13,14,14,14,13,16,15,5,8,12,14,17,14,10,3,14
Derrick White,73,58,15,0.795,2380.985,387,839,0.461,196,495,0.396,137,152,0.901,51,259,310,377,112,74,87,28,152,154,1107,619,2415.5,5,1,2312.0,4,3,13,8,2,4,3,12,3,2,7,4,4,2,10,6,6,1,4,3,2,16,17,4,4,1,3,5,1,3
Drew Peterson,3,3,0,1.0,22.683333333333334,4,6,0.667,3,5,0.6,0,0,0.0,0,1,1,1,1,2,0,0,1,0,11,8,18.7,0,0,20.0,19,19,1,1,19,19,19,2,12,17,2,19,19,19,19,19,19,19,19,18,19,1,1,19,19,19,19,10,3,19
JD Davison,8,8,0,1.0,39.01,5,12,0.417,3,7,0.429,3,4,0.75,2,8,10,10,2,1,1,0,4,3,16,23,47.0,0,0,43.0,18,18,1,1,18,18,18,16,12,16,3,17,17,11,18,18,18,15,18,19,16,1,2,17,17,16,18,10,3,18
Jaden Springer,17,15,2,0.882,129.63,13,30,0.433,2,11,0.182,7,8,0.875,8,12,20,9,8,11,4,2,17,9,35,38,109.5,0,0,96.0,16,15,4,4,15,16,16,15,15,13,17,14,15,4,16,17,16,16,15,12,14,4,6,14,16,15,16,10,3,16
Jaylen Brown,70,52,18,0.743,2342.5216666666665,627,1256,0.499,145,410,0.354,211,300,0.703,84,303,387,249,166,83,37,72,185,241,1610,413,2641.9,6,1,2631.0,5,6,18,19,3,2,2,7,5,4,13,3,3,14,3,4,4,5,2,1,7,19,19,3,2,8,2,4,1,2
Jayson Tatum,74,57,17,0.77,2645.213333333333,672,1426,0.471,229,609,0.376,414,497,0.833,67,534,601,364,188,75,43,61,145,340,1987,608,3420.2,25,0,3417.0,3,4,16,14,1,1,1,9,1,1,10,1,1,8,7,1,1,2,1,2,6,18,16,1,1,2,1,1,3,1
Jordan Walsh,9,9,0,1.0,83.47333333333333,6,15,0.4,2,9,0.222,1,2,0.5,5,15,20,5,3,5,1,0,11,3,15,47,61.5,0,0,54.0,17,17,1,1,17,17,17,18,15,14,16,18,18,18,17,16,16,18,17,16,16,1,3,17,18,13,17,10,3,17
Jrue Holiday,69,53,16,0.768,2263.278333333333,331,689,0.48,138,322,0.429,60,72,0.833,84,289,373,333,124,61,53,28,108,84,860,427,2025.1,7,0,1932.0,6,5,15,15,4,5,5,8,6,6,3,5,6,7,3,5,5,3,3,4,5,16,15,5,5,5,5,3,3,5
Kristaps Porzingis,57,43,14,0.754,1689.9483333333333,388,752,0.516,110,293,0.375,259,302,0.858,97,312,409,115,89,42,111,18,156,280,1145,417,2178.3,13,0,2085.0,9,10,11,17,8,3,4,4,7,7,11,2,2,6,2,3,3,7,5,5,1,14,18,2,3,7,4,2,3,4
Lamar Stevens,19,15,4,0.789,121.86833333333334,21,45,0.467,3,8,0.375,8,11,0.727,12,19,31,8,9,6,5,3,14,9,53,10,126.2,0,0,117.0,15,15,5,9,16,14,15,11,12,15,12,13,13,12,13,15,15,17,14,15,13,5,4,14,15,18,15,10,3,15
Luke Kornet,63,48,15,0.762,983.31,142,203,0.7,1,1,1.0,49,54,0.907,118,143,261,67,21,23,61,12,77,68,334,218,978.7,1,0,831.0,8,8,13,16,9,9,9,1,18,18,1,7,8,1,1,9,9,9,9,9,4,12,11,6,9,9,9,9,3,9
Neemias Queta,28,24,4,0.857,333.21666666666664,67,104,0.644,0,0,0.0,20,28,0.714,53,69,122,20,13,13,21,12,50,24,154,135,419.4,2,0,364.0,12,12,5,5,12,11,12,3,19,19,19,10,10,13,9,11,11,12,11,11,9,12,9,10,12,11,11,8,3,11
Oshae Brissett,55,46,9,0.836,630.165,68,153,0.444,15,55,0.273,50,83,0.602,61,99,160,44,20,19,8,9,54,57,201,114,520.0,0,0,474.0,10,9,9,6,10,10,10,14,10,10,15,6,5,16,8,10,10,10,10,10,11,9,10,8,10,12,10,10,3,10
