PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Armoni Brooks,10,3,7,0.3,104.02333333333333,15,46,0.326,11,32,0.344,1,2,0.5,7,11,18,5,3,1,1,4,3,1,42,28,74.1,0,0,80.0,18,18,4,20,16,17,16,19,13,13,11,19,19,18,17,17,17,18,18,19,18,7,3,19,17,2,17,13,1,17
Ben Simmons,15,7,8,0.467,358.9166666666667,43,74,0.581,0,0,0.0,6,15,0.4,31,88,119,86,27,12,9,3,36,21,92,-38,399.8,3,0,339.0,16,15,5,3,15,15,15,2,19,21,19,17,15,20,10,12,13,10,13,13,12,6,8,15,15,13,14,4,1,14
Cam Thomas,66,23,43,0.348,2074.85,526,1190,0.442,144,396,0.364,286,334,0.856,28,186,214,192,124,45,16,78,138,272,1482,-201,2085.8,0,0,2154.0,4,6,19,17,3,2,2,9,2,2,8,1,1,3,11,6,7,4,2,6,8,21,19,1,2,20,3,13,1,2
Cameron Johnson,58,21,37,0.362,1599.0383333333334,276,619,0.446,138,353,0.391,86,109,0.789,55,196,251,138,57,49,15,34,105,93,776,-77,1419.2,1,0,1431.0,7,8,15,16,5,4,3,8,3,3,4,5,6,8,5,5,5,7,10,4,10,18,13,6,4,16,4,9,1,4
Dariq Whitehead,2,1,1,0.5,23.983333333333334,1,5,0.2,0,3,0.0,1,2,0.5,0,4,4,3,0,0,1,1,0,1,3,-22,15.3,0,0,12.0,21,20,1,1,21,20,21,20,19,20,19,19,19,18,21,19,20,20,21,21,18,2,1,19,20,8,21,13,1,21
Day'Ron Sharpe,61,25,36,0.41,920.575,168,294,0.571,4,15,0.267,75,123,0.61,161,228,389,85,70,24,44,29,131,106,415,64,1143.3,6,0,1029.0,6,4,14,8,11,8,12,3,14,14,16,7,5,15,2,3,2,11,4,10,2,17,18,5,10,1,7,2,1,7
Dennis Schroder,29,12,17,0.414,927.37,156,368,0.424,61,148,0.412,51,64,0.797,17,85,102,175,70,17,9,26,59,67,424,-96,816.9,2,0,814.0,13,13,9,6,10,10,8,13,8,8,1,8,8,6,14,13,14,5,4,12,12,16,10,8,9,17,12,7,1,12
Dennis Smith Jr.,56,19,37,0.339,1058.6583333333333,147,338,0.435,32,109,0.294,43,58,0.741,50,114,164,203,68,68,12,24,121,49,369,-36,1042.3,3,0,928.0,9,10,15,18,8,11,9,11,9,9,14,10,10,11,7,10,9,3,6,2,11,14,17,9,11,12,8,4,1,10
Dorian Finney-Smith,68,28,40,0.412,1934.5933333333332,215,511,0.421,117,336,0.348,33,46,0.717,109,208,317,107,59,56,38,18,150,46,580,-107,1343.9,0,0,1309.0,3,2,18,7,4,5,5,15,4,4,10,12,11,12,3,4,4,9,9,3,3,12,20,10,6,18,5,13,1,5
Harry Giles III,16,6,10,0.375,81.25,22,44,0.5,3,11,0.273,7,13,0.538,12,14,26,6,6,1,3,1,15,10,54,-8,100.2,0,0,97.0,15,16,7,15,17,16,17,6,16,15,15,16,16,17,16,16,16,16,16,19,16,2,6,16,16,5,16,13,1,16
