PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Aleksej Pokusevski,18,6,12,0.333,344.93333333333334,45,105,0.429,16,44,0.364,28,37,0.757,15,64,79,30,16,14,12,4,17,25,134,-40,335.8,0,0,311.0,20,17,6,6,18,18,18,18,15,15,9,13,13,16,16,15,14,15,17,16,9,6,6,14,18,8,18,11,2,18
Amari Bailey,10,1,9,0.1,64.63333333333334,8,24,0.333,1,8,0.125,6,7,0.857,6,3,9,7,4,3,0,0,2,4,23,5,49.3,0,0,46.0,23,24,4,23,25,25,25,24,21,20,21,22,22,7,22,26,24,23,23,23,24,1,1,23,25,1,25,11,2,25
Brandon Miller,74,18,56,0.243,2382.963333333333,476,1083,0.44,184,493,0.373,143,173,0.827,60,255,315,175,132,66,42,45,184,194,1279,-510,2111.5,1,0,2169.0,1,1,26,14,2,2,2,12,1,1,6,2,3,10,4,3,3,5,2,1,2,25,26,1,2,25,2,9,2,2
Bryce McGowens,59,11,48,0.186,881.595,101,230,0.439,34,102,0.333,66,85,0.776,17,85,102,51,30,21,10,16,74,76,302,-229,563.9,0,0,551.0,5,5,23,19,7,12,12,13,10,11,15,7,7,12,13,12,13,14,14,12,14,17,20,8,11,20,13,11,2,11
Cody Martin,28,7,21,0.25,752.9916666666667,82,215,0.381,27,86,0.314,20,33,0.606,19,90,109,104,44,32,18,19,48,41,211,-157,603.8,1,0,551.0,12,12,15,12,12,14,13,23,13,12,18,14,14,24,11,11,12,9,12,6,7,20,13,13,15,17,11,9,2,11
Davis Bertans,28,9,19,0.321,582.9633333333334,82,208,0.394,66,176,0.375,16,18,0.889,7,44,51,26,17,23,9,7,46,18,246,-98,425.2,0,0,453.0,12,9,12,8,16,14,14,21,6,6,5,15,16,4,21,18,19,18,15,10,15,10,10,16,13,11,17,11,2,16
Frank Ntilikina,5,0,5,0.0,42.9,1,9,0.111,1,8,0.125,2,2,1.0,1,5,6,4,1,0,0,0,4,1,5,-1,17.2,0,0,16.0,26,25,2,25,26,26,26,26,21,20,21,25,25,1,25,25,26,25,26,26,24,1,3,26,26,2,26,11,2,26
Gordon Hayward,25,7,18,0.28,797.8833333333333,139,297,0.468,22,61,0.361,62,81,0.765,25,92,117,116,51,28,12,11,46,72,362,-133,745.4,0,0,697.0,16,12,10,10,10,8,7,6,14,14,10,9,9,13,10,10,9,8,10,8,9,12,10,10,8,14,9,11,2,9
Grant Williams,29,10,19,0.345,887.845,145,288,0.503,47,126,0.373,65,85,0.765,40,109,149,93,56,20,12,12,89,107,402,-128,760.3,2,0,755.0,11,7,12,5,6,7,9,4,8,8,7,8,7,14,7,5,6,11,8,13,9,13,22,5,7,13,8,7,2,7
Ish Smith,43,6,37,0.14,740.8466666666667,66,158,0.418,4,8,0.5,3,4,0.75,11,65,76,145,47,17,4,7,49,14,139,-280,463.7,0,0,406.0,8,17,20,21,13,17,16,20,20,20,1,23,23,17,18,14,15,6,11,14,18,10,14,19,17,21,16,11,2,17
JT Thor,63,16,47,0.254,780.6266666666667,80,183,0.437,28,81,0.346,11,20,0.55,43,103,146,29,15,11,27,15,60,18,199,-49,516.7,0,0,478.0,4,3,22,11,11,16,15,16,12,13,14,17,15,25,6,8,7,16,18,17,5,16,18,16,16,9,14,11,2,15
James Bouknight,14,0,14,0.0,80.9,18,41,0.439,13,30,0.433,1,2,0.5,1,8,9,6,2,1,1,2,3,3,50,-11,73.8,0,0,82.0,21,25,8,25,24,22,22,14,16,16,3,26,25,26,25,24,24,24,25,25,23,4,2,24,22,3,24,11,2,24
LaMelo Ball,22,7,15,0.318,711.35,183,423,0.433,70,197,0.355,90,104,0.865,29,84,113,176,83,40,4,14,79,90,526,-139,974.6,7,1,973.0,18,12,9,9,15,6,5,17,5,5,12,5,5,6,8,13,11,4,3,4,18,15,21,6,6,16,6,4,1,6
Leaky Black,26,2,24,0.077,284.08166666666665,25,52,0.481,9,20,0.45,10,15,0.667,9,39,48,24,6,8,11,5,19,12,69,-27,213.6,0,0,188.0,15,23,18,24,20,20,21,5,17,19,2,20,17,23,20,19,20,19,21,19,13,8,8,21,20,7,19,11,2,19
