PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Caris LeVert,68,38,30,0.559,1958.0833333333333,345,820,0.421,108,332,0.325,154,201,0.766,39,241,280,346,117,76,34,48,121,153,952,120,2020.0,6,0,1906.0,5,5,16,12,3,4,3,12,6,6,12,3,3,8,7,5,4,2,4,2,3,15,13,4,4,5,3,3,2,3
Craig Porter Jr.,51,30,21,0.588,649.355,116,228,0.509,12,34,0.353,41,56,0.732,21,88,109,118,45,21,15,16,40,50,285,-25,655.8,0,0,596.0,10,10,9,8,11,10,11,5,10,10,10,9,9,10,12,12,12,8,9,10,9,10,7,10,11,14,11,8,2,11
Damian Jones,39,24,15,0.615,269.7316666666667,43,72,0.597,3,14,0.214,18,21,0.857,20,42,62,15,13,7,13,3,27,20,107,-91,250.9,0,0,227.0,13,13,6,3,13,13,13,3,13,13,15,12,13,3,13,13,13,13,13,13,11,5,6,13,13,18,13,8,2,13
Darius Garland,57,31,26,0.544,1900.4383333333333,375,841,0.446,132,356,0.371,146,175,0.834,30,122,152,373,176,74,7,48,95,163,1028,112,1836.9,6,0,1847.0,7,9,13,13,5,3,2,10,5,4,8,4,4,5,9,9,10,1,1,3,12,15,11,3,3,6,6,3,2,4
Dean Wade,54,36,18,0.667,1108.08,96,232,0.414,79,202,0.391,20,26,0.769,37,181,218,43,20,40,25,3,93,37,291,177,792.1,0,0,761.0,9,6,7,1,9,11,10,15,8,8,4,11,12,7,8,7,7,12,11,8,7,5,10,12,10,4,10,8,2,10
Donovan Mitchell,55,36,19,0.655,1942.65,503,1089,0.462,182,494,0.368,275,318,0.865,46,234,280,333,154,101,30,54,118,234,1463,325,2537.5,6,0,2520.0,8,6,8,2,4,2,1,8,1,1,9,1,1,2,6,6,4,3,2,1,5,17,12,2,1,1,2,3,2,2
Emoni Bates,15,8,7,0.533,132.815,15,49,0.306,10,33,0.303,1,4,0.25,1,13,14,10,8,1,2,3,5,7,41,-84,73.8,0,0,81.0,14,14,3,14,15,15,15,17,12,11,13,15,15,15,16,15,15,14,15,16,14,5,3,14,15,17,15,8,2,15
Evan Mobley,50,29,21,0.58,1532.35,320,553,0.579,22,59,0.373,123,171,0.719,112,356,468,160,90,45,72,39,134,137,785,33,1847.6,22,0,1669.0,11,11,9,10,8,5,7,4,9,9,7,5,5,11,2,2,2,6,6,7,2,13,14,5,6,8,5,2,2,6
Georges Niang,82,48,34,0.585,1831.125,284,632,0.449,149,396,0.376,51,60,0.85,22,256,278,98,72,30,18,16,192,55,768,31,1320.6,0,0,1389.0,1,1,18,9,7,7,6,9,3,3,6,8,8,4,10,4,6,10,7,9,8,10,18,9,7,9,7,8,2,7
Isaac Okoro,69,41,28,0.594,1887.0566666666666,235,480,0.49,84,215,0.391,93,137,0.679,67,140,207,132,54,57,34,37,140,118,647,40,1312.4,0,0,1252.0,4,4,15,6,6,8,8,7,7,7,5,6,6,12,4,8,8,7,8,5,3,12,15,6,8,7,8,8,2,8
Isaiah Mobley,10,2,8,0.2,71.92166666666667,10,24,0.417,3,10,0.3,0,1,0.0,3,7,10,6,2,2,0,2,6,2,23,-30,48.0,0,0,46.0,16,17,4,18,16,16,16,14,13,14,14,16,17,16,15,16,16,16,16,14,16,4,4,16,16,15,16,8,2,16
Jarrett Allen,77,46,31,0.597,2442.0616666666665,519,819,0.634,0,6,0.0,233,314,0.742,243,568,811,210,121,53,81,75,147,329,1271,201,2840.2,42,0,2560.0,2,2,17,5,1,1,4,1,16,15,16,2,2,9,1,1,1,5,3,6,1,18,16,1,2,3,1,1,2,1
