PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
A.J. Lawson,42,27,15,0.643,310.9,54,121,0.446,13,50,0.26,15,23,0.652,14,36,50,20,14,10,3,8,22,13,136,18,251.0,0,0,245.0,12,10,9,6,16,14,14,13,13,12,17,16,15,14,17,17,17,16,15,15,17,10,7,18,15,10,16,10,2,16
Alex Fudge,2,0,2,0.0,25.75,5,9,0.556,1,3,0.333,0,0,0.0,2,1,3,0,1,3,0,1,1,0,11,-19,22.6,0,0,21.0,22,22,1,22,22,21,22,5,16,17,12,22,22,22,21,22,22,22,22,18,22,2,1,22,22,15,22,10,2,22
Brandon Williams,17,10,7,0.588,112.87,20,54,0.37,3,15,0.2,11,17,0.647,4,9,13,17,7,1,1,5,4,15,54,-57,94.1,0,0,91.0,19,18,4,14,19,19,19,21,15,15,18,18,18,15,18,19,19,17,19,20,20,7,3,16,19,17,19,10,2,19
Daniel Gafford,29,21,8,0.724,622.57,145,186,0.78,0,0,0.0,34,56,0.607,64,137,201,46,28,21,56,10,80,49,324,85,837.2,6,0,725.0,15,14,5,1,13,9,11,1,20,21,20,11,10,17,4,8,7,12,12,12,2,11,12,12,11,7,9,3,2,11
Dante Exum,55,36,19,0.655,1087.6216666666667,161,302,0.533,53,108,0.491,53,68,0.779,25,124,149,157,49,22,5,18,85,78,428,239,874.3,0,0,841.0,8,7,13,5,8,8,8,6,8,9,1,7,8,6,12,9,11,3,9,10,13,15,14,7,8,3,7,10,2,8
Dereck Lively II,55,35,20,0.636,1294.2816666666668,221,296,0.747,0,2,0.0,41,81,0.506,135,243,378,60,50,36,77,20,144,75,483,144,1315.6,8,0,1147.0,8,8,15,7,6,5,10,2,20,20,20,8,6,19,1,3,2,11,8,6,1,16,21,9,6,5,5,2,2,5
Derrick Jones Jr.,76,47,29,0.618,1782.8566666666666,239,495,0.483,82,239,0.343,97,136,0.713,82,168,250,75,65,53,51,24,121,123,657,55,1316.5,2,0,1272.0,2,2,20,10,4,4,4,10,4,4,11,4,4,9,3,5,5,9,4,3,3,17,19,4,4,9,4,5,2,4
Dexter Dennis,4,1,3,0.25,29.866666666666667,10,19,0.526,1,8,0.125,1,3,0.333,1,8,9,4,3,0,1,0,1,3,22,-9,38.8,0,0,38.0,21,21,2,21,21,20,20,7,16,16,19,21,21,21,22,20,20,20,21,21,20,1,1,21,20,13,21,10,2,20
Dwight Powell,63,38,25,0.603,836.3033333333333,72,106,0.679,1,3,0.333,63,89,0.708,97,117,214,84,32,26,20,12,113,105,208,3,696.8,1,0,599.0,5,6,18,11,12,12,15,3,16,17,12,5,5,10,2,11,6,7,10,8,9,12,18,5,12,12,12,7,2,12
Grant Williams,47,24,23,0.511,1241.715,131,317,0.413,79,210,0.376,41,55,0.745,46,123,169,81,53,24,27,16,137,64,382,-116,806.3,0,0,813.0,10,12,16,18,7,10,7,16,6,6,5,8,11,8,6,10,10,8,7,9,7,14,20,10,9,21,10,10,2,9
Greg Brown III,6,3,3,0.5,39.74333333333333,5,11,0.455,1,3,0.333,4,9,0.444,3,6,9,4,4,0,4,1,5,5,15,-9,39.8,0,0,37.0,20,20,2,19,20,21,21,12,16,17,12,20,19,20,20,21,20,20,20,21,14,2,4,20,21,13,20,10,2,21
Jaden Hardy,73,44,29,0.603,989.2133333333334,195,479,0.407,81,224,0.362,59,76,0.776,20,111,131,109,62,22,4,28,80,79,530,-126,866.7,0,0,903.0,3,4,20,12,9,6,5,17,5,5,7,6,7,7,15,13,13,6,5,10,14,18,12,6,5,22,8,10,2,7
Josh Green,57,32,25,0.561,1504.72,179,374,0.479,72,187,0.385,39,57,0.684,40,144,184,130,60,47,9,30,107,76,469,-100,992.8,0,0,967.0,7,9,18,17,5,7,6,11,7,7,3,10,9,12,8,7,8,5,6,4,10,19,16,8,7,20,6,10,2,6
Kyrie Irving,58,39,19,0.672,2029.6083333333333,562,1131,0.497,173,421,0.411,190,210,0.905,44,246,290,299,106,74,28,39,112,180,1487,277,2483.5,5,0,2453.0,6,5,13,3,3,2,2,8,3,3,2,2,2,1,7,2,3,2,2,2,6,21,17,2,2,2,2,4,2,2
Luka Doncic,70,46,24,0.657,2624.04,804,1652,0.487,284,744,0.382,478,608,0.786,59,588,647,686,282,99,38,50,149,477,2370,319,4304.4,49,21,4261.0,4,3,17,4,1,1,1,9,1,1,4,1,1,5,5,1,1,1,1,1,4,22,22,1,1,1,1,1,1,1
Markieff Morris,26,15,11,0.577,216.38833333333332,23,68,0.338,15,42,0.357,5,6,0.833,4,35,39,16,12,5,3,2,12,8,66,-57,148.8,0,0,152.0,17,17,7,16,18,18,17,22,12,14,8,19,20,4,18,18,18,18,16,17,17,4,5,19,18,17,18,10,2,18
Maxi Kleber,43,27,16,0.628,871.4116666666666,63,146,0.432,32,92,0.348,33,47,0.702,30,113,143,68,28,17,30,4,79,55,191,124,577.6,1,0,528.0,11,10,11,8,11,13,12,14,10,10,10,12,13,11,11,12,12,10,12,13,5,5,11,11,13,6,13,7,2,13
Olivier-Maxence Prosper,40,24,16,0.6,336.21166666666664,40,104,0.385,13,45,0.289,28,41,0.683,25,54,79,22,8,7,4,6,20,28,121,-86,273.8,0,0,257.0,13,12,11,13,15,16,16,19,13,13,16,14,14,13,12,14,14,15,18,16,14,9,6,14,16,19,15,10,2,15
P.J. Washington,29,21,8,0.724,935.1066666666667,127,302,0.421,53,169,0.314,32,51,0.627,32,147,179,44,30,34,27,15,57,42,339,156,772.8,2,0,737.0,15,14,5,1,10,11,8,15,8,8,15,13,12,16,10,6,9,13,11,7,7,13,10,13,10,4,11,5,2,10
Richaun Holmes,23,9,14,0.391,236.60833333333332,33,59,0.559,0,0,0.0,12,21,0.571,33,45,78,15,12,3,9,4,33,15,78,-34,218.1,1,0,195.0,18,19,8,20,17,17,18,4,20,21,20,17,16,18,9,15,15,19,16,18,10,5,9,16,17,16,17,7,2,17
Seth Curry,36,21,15,0.583,456.885,54,145,0.372,29,80,0.363,17,19,0.895,15,37,52,30,16,17,3,5,32,19,154,85,305.4,0,0,305.0,14,14,9,15,14,14,13,20,11,11,6,15,17,2,16,16,16,14,14,13,17,7,8,15,14,7,14,10,2,14
Tim Hardaway Jr.,79,49,30,0.62,2120.3283333333334,392,976,0.402,211,597,0.353,144,169,0.852,22,232,254,139,69,42,6,33,106,158,1139,13,1727.3,0,0,1839.0,1,1,22,9,2,3,3,18,2,2,9,3,3,3,14,4,4,4,3,5,12,20,15,3,3,11,3,10,2,3
