PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Aaron Gordon,73,49,24,0.671,2296.81,398,716,0.556,40,138,0.29,177,269,0.658,174,297,471,259,105,56,45,57,142,223,1013,423,2164.7,12,0,1985.0,7,7,12,14,4,4,5,4,10,8,14,2,2,15,2,3,3,4,4,4,4,16,12,2,4,4,4,3,2,4
Braxton Key,20,14,6,0.7,59.983333333333334,7,17,0.412,2,5,0.4,6,8,0.75,3,15,18,9,1,2,1,2,5,5,22,-11,65.1,0,0,57.0,15,16,3,8,15,17,16,15,16,16,4,13,13,7,13,14,14,15,16,15,14,4,1,14,16,12,15,8,2,15
Christian Braun,82,57,25,0.695,1655.565,222,483,0.46,63,164,0.384,93,134,0.694,79,227,306,132,55,42,35,46,137,86,600,-13,1341.2,2,0,1255.0,1,1,16,11,7,7,7,11,6,6,7,5,4,11,4,4,4,6,8,6,8,14,11,7,7,13,7,5,2,7
Collin Gillespie,24,15,9,0.625,225.365,32,69,0.464,15,38,0.395,8,12,0.667,1,20,21,27,14,13,0,3,24,12,87,15,177.7,0,0,176.0,14,15,5,17,13,13,13,8,11,11,6,12,12,14,15,13,13,12,12,12,15,5,5,12,13,8,13,8,2,13
DeAndre Jordan,36,24,12,0.667,395.71666666666664,58,93,0.624,0,0,0.0,26,53,0.491,54,103,157,26,23,6,16,11,56,48,142,-88,412.4,1,0,369.0,12,12,6,15,12,12,12,1,17,17,17,10,10,16,7,9,8,13,10,13,9,8,7,10,12,15,12,7,2,12
Hunter Tyson,18,14,4,0.778,47.97666666666667,8,20,0.4,4,14,0.286,0,0,0.0,1,8,9,2,2,1,0,0,10,0,20,8,34.8,0,0,37.0,17,16,1,2,17,16,15,16,14,14,15,17,17,17,15,17,17,16,15,17,15,1,3,17,17,9,17,8,2,17
Jalen Pickett,27,20,7,0.741,121.78833333333333,15,35,0.429,9,25,0.36,3,4,0.75,1,13,14,21,9,4,0,1,13,3,42,-1,93.3,0,0,94.0,13,13,4,4,14,14,14,14,12,12,8,14,14,7,15,15,15,14,14,14,15,3,4,15,14,10,14,8,2,14
Jamal Murray,59,44,15,0.746,1861.37,474,986,0.481,145,341,0.425,157,184,0.853,42,200,242,384,125,57,39,51,104,162,1250,311,2279.4,11,0,2213.0,8,8,7,3,5,3,3,6,2,2,1,3,3,3,8,6,6,2,2,3,6,15,10,3,3,5,3,4,2,3
Jay Huff,20,16,4,0.8,49.325,9,15,0.6,3,9,0.333,2,2,1.0,2,9,11,2,1,2,3,0,9,1,23,-9,53.2,0,0,49.0,15,14,1,1,16,15,17,2,15,15,11,16,16,1,14,16,16,16,16,15,13,1,2,16,15,11,16,8,2,16
Julian Strawther,50,34,16,0.68,545.415,82,222,0.369,41,138,0.297,22,31,0.71,5,56,61,47,23,17,7,10,54,38,227,-103,419.7,0,0,424.0,11,11,8,13,11,10,9,17,9,8,12,11,11,10,12,12,12,10,10,10,12,7,6,11,10,16,11,8,2,11
Justin Holiday,58,38,20,0.655,862.0133333333333,88,194,0.454,55,136,0.404,3,4,0.75,9,62,71,67,14,36,9,4,69,11,234,55,540.7,0,0,517.0,9,10,10,16,9,9,10,12,7,10,3,14,14,7,11,11,11,9,12,9,11,6,8,13,9,7,9,8,2,9
