PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Alec Burks,43,7,36,0.163,900.5766666666667,160,406,0.394,99,247,0.401,121,134,0.903,16,94,110,68,32,21,11,11,64,104,540,-186,838.0,0,0,881.0,8,8,24,15,10,9,7,22,3,3,7,4,4,5,10,9,10,9,10,10,11,18,23,5,7,22,9,11,1,8
Ausar Thompson,63,10,53,0.159,1582.805,232,480,0.483,21,113,0.186,71,119,0.597,129,273,402,120,84,68,59,33,175,118,556,-231,1515.4,2,0,1353.0,3,4,27,16,4,4,5,11,14,8,25,7,5,26,2,2,2,6,5,1,1,28,29,4,6,24,4,5,1,4
Bojan Bogdanovic,28,3,25,0.107,920.9333333333333,199,425,0.468,86,207,0.415,81,104,0.779,13,81,94,71,63,23,4,29,57,83,565,-251,802.3,1,0,870.0,12,17,21,23,9,6,6,13,5,5,6,5,6,15,12,10,11,8,8,9,19,27,22,7,5,27,10,7,1,9
Buddy Boeheim,10,0,10,0.0,84.00166666666667,9,29,0.31,8,25,0.32,8,10,0.8,3,7,10,3,0,0,1,1,5,5,34,21,53.5,0,0,57.0,24,28,9,28,26,28,26,28,21,21,18,23,23,12,23,28,28,28,29,30,26,3,6,26,25,3,28,11,1,27
Cade Cunningham,62,9,53,0.145,2074.225,524,1167,0.449,119,335,0.355,238,274,0.869,33,235,268,464,212,56,22,92,153,194,1405,-350,2444.6,14,0,2412.0,5,5,27,18,2,1,1,15,2,2,12,1,2,8,7,3,5,1,1,3,6,31,28,2,1,30,1,2,1,1
Chimezie Metu,14,2,12,0.143,411.3883333333333,57,114,0.5,13,43,0.302,20,21,0.952,17,67,84,27,25,24,7,8,32,24,147,-72,356.3,0,0,333.0,21,19,10,19,17,16,17,8,16,16,20,17,19,1,9,12,12,14,13,8,12,15,16,13,16,13,15,11,1,16
Danilo Gallinari,6,1,5,0.167,89.52166666666666,12,22,0.545,7,12,0.583,21,24,0.875,2,12,14,12,1,2,2,2,9,17,52,26,97.8,0,0,93.0,25,24,7,11,25,24,29,6,22,23,1,16,17,7,27,23,24,21,28,25,22,4,7,18,22,2,23,11,1,23
Evan Fournier,29,6,23,0.207,541.04,75,201,0.373,31,115,0.27,27,34,0.794,5,49,54,45,20,25,7,6,44,19,208,-129,416.3,0,0,402.0,11,10,19,8,12,14,11,23,8,7,24,13,13,13,22,16,16,12,15,7,12,14,20,17,14,20,12,11,1,13
Isaiah Livers,23,1,22,0.043,469.39666666666665,40,116,0.345,22,77,0.286,12,18,0.667,15,33,48,25,16,13,5,8,43,15,114,-199,247.1,0,0,245.0,16,24,18,27,15,17,16,26,12,11,22,21,20,21,11,20,18,16,17,15,16,15,19,20,18,23,18,11,1,17
Isaiah Stewart,46,9,37,0.196,1422.8166666666666,186,382,0.487,67,175,0.383,64,85,0.753,74,231,305,73,66,17,38,17,99,82,503,-133,1077.5,5,0,1058.0,7,5,25,9,5,8,8,10,6,6,9,8,8,16,5,4,4,7,6,12,5,24,25,8,8,21,6,4,1,6
Jaden Ivey,77,14,63,0.182,2217.4766666666665,417,973,0.429,124,369,0.336,227,303,0.749,86,178,264,296,190,57,41,88,204,227,1185,-350,2049.8,2,0,2065.0,1,1,31,10,1,2,2,18,1,1,13,2,1,17,4,6,6,2,2,2,3,30,31,1,2,30,2,5,1,2
Jalen Duren,61,13,48,0.213,1777.4816666666666,349,564,0.619,0,4,0.0,143,181,0.79,192,517,709,147,129,33,47,47,192,149,841,-311,2023.3,44,0,1857.0,6,2,26,7,3,3,3,1,29,28,29,3,3,14,1,1,1,5,3,6,2,29,30,3,3,28,3,1,1,3
James Wiseman,63,9,54,0.143,1091.0433333333333,187,305,0.613,0,2,0.0,72,102,0.706,110,226,336,54,66,12,39,20,141,84,446,-325,1017.2,7,0,938.0,3,5,29,19,7,7,9,2,29,30,29,6,7,18,3,5,3,10,6,17,4,25,27,6,9,29,7,3,1,7
Jared Rhoden,17,2,15,0.118,245.01666666666668,33,66,0.5,12,31,0.387,5,8,0.625,3,30,33,14,7,3,13,3,28,7,83,-39,184.6,0,0,174.0,18,19,14,22,21,19,20,8,18,18,8,24,24,25,23,21,21,19,21,22,9,8,14,22,21,10,20,11,1,21
