PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Andrew Wiggins,71,38,33,0.535,1920.4483333333333,353,780,0.453,91,254,0.358,142,189,0.751,108,213,321,119,87,42,41,45,147,160,939,-58,1664.7,3,0,1636.0,6,7,15,16,5,4,4,11,3,3,11,3,3,7,4,7,7,9,6,7,3,16,15,3,4,18,5,7,2,4
Brandin Podziemski,74,41,33,0.554,1968.2533333333333,271,597,0.454,90,234,0.385,50,79,0.633,118,309,427,273,88,61,14,35,122,123,682,264,1740.9,7,0,1622.0,2,3,15,13,3,5,5,10,4,4,4,10,9,13,3,2,1,4,5,2,10,14,13,4,5,1,4,2,2,5
Chris Paul,58,33,25,0.569,1530.89,206,467,0.441,78,210,0.371,43,52,0.827,18,207,225,393,76,70,6,12,108,58,533,110,1544.5,5,0,1381.0,10,10,9,12,6,7,6,13,5,5,6,11,11,5,13,9,10,1,8,1,12,7,9,11,7,5,7,5,2,7
Cory Joseph,26,10,16,0.385,295.8933333333333,23,64,0.359,13,42,0.31,4,7,0.571,6,24,30,42,12,4,3,2,25,8,63,-12,171.0,0,0,162.0,14,16,6,18,14,15,14,16,12,12,13,16,16,15,15,15,15,13,14,14,13,3,5,15,15,16,15,10,2,15
Dario Saric,64,35,29,0.547,1097.7516666666668,181,388,0.466,74,197,0.376,79,93,0.849,73,210,283,144,78,31,10,25,112,95,515,-21,1115.6,2,0,1098.0,9,9,11,14,11,10,8,8,6,7,5,5,6,4,7,8,8,7,7,10,11,11,11,6,9,17,10,8,2,9
Draymond Green,55,33,22,0.6,1490.1833333333334,185,372,0.497,51,129,0.395,54,74,0.73,76,322,398,332,135,55,47,18,166,123,475,171,1621.6,10,1,1460.0,11,10,8,7,7,9,9,7,9,9,2,9,10,9,6,1,3,3,2,3,2,9,17,4,10,3,6,1,1,6
Gary Payton II,44,27,17,0.614,679.9,103,183,0.563,20,55,0.364,14,23,0.609,46,67,113,48,27,39,18,12,77,26,240,83,591.6,0,0,535.0,12,12,7,6,12,12,12,3,11,11,8,14,13,14,9,12,12,12,12,9,9,7,7,13,12,7,12,10,2,12
Gui Santos,23,17,6,0.739,192.09,28,55,0.509,10,27,0.37,16,17,0.941,17,32,49,14,7,4,2,4,23,12,82,16,172.8,0,0,167.0,15,14,4,3,15,14,15,5,13,13,7,13,14,1,14,14,14,15,15,14,16,5,4,14,14,12,14,10,2,14
Jerome Robinson,22,17,5,0.773,80.71666666666667,11,33,0.333,2,17,0.118,7,11,0.636,1,5,6,5,2,1,3,0,5,7,31,27,55.7,0,0,52.0,16,14,3,2,16,16,16,17,14,14,14,15,15,12,18,16,17,16,16,16,13,1,3,16,16,10,16,10,2,16
Jonathan Kuminga,74,40,34,0.541,1949.5133333333333,456,862,0.529,53,165,0.321,223,299,0.746,92,263,355,163,122,55,36,73,169,218,1188,125,2009.5,5,0,1941.0,2,5,17,15,4,3,3,4,8,8,12,2,2,8,5,5,4,6,3,3,4,18,18,2,3,4,3,5,2,3
Kevon Looney,74,43,31,0.581,1194.4283333333333,139,233,0.597,0,1,0.0,56,83,0.675,143,276,419,133,50,28,29,24,155,71,334,38,1157.3,1,0,1000.0,2,1,13,8,8,11,11,2,15,16,15,8,8,11,1,4,2,8,9,12,6,10,16,10,11,8,9,9,2,10
Klay Thompson,77,41,36,0.532,2284.1683333333335,490,1133,0.432,268,692,0.387,127,137,0.927,35,219,254,176,117,50,35,27,127,91,1375,7,2081.8,0,0,2243.0,1,3,18,17,2,2,2,14,2,2,3,4,4,2,11,6,9,5,4,6,5,12,14,8,2,13,2,10,2,2
Lester Quinones,37,24,13,0.649,394.455,56,141,0.397,32,88,0.364,20,29,0.69,21,51,72,36,17,6,2,8,44,36,164,17,311.4,0,0,320.0,13,13,5,5,13,13,13,15,10,10,8,12,12,10,12,13,13,14,13,13,16,6,6,12,13,11,13,10,2,13
Moses Moody,66,38,28,0.576,1155.885,194,420,0.462,72,200,0.36,73,93,0.785,65,131,196,57,44,42,24,30,90,80,533,99,1007.7,0,0,990.0,8,7,10,10,9,8,7,9,7,6,10,7,6,6,8,11,11,11,11,7,8,13,8,9,7,6,11,10,2,11
