PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Aaron Holiday,78,39,39,0.5,1269.2966666666666,186,417,0.446,84,217,0.387,58,63,0.921,23,100,123,140,53,42,6,20,125,65,514,85,962.6,0,0,957.0,2,2,15,8,8,8,8,12,5,6,5,9,10,3,12,11,12,5,7,7,12,9,11,9,8,4,7,10,4,8
Alperen Sengun,63,29,34,0.46,2045.635,527,982,0.537,33,111,0.297,244,352,0.693,183,406,589,312,162,76,46,75,211,326,1331,49,2709.8,29,2,2509.0,8,9,11,16,5,2,3,3,8,8,13,2,1,11,1,2,2,2,2,3,3,16,16,1,2,6,2,1,1,3
Amen Thompson,62,30,32,0.484,1388.5316666666668,239,446,0.536,8,58,0.138,106,155,0.684,148,261,409,163,90,78,38,38,141,132,592,45,1585.3,13,1,1404.0,9,8,9,15,6,6,7,4,13,11,15,7,5,12,2,4,4,4,4,2,4,14,13,5,6,7,5,4,2,6
Boban Marjanovic,14,9,5,0.643,70.91,18,34,0.529,0,2,0.0,9,14,0.643,7,25,32,6,5,1,2,3,5,14,45,-20,96.4,0,0,89.0,16,15,1,1,16,15,15,5,16,16,16,13,13,15,14,14,14,16,14,16,14,4,1,13,15,12,15,10,4,15
Cam Whitmore,47,19,28,0.404,880.3333333333334,212,467,0.454,79,220,0.359,76,112,0.679,44,136,180,33,46,30,17,33,64,74,579,-28,939.5,1,0,965.0,11,12,7,17,10,7,6,10,6,5,9,8,8,13,9,7,8,11,8,10,9,13,7,8,7,14,8,7,4,7
Dillon Brooks,72,36,36,0.5,2226.7383333333332,329,768,0.428,133,370,0.359,124,147,0.844,53,193,246,119,88,64,10,31,241,119,915,-21,1522.7,1,0,1561.0,6,6,13,8,4,5,5,13,4,4,8,5,7,5,6,6,6,7,6,5,11,11,17,6,5,13,6,7,4,5
Fred VanVleet,73,38,35,0.521,2684.4266666666667,423,1018,0.416,227,586,0.387,197,229,0.86,33,245,278,589,126,101,59,32,183,201,1270,183,2841.1,20,0,2684.0,5,5,12,6,1,3,2,16,1,2,4,3,3,4,11,5,5,1,3,1,2,12,14,3,3,1,1,2,4,2
Jabari Smith Jr.,76,39,37,0.513,2423.845,378,833,0.454,138,380,0.363,150,185,0.811,139,477,616,121,89,52,61,56,200,138,1044,-84,2214.7,16,0,2145.0,4,2,14,7,3,4,4,11,3,3,6,4,4,7,3,1,1,6,5,6,1,15,15,4,4,17,4,3,4,4
Jae'Sean Tate,65,32,33,0.492,1031.4566666666667,108,229,0.472,23,77,0.299,26,39,0.667,61,136,197,64,37,42,15,17,137,56,265,78,731.4,0,0,663.0,7,7,10,14,9,10,10,7,10,9,12,11,11,14,5,7,7,10,10,7,10,7,12,11,11,5,10,10,4,10
Jalen Green,82,41,41,0.5,2601.3816666666667,563,1332,0.423,201,605,0.332,283,352,0.804,41,382,423,291,191,66,28,108,115,279,1610,31,2645.1,7,1,2713.0,1,1,17,8,2,1,1,15,2,1,10,1,1,8,10,3,3,3,1,4,7,17,10,2,1,8,3,5,2,1
Jeff Green,78,39,39,0.5,1307.3383333333334,167,366,0.456,53,160,0.331,122,149,0.819,46,132,178,70,46,16,31,16,100,103,509,-77,922.6,0,0,904.0,2,2,15,8,7,9,9,9,7,7,11,6,6,6,7,9,9,8,8,12,6,6,9,7,9,16,9,10,4,9
