PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Aaron Nesmith,72,41,31,0.569,1994.655,315,635,0.496,140,334,0.419,107,137,0.781,63,212,275,108,64,65,49,51,241,145,877,161,1647.0,1,0,1628.0,3,3,19,13,3,6,5,10,2,3,2,5,5,12,6,6,5,8,7,3,3,20,22,5,3,3,4,8,3,3
Andrew Nembhard,68,41,27,0.603,1696.685,260,522,0.498,61,171,0.357,45,56,0.804,36,105,141,280,101,63,6,21,143,87,626,65,1321.2,1,0,1246.0,6,3,17,7,5,8,8,9,7,7,11,11,11,10,8,12,12,3,4,4,13,14,19,10,8,10,8,8,3,8
Ben Sheppard,57,32,25,0.561,814.26,90,229,0.393,49,156,0.314,23,26,0.885,15,74,89,53,15,33,2,14,88,23,252,69,528.3,0,0,513.0,10,10,14,15,12,13,13,18,9,8,14,13,13,4,13,13,13,12,14,11,14,11,13,12,13,9,13,12,3,13
Bennedict Mathurin,59,33,26,0.559,1538.39,296,663,0.446,80,214,0.374,184,224,0.821,60,174,234,119,97,35,14,74,117,165,856,-92,1365.3,3,0,1387.0,9,9,16,17,6,7,3,14,6,6,8,3,3,7,7,7,8,7,5,8,9,22,16,2,5,22,7,7,3,7
Bruce Brown,33,19,14,0.576,980.5783333333334,149,314,0.475,33,101,0.327,67,82,0.817,25,129,154,100,41,35,8,20,81,59,398,80,820.8,1,0,771.0,13,13,9,11,11,12,11,12,11,10,12,9,9,9,12,11,11,9,11,8,11,12,12,11,11,8,12,8,3,12
Buddy Hield,52,29,23,0.558,1335.7383333333332,229,517,0.443,137,357,0.384,28,33,0.848,34,133,167,139,62,43,31,20,103,21,623,91,1191.9,0,0,1214.0,11,11,12,18,7,10,9,15,3,2,7,12,12,6,11,10,10,5,8,6,7,12,14,13,9,7,10,12,3,9
Daniel Theis,1,1,0,1.0,8.433333333333334,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,2,0,2.0,0,0,2.0,21,21,1,1,21,20,20,21,16,19,16,21,21,21,20,21,21,21,19,20,18,5,2,20,20,16,21,12,3,21
Doug McDermott,18,12,6,0.667,204.33166666666668,28,69,0.406,18,56,0.321,1,2,0.5,2,9,11,13,4,5,0,0,16,2,75,13,118.7,0,0,127.0,15,15,6,4,15,16,16,17,13,12,13,20,18,20,18,16,17,16,17,16,18,1,7,18,16,14,16,12,3,16
Isaiah Jackson,60,37,23,0.617,770.905,155,233,0.665,0,4,0.0,73,102,0.716,94,144,238,50,39,34,61,22,137,95,383,29,989.6,4,0,861.0,8,7,12,6,13,11,12,1,16,16,16,7,7,16,3,9,7,13,12,10,2,15,18,8,12,11,11,5,3,11
Isaiah Wong,1,1,0,1.0,4.283333333333333,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,-5,2.0,0,0,2.0,21,21,1,1,22,20,21,19,16,19,16,21,21,21,20,21,21,21,19,20,18,1,1,22,20,18,21,12,3,21
Jalen Smith,61,36,25,0.59,1046.625,234,395,0.592,61,144,0.424,72,104,0.692,112,225,337,63,44,17,38,13,124,96,601,-13,1220.9,5,0,1172.0,7,8,14,8,10,9,10,2,7,9,1,8,6,18,2,5,2,11,10,13,6,10,17,7,10,19,9,4,3,10
James Johnson,9,4,5,0.444,47.195,3,10,0.3,0,2,0.0,2,2,1.0,1,3,4,8,5,5,1,2,9,2,8,5,37.8,0,0,32.0,18,18,4,20,18,19,19,20,16,17,16,18,18,1,19,19,19,17,16,16,15,7,5,18,19,15,18,12,3,18
Jarace Walker,33,18,15,0.545,340.42333333333335,45,110,0.409,22,55,0.4,8,9,0.889,12,51,63,40,17,15,11,1,29,12,120,19,316.6,0,0,297.0,13,14,10,19,14,14,14,16,12,13,5,15,15,3,14,14,14,14,13,14,10,5,9,14,14,12,14,12,3,14
Jordan Nwora,18,8,10,0.444,182.51166666666666,37,82,0.451,11,36,0.306,9,11,0.818,8,25,33,18,12,6,1,3,19,11,94,-16,169.6,0,0,170.0,15,17,8,20,16,15,15,13,15,15,15,14,14,8,15,15,15,15,15,15,15,8,8,15,15,20,15,12,3,15
Kendall Brown,15,10,5,0.667,62.50833333333333,8,15,0.533,0,2,0.0,5,8,0.625,3,2,5,5,2,0,0,0,9,6,21,-24,32.5,0,0,31.0,17,16,4,4,17,18,18,6,16,17,16,17,16,19,17,20,18,18,18,20,18,1,5,16,18,21,19,12,3,19
