PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Amir Coffey,70,46,24,0.657,1460.5966666666666,166,352,0.472,70,184,0.38,61,71,0.859,29,119,148,76,33,41,14,20,102,59,463,-92,886.6,1,0,867.0,5,4,15,6,8,8,8,9,6,6,6,9,9,6,9,10,10,9,11,7,10,12,14,9,8,19,9,8,4,8
Bones Hyland,37,20,17,0.541,540.21,97,251,0.386,44,135,0.326,18,23,0.783,5,50,55,93,44,26,4,20,51,34,256,-65,507.5,1,0,508.0,12,12,9,18,11,10,10,16,7,8,10,12,12,9,16,11,13,6,8,8,14,12,11,11,10,18,11,8,4,11
Brandon Boston Jr.,32,17,15,0.531,345.1716666666667,65,161,0.404,14,52,0.269,23,33,0.697,19,33,52,13,24,11,8,13,40,22,167,-111,281.9,0,0,284.0,13,13,8,19,14,12,11,14,10,10,14,11,11,13,12,14,14,15,12,14,11,10,8,12,12,21,12,11,4,12
Daniel Theis,59,37,22,0.627,1006.4066666666666,155,289,0.536,26,70,0.371,38,50,0.76,85,159,244,61,42,21,51,26,126,57,374,62,932.3,1,0,849.0,9,9,13,13,9,9,9,4,9,9,7,10,10,10,4,9,7,10,9,10,4,14,16,10,9,7,8,8,4,9
Ivica Zubac,68,42,26,0.618,1794.4483333333333,337,519,0.649,0,0,0.0,120,166,0.723,196,430,626,93,79,22,83,40,180,137,794,184,1920.7,23,0,1723.0,6,8,17,16,6,5,6,1,18,20,18,5,5,11,1,1,1,6,5,9,1,18,20,5,5,5,4,1,4,4
James Harden,72,46,26,0.639,2469.6683333333335,352,822,0.428,186,488,0.381,302,344,0.878,34,335,369,614,185,77,57,42,127,238,1192,291,2772.8,23,3,2629.0,4,4,17,9,2,4,3,12,2,2,5,1,1,5,8,3,4,1,1,3,3,19,17,2,3,3,3,1,1,3
Jordan Miller,8,5,3,0.625,28.191666666666666,5,9,0.556,1,2,0.5,2,2,1.0,3,2,5,0,1,0,0,2,2,1,13,-13,18.0,0,0,19.0,17,17,5,15,20,17,18,3,16,18,1,15,15,1,17,19,19,20,19,20,21,6,2,19,17,15,20,11,4,20
Joshua Primo,2,2,0,1.0,10.266666666666667,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,4,0,1,1,0,0,2,-1,2.2,0,0,5.0,20,18,1,1,21,21,21,19,18,19,18,20,20,20,19,21,21,20,16,20,18,4,1,20,21,12,21,11,4,21
KJ Martin,2,2,0,1.0,31.366666666666667,4,10,0.4,1,5,0.2,1,2,0.5,1,2,3,1,2,2,1,1,3,2,10,-4,22.1,0,0,21.0,20,18,1,1,19,18,17,15,16,17,16,16,15,16,19,19,20,19,17,19,18,4,3,18,18,14,19,11,4,19
Kawhi Leonard,68,44,24,0.647,2330.04,610,1162,0.525,140,336,0.417,253,286,0.885,84,332,416,244,119,111,59,30,97,287,1613,392,2869.2,4,1,2753.0,6,7,15,8,3,1,2,6,4,4,3,3,3,4,5,4,2,4,4,2,2,16,13,1,2,2,1,4,2,2
