PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Alex Fudge,4,1,3,0.25,14.466666666666667,1,6,0.167,0,2,0.0,2,2,1.0,2,0,2,0,1,0,0,1,1,1,4,-20,5.4,0,0,6.0,21,20,2,20,21,20,20,20,18,20,18,15,16,1,15,20,20,20,18,20,17,3,2,18,20,12,21,8,4,21
Anthony Davis,76,45,31,0.592,2700.2433333333333,713,1283,0.556,29,107,0.271,421,516,0.816,239,722,961,266,159,91,178,80,177,410,1876,151,4076.2,64,2,3670.0,3,3,19,5,1,1,1,3,10,9,13,1,1,6,1,1,1,4,3,1,1,21,21,1,1,3,1,1,2,1
Austin Reaves,82,47,35,0.573,2628.95,457,940,0.486,154,420,0.367,232,272,0.853,57,295,352,450,174,66,25,48,153,243,1300,-41,2496.4,9,1,2438.0,1,1,21,9,2,4,4,7,2,2,8,3,3,4,5,3,3,3,2,4,7,19,19,3,4,15,4,4,3,4
Cam Reddish,48,27,21,0.563,984.0616666666666,91,234,0.389,37,110,0.336,41,54,0.759,27,72,99,48,31,47,14,18,64,44,260,-50,602.8,0,0,566.0,10,10,12,12,7,10,9,15,7,8,10,10,9,8,9,11,11,10,10,6,10,14,13,9,10,17,10,8,4,10
Christian Wood,50,28,22,0.56,871.9433333333334,123,264,0.466,35,114,0.307,66,94,0.702,39,215,254,49,50,16,33,12,72,79,347,3,822.3,2,0,783.0,9,9,13,14,10,8,7,9,8,7,11,6,6,12,7,5,5,9,6,11,5,11,14,6,7,8,7,6,4,7
Colin Castleton,16,9,7,0.563,59.08,9,16,0.563,0,0,0.0,6,6,1.0,6,6,12,3,3,2,0,2,11,3,24,-44,45.9,0,0,43.0,16,15,6,12,17,16,17,2,18,21,18,14,14,1,12,14,14,19,16,16,17,6,7,15,15,16,16,8,4,16
D'Angelo Russell,76,46,30,0.605,2484.1283333333336,492,1080,0.456,226,545,0.415,159,192,0.828,28,208,236,482,156,69,36,35,156,170,1369,184,2534.2,10,0,2523.0,3,2,17,4,4,3,3,10,1,1,3,4,4,5,8,7,6,2,4,3,3,17,20,4,3,2,3,3,4,3
D'Moi Hodge,7,1,6,0.143,41.24333333333333,5,15,0.333,3,12,0.25,1,2,0.5,0,0,0,5,1,1,1,0,4,1,14,-35,26.5,0,0,26.0,19,20,5,21,18,17,18,16,13,14,14,17,16,17,19,20,21,18,18,18,14,1,4,18,17,14,17,8,4,18
Dylan Windler,8,4,4,0.5,27.69333333333333,4,9,0.444,4,8,0.5,0,0,0.0,0,3,3,6,0,0,0,0,2,0,12,-1,24.6,0,0,25.0,18,19,3,16,19,18,19,11,12,16,1,19,19,19,19,18,19,16,20,20,17,1,3,20,18,9,18,8,4,19
Gabe Vincent,11,7,4,0.636,217.635,15,49,0.306,3,28,0.107,1,2,0.5,4,5,9,21,5,9,0,2,19,4,34,31,98.3,0,0,85.0,17,17,3,3,13,13,13,17,13,11,17,17,16,17,13,15,15,13,15,13,17,6,9,14,13,7,13,8,4,13
