PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Bismack Biyombo,30,14,16,0.467,718.0883333333334,67,119,0.563,0,0,0.0,22,46,0.478,57,134,191,51,38,10,34,11,82,42,156,-62,555.7,2,0,486.0,13,8,18,2,11,18,20,1,30,31,30,15,12,25,6,9,7,18,13,18,5,16,28,12,20,17,14,7,1,14
Brandon Clarke,6,2,4,0.333,134.31833333333333,33,59,0.559,1,6,0.167,1,7,0.143,13,19,32,9,3,5,6,5,8,8,68,-8,149.9,0,0,132.0,27,23,3,11,24,21,21,2,27,29,27,27,23,28,16,23,23,25,27,24,16,11,5,22,21,6,21,15,1,22
David Roddy,48,15,33,0.313,1114.0933333333332,155,386,0.402,47,156,0.301,46,67,0.687,51,149,200,76,54,25,11,33,68,53,403,-212,811.0,0,0,798.0,6,6,28,17,7,6,5,20,10,8,17,9,8,20,9,5,5,12,9,13,12,30,24,10,8,30,8,15,1,9
DeJon Jarreau,9,2,7,0.222,149.54666666666665,17,50,0.34,4,13,0.308,5,11,0.455,8,36,44,26,9,6,2,1,14,8,43,-24,149.8,0,0,133.0,21,23,13,26,23,24,24,28,22,22,15,22,21,26,20,20,20,20,22,22,24,4,11,22,24,11,22,15,1,21
Derrick Rose,24,6,18,0.25,399.33666666666664,76,165,0.461,15,41,0.366,24,27,0.889,7,38,45,78,31,8,2,15,21,31,191,-33,361.0,0,0,349.0,14,17,20,22,19,16,17,9,15,17,7,14,17,4,23,19,19,10,15,19,24,21,15,15,16,16,20,15,1,20
Desmond Bane,42,14,28,0.333,1442.8483333333334,360,776,0.464,137,360,0.381,140,161,0.87,36,149,185,230,112,43,22,61,120,125,997,-201,1647.0,3,0,1679.0,8,8,26,11,3,2,2,8,1,2,5,2,2,6,12,5,8,1,2,4,9,32,31,3,2,29,2,4,1,2
GG Jackson,48,14,34,0.292,1233.165,241,563,0.428,102,286,0.357,115,153,0.752,53,143,196,59,65,28,24,40,64,101,699,-194,1113.7,2,0,1160.0,6,8,29,18,5,4,4,16,5,4,8,3,3,16,8,8,6,15,6,11,8,31,23,4,3,28,5,7,1,5
Ja Morant,9,6,3,0.667,317.925,80,170,0.471,14,51,0.275,52,64,0.813,6,44,50,73,27,7,5,16,19,48,226,11,404.5,3,0,387.0,21,17,2,1,20,15,16,7,16,16,21,8,9,11,25,18,18,14,18,20,17,22,14,11,13,1,19,4,1,19
Jack White,4,0,4,0.0,63.64833333333333,2,16,0.125,2,10,0.2,0,0,0.0,4,8,12,1,2,4,1,0,3,0,6,-28,34.9,0,0,31.0,31,31,3,31,32,32,31,33,25,24,25,29,31,29,27,30,31,32,29,25,28,1,2,32,32,12,32,15,1,32
Jacob Gilyard,37,10,27,0.27,653.7616666666667,60,144,0.417,51,120,0.425,2,2,1.0,8,35,43,131,29,27,5,5,35,14,173,-156,488.1,0,0,462.0,10,12,24,20,13,20,18,18,9,11,2,26,28,1,20,21,21,6,16,12,17,11,18,20,17,26,16,15,1,16
