PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Alondes Williams,7,5,2,0.714,15.595,2,8,0.25,0,4,0.0,1,1,1.0,0,1,1,0,2,0,1,1,2,1,5,-20,7.2,0,0,8.0,21,20,1,2,21,21,21,21,21,21,21,20,21,1,21,21,21,21,21,20,18,3,1,19,21,17,21,11,3,21
Bam Adebayo,71,40,31,0.563,2416.4733333333334,530,1017,0.521,15,42,0.357,292,387,0.755,159,578,737,278,162,81,66,46,159,343,1367,50,2947.4,42,2,2691.0,2,2,20,9,1,1,1,2,12,13,11,2,2,18,1,1,1,2,1,1,1,19,19,1,1,7,1,1,1,1
Caleb Martin,64,36,28,0.563,1756.5533333333333,241,559,0.431,81,232,0.349,77,99,0.778,74,207,281,143,77,47,29,40,126,108,640,66,1342.7,2,0,1297.0,5,5,18,10,5,6,6,13,4,4,13,7,6,16,4,4,5,8,6,5,3,17,18,4,6,5,6,4,3,6
Cole Swider,18,8,10,0.444,86.79833333333333,15,38,0.395,10,30,0.333,2,2,1.0,1,6,7,5,8,1,1,0,4,1,42,-20,55.9,0,0,68.0,16,17,6,20,19,18,18,17,16,15,16,18,18,1,20,19,19,20,15,19,18,1,2,19,18,17,19,11,3,19
Delon Wright,14,10,4,0.714,285.69,26,66,0.394,11,30,0.367,13,16,0.813,6,21,27,37,3,19,3,0,10,16,76,62,226.9,0,0,195.0,17,16,3,2,15,17,17,18,13,15,10,16,16,12,16,16,16,13,19,12,15,1,4,15,16,6,15,11,3,15
Dru Smith,9,7,2,0.778,130.895,15,33,0.455,7,17,0.412,2,2,1.0,6,8,14,14,5,9,3,1,12,6,39,-43,107.8,0,0,98.0,19,18,1,1,18,18,19,7,18,18,3,18,18,1,16,18,18,17,18,17,15,3,5,18,19,20,18,11,3,18
Duncan Robinson,68,38,30,0.559,1905.4483333333333,304,675,0.45,187,473,0.395,80,90,0.889,15,158,173,192,95,46,16,25,163,77,875,38,1461.6,0,0,1551.0,3,4,19,11,4,5,5,9,1,1,7,6,7,7,14,8,9,4,4,6,6,15,20,7,4,9,4,11,3,4
Haywood Highsmith,66,39,27,0.591,1365.835,153,329,0.465,76,192,0.396,23,36,0.639,65,145,210,70,34,53,30,14,117,42,405,7,977.0,0,0,927.0,4,3,16,4,7,10,10,6,5,6,6,13,13,20,5,9,7,12,12,4,2,14,17,12,10,15,8,11,3,9
Jaime Jaquez Jr.,75,44,31,0.587,2113.195,341,697,0.489,65,202,0.322,142,175,0.811,82,203,285,195,110,77,20,63,167,135,889,108,1704.5,1,0,1628.0,1,1,20,5,2,3,4,5,8,5,17,3,3,13,3,5,4,3,2,3,4,20,21,3,3,4,3,7,3,3
Jamal Cain,26,14,12,0.538,259.09166666666664,34,79,0.43,11,31,0.355,18,23,0.783,15,22,37,10,8,10,5,3,22,15,97,-27,193.4,0,0,185.0,15,15,7,16,16,15,15,14,13,14,12,15,15,15,14,15,15,18,15,15,14,6,7,16,15,19,16,11,3,16
