PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
AJ Green,56,35,21,0.625,614.2816666666666,83,196,0.423,69,169,0.408,17,19,0.895,9,55,64,30,12,9,4,3,49,20,252,50,400.8,0,0,441.0,8,7,12,5,10,10,10,14,7,7,3,12,12,4,12,13,12,13,14,13,12,7,10,11,10,6,12,9,3,10
Andre Jackson Jr.,57,33,24,0.579,572.3283333333334,50,100,0.5,17,46,0.37,8,11,0.727,43,70,113,50,28,16,6,3,92,11,125,-89,373.6,1,0,349.0,7,8,13,16,12,13,13,4,13,13,8,14,14,13,5,11,9,11,9,11,11,7,14,14,13,21,13,6,3,13
Bobby Portis,82,49,33,0.598,2008.1666666666667,466,918,0.508,100,246,0.407,98,124,0.79,142,465,607,104,91,68,34,33,189,104,1130,-5,2229.4,17,0,2145.0,1,1,20,13,5,3,3,3,4,5,4,5,4,10,2,2,2,8,4,3,3,19,19,5,3,9,4,2,3,3
Brook Lopez,79,48,31,0.608,2411.1516666666666,366,755,0.485,148,404,0.366,110,134,0.821,117,292,409,127,79,43,189,22,191,120,990,278,2288.3,5,0,2138.0,2,2,18,12,3,4,4,9,3,3,9,3,3,9,3,3,3,5,5,6,1,16,20,3,4,4,3,4,3,4
Cameron Payne,47,30,17,0.638,701.705,101,222,0.455,52,131,0.397,37,44,0.841,5,57,62,109,31,22,3,8,73,33,291,-14,572.9,0,0,564.0,12,10,10,4,9,9,9,10,9,9,6,7,7,7,15,12,13,6,8,9,14,12,12,9,9,13,9,9,3,9
Chris Livingston,21,13,8,0.619,90.53333333333333,11,22,0.5,1,5,0.2,3,4,0.75,3,18,21,5,5,2,0,3,15,4,26,-27,59.7,0,0,57.0,15,15,6,8,16,16,16,4,17,17,17,15,15,12,16,14,14,16,16,17,17,7,6,16,16,16,16,9,3,16
Damian Lillard,73,48,25,0.658,2578.4283333333333,541,1277,0.424,220,622,0.354,473,514,0.92,36,284,320,508,193,72,18,85,134,357,1775,389,2998.0,12,0,3003.0,5,2,15,3,1,2,2,13,2,1,11,2,2,3,8,4,4,1,2,2,5,20,16,2,2,1,2,3,3,2
Danilo Gallinari,17,9,8,0.529,154.745,14,37,0.378,3,17,0.176,16,18,0.889,6,12,18,12,10,6,1,2,15,13,47,-48,97.6,0,0,94.0,16,17,6,18,15,15,14,18,14,14,18,13,13,5,14,15,15,15,15,15,16,6,6,13,14,19,14,9,3,14
Giannis Antetokounmpo,73,45,28,0.616,2567.2433333333333,837,1369,0.611,34,124,0.274,514,782,0.657,196,645,841,476,250,87,79,90,210,604,2222,339,4193.2,57,10,3905.0,5,5,17,10,2,1,1,1,10,10,15,1,1,17,1,1,1,2,1,1,2,21,21,1,1,2,1,1,1,1
Jae Crowder,50,25,25,0.5,1155.6983333333333,114,270,0.422,58,166,0.349,26,36,0.722,31,130,161,66,23,38,9,8,74,34,312,-69,722.2,0,0,691.0,10,12,15,19,8,8,8,15,8,8,12,8,8,14,9,8,8,10,11,8,8,12,13,8,8,20,8,9,3,8
Khris Middleton,55,31,24,0.564,1487.27,317,643,0.493,94,247,0.381,100,120,0.833,40,217,257,292,127,51,15,26,141,110,828,125,1645.4,5,1,1603.0,9,9,13,17,7,6,6,7,5,4,7,4,5,8,7,6,6,3,3,5,6,17,17,4,6,5,5,4,2,6
Lindell Wigginton,3,3,0,1.0,7.63,2,5,0.4,0,2,0.0,2,2,1.0,0,0,0,0,1,0,0,0,1,1,6,-10,5.0,0,0,6.0,19,19,1,1,20,19,19,16,19,18,19,16,16,1,19,21,21,20,19,20,17,1,1,19,19,10,20,9,3,20
Malik Beasley,79,46,33,0.582,2337.3716666666664,320,722,0.443,224,542,0.413,25,35,0.714,41,249,290,108,54,59,9,27,158,40,889,291,1549.0,1,0,1647.0,2,4,20,15,4,5,5,11,1,2,2,9,9,15,6,5,5,7,6,4,8,18,18,7,5,3,6,6,3,5
MarJon Beauchamp,48,30,18,0.625,607.6883333333334,81,166,0.488,30,75,0.4,19,28,0.679,22,77,99,31,27,13,7,17,54,20,211,-12,409.3,0,0,411.0,11,10,11,5,11,11,11,8,11,11,5,11,10,16,10,9,10,12,10,12,10,15,11,11,11,11,11,9,3,11
Marques Bolden,2,2,0,1.0,2.9633333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,1,0,0,8,2.4,0,0,2.0,21,20,1,1,21,21,21,21,19,21,19,18,19,18,19,18,19,20,21,20,17,1,1,20,21,7,21,9,3,21
Pat Connaughton,76,45,31,0.592,1676.28,151,347,0.435,82,238,0.345,44,58,0.759,51,188,239,161,49,40,19,10,99,60,428,-14,1084.3,0,0,1028.0,4,5,18,14,6,7,7,12,6,6,13,6,6,11,4,7,7,4,7,7,4,14,15,6,7,13,7,9,3,7
Patrick Beverley,26,16,10,0.615,543.465,54,138,0.391,26,72,0.361,23,27,0.852,19,75,94,68,16,19,13,6,45,32,157,-46,451.8,1,0,409.0,14,14,8,11,13,12,12,17,12,12,10,10,11,6,11,10,11,9,12,10,7,11,9,10,12,18,10,6,3,12
Robin Lopez,16,10,6,0.625,64.73,7,19,0.368,2,8,0.25,2,2,1.0,3,2,5,4,2,1,3,1,7,4,18,-23,40.0,0,0,37.0,17,16,4,5,17,17,18,19,15,15,16,16,16,1,16,18,17,18,17,19,14,5,5,16,17,15,17,9,3,17
Ryan Rollins,3,0,3,0.0,11.966666666666667,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,3,1,2,0,0,1,0,3,5,14.9,0,0,13.0,19,21,3,21,19,20,20,4,17,19,1,18,19,18,19,18,19,19,19,17,17,1,1,20,20,8,19,9,3,19
Thanasis Antetokounmpo,34,21,13,0.618,155.43166666666667,16,30,0.533,0,1,0.0,0,2,0.0,7,6,13,17,14,7,4,3,24,7,32,-40,92.1,0,0,84.0,13,13,9,9,14,14,15,2,19,19,19,18,16,18,13,16,16,14,13,14,12,7,8,15,15,17,15,9,3,15
TyTy Washington Jr.,11,5,6,0.455,55.92166666666667,6,20,0.3,2,6,0.333,0,0,0.0,1,4,5,5,2,3,0,0,1,2,14,-13,34.5,0,0,32.0,18,18,4,20,18,18,17,20,15,16,14,18,19,18,18,17,17,16,17,16,17,1,1,18,18,12,18,9,3,18
