PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Anthony Edwards,79,54,25,0.684,2770.383333333333,718,1558,0.461,190,532,0.357,423,506,0.836,52,378,430,405,241,101,42,56,141,336,2049,432,3360.5,9,0,3360.0,3,4,17,13,1,1,1,10,1,1,10,1,1,5,6,3,3,2,1,1,4,17,14,2,1,1,1,3,1,1
Daishen Nix,15,11,4,0.733,49.78333333333333,9,24,0.375,6,17,0.353,3,6,0.5,1,2,3,6,5,5,0,3,2,3,27,28,49.6,0,0,52.0,17,17,2,4,18,17,16,18,13,13,11,15,15,16,17,18,18,16,13,13,18,6,2,15,17,12,18,6,1,17
Jaden McDaniels,72,48,24,0.667,2105.4533333333334,307,628,0.489,86,255,0.337,57,79,0.722,56,168,224,101,87,63,42,28,219,93,757,156,1405.3,0,0,1378.0,7,7,15,17,4,5,5,5,6,6,12,7,7,11,5,7,6,9,7,5,4,14,18,7,6,8,7,6,1,6
Jordan McLaughlin,56,35,21,0.625,626.12,70,145,0.483,42,89,0.472,13,18,0.722,18,54,72,110,19,35,7,5,31,30,195,155,553.4,0,0,503.0,9,9,12,19,9,9,10,6,7,7,1,12,12,10,10,10,9,6,10,9,10,9,10,10,9,9,9,6,1,9
Josh Minott,32,23,9,0.719,91.42833333333333,17,36,0.472,4,10,0.4,12,14,0.857,4,13,17,8,2,5,5,3,10,8,50,20,110.4,0,0,99.0,12,12,8,6,15,15,15,9,14,15,6,13,14,4,16,15,16,14,17,13,11,6,5,14,14,13,14,6,1,14
Justin Jackson,2,2,0,1.0,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,19,19,1,1,19,19,19,19,17,19,17,18,18,18,18,19,19,19,19,19,18,1,1,19,19,17,19,6,1,19
Karl-Anthony Towns,62,42,20,0.677,2025.565,479,951,0.504,136,327,0.416,255,292,0.873,94,421,515,189,177,43,41,67,204,262,1349,321,2325.5,22,0,2357.0,8,8,11,16,5,2,2,3,4,5,4,2,3,2,2,2,2,5,2,8,7,19,17,3,2,3,3,2,1,3
Kyle Anderson,79,55,24,0.696,1781.8816666666667,199,433,0.46,11,48,0.229,97,137,0.708,60,213,273,331,91,71,47,20,128,103,506,167,1593.1,0,0,1357.0,3,3,15,11,8,8,8,11,11,11,15,6,5,13,4,5,5,3,6,3,3,13,12,6,8,7,6,6,1,8
Leonard Miller,17,13,4,0.765,52.4,13,20,0.65,2,5,0.4,1,2,0.5,5,15,20,8,1,2,1,1,5,1,29,8,73.0,0,0,65.0,16,16,2,2,17,16,17,2,15,17,6,17,17,16,13,14,15,14,18,18,14,3,3,17,16,14,16,6,1,16
Luka Garza,25,17,8,0.68,121.84,36,75,0.48,9,32,0.281,18,25,0.72,19,12,31,4,6,4,1,5,24,21,99,7,151.2,0,0,153.0,14,15,6,15,14,13,13,7,12,12,13,11,10,12,9,16,13,18,12,16,14,9,8,11,13,15,13,6,1,13
