PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Brandon Ingram,64,38,26,0.594,2102.68,500,1017,0.492,86,242,0.355,246,307,0.801,43,281,324,363,163,50,40,47,145,241,1332,175,2372.3,3,1,2285.0,7,6,14,12,4,2,3,5,5,5,10,2,2,9,8,3,3,1,2,8,5,18,17,2,2,6,2,3,1,3
CJ McCollum,66,42,24,0.636,2158.536666666667,484,1055,0.459,239,557,0.429,115,139,0.827,39,247,286,305,110,62,41,41,126,113,1322,195,2321.7,2,0,2358.0,5,3,12,4,3,3,2,8,1,1,3,6,6,7,10,4,5,3,4,4,4,16,16,5,3,5,3,4,2,2
Cody Zeller,43,26,17,0.605,319.70666666666665,26,62,0.419,1,3,0.333,23,38,0.605,48,64,112,39,16,9,5,10,45,37,76,46,294.9,0,0,256.0,12,12,8,8,14,14,14,12,15,16,11,12,12,17,7,12,12,12,13,13,12,9,9,12,14,11,12,8,2,13
Dereon Seabron,6,3,3,0.5,55.083333333333336,4,13,0.308,1,2,0.5,5,6,0.833,1,6,7,5,0,2,1,1,4,4,14,28,38.9,0,0,33.0,17,16,4,17,16,16,16,16,15,17,1,16,16,6,16,16,16,16,17,16,15,3,5,16,16,12,16,8,2,16
Dyson Daniels,61,34,27,0.557,1358.525,139,311,0.447,42,135,0.311,34,53,0.642,62,174,236,164,59,85,25,14,101,42,354,71,1154.2,1,0,1016.0,8,10,15,15,7,10,10,9,8,8,14,11,10,16,5,9,9,6,7,2,7,10,15,11,10,9,7,6,2,7
E.J. Liddell,8,3,5,0.375,23.083333333333332,1,6,0.167,0,5,0.0,2,2,1.0,0,5,5,1,2,2,2,0,2,1,4,-4,21.5,0,0,18.0,16,16,5,19,17,18,17,18,17,15,17,17,17,1,18,17,17,17,16,16,14,1,4,17,17,18,17,8,2,17
Herbert Jones,76,46,30,0.605,2321.4283333333333,293,588,0.498,114,273,0.418,137,158,0.867,74,198,272,199,93,105,62,42,224,139,837,231,1869.9,0,0,1756.0,2,2,19,7,1,5,6,4,3,4,4,4,4,4,4,7,7,4,5,1,2,17,20,4,6,3,5,8,2,5
Izaiah Brockington,1,1,0,1.0,3.3833333333333333,2,5,0.4,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,0,4,3,6.4,0,0,6.0,18,18,1,1,19,17,18,14,17,19,17,18,18,18,16,18,18,18,17,18,18,3,1,18,17,15,18,8,2,18
Jalen Crutcher,1,1,0,1.0,2.65,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,18,18,1,1,20,19,20,19,17,20,17,18,18,18,18,20,20,18,17,18,18,1,1,18,19,16,20,8,2,20
Jeremiah Robinson-Earl,39,22,17,0.564,334.31333333333333,45,95,0.474,13,39,0.333,12,16,0.75,23,53,76,21,16,10,4,3,24,14,115,-22,263.7,0,0,253.0,13,13,8,14,13,13,13,6,12,12,11,14,13,13,13,13,13,13,13,12,13,7,7,14,13,20,13,8,2,14
Jonas Valanciunas,82,49,33,0.598,1924.8316666666667,402,719,0.559,37,120,0.308,161,205,0.785,186,535,721,173,111,33,68,47,218,196,1002,158,2318.7,33,0,2135.0,1,1,20,11,5,4,4,3,10,9,15,3,3,11,1,1,1,5,3,10,1,18,19,3,4,7,4,1,2,4
Jordan Hawkins,67,38,29,0.567,1160.58,174,456,0.382,109,298,0.366,67,80,0.838,29,119,148,70,40,19,7,17,72,43,524,12,844.6,0,0,903.0,4,6,18,13,10,7,7,15,4,3,9,8,8,5,11,10,10,11,9,11,11,13,11,10,7,14,11,8,2,10
Jose Alvarado,56,38,18,0.679,1028.37,142,345,0.412,78,207,0.377,35,52,0.673,25,103,128,117,40,59,15,22,89,46,397,240,908.1,0,0,868.0,11,6,10,3,11,9,9,13,6,6,8,10,11,15,12,11,11,9,9,6,9,15,12,9,9,2,10,8,2,11
Kaiser Gates,1,0,1,0.0,7.433333333333334,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,-2,1.2,0,0,1.0,18,20,3,20,18,19,19,19,17,17,17,18,18,18,18,18,19,18,17,18,18,3,1,18,19,17,19,8,2,19
Kira Lewis Jr.,15,9,6,0.6,143.56,16,52,0.308,2,20,0.1,10,11,0.909,4,10,14,18,8,5,1,4,8,8,44,-19,97.8,0,0,90.0,15,15,6,9,15,15,15,16,14,13,16,15,15,3,15,15,15,14,15,15,15,8,6,15,15,19,15,8,2,15
Larry Nance Jr.,61,34,27,0.557,1216.1383333333333,138,241,0.573,27,65,0.415,47,61,0.77,94,213,307,113,49,61,19,15,98,75,350,71,1078.9,2,0,957.0,8,10,15,15,9,11,11,1,11,11,5,9,9,12,3,6,4,10,8,5,8,11,14,7,11,9,8,4,2,9
