PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Alec Burks,23,11,12,0.478,310.9683333333333,50,163,0.307,25,83,0.301,24,33,0.727,8,32,40,20,16,7,1,10,11,23,149,-70,235.0,0,0,250.0,14,17,14,22,15,14,13,20,11,11,15,13,14,15,15,15,15,14,14,14,16,13,11,15,14,25,15,7,3,15
Bojan Bogdanovic,29,17,12,0.586,557.07,110,256,0.43,47,127,0.37,36,45,0.8,9,49,58,26,38,7,1,16,38,33,303,-95,397.6,0,0,450.0,12,12,14,19,14,12,11,15,8,9,8,10,11,10,14,14,14,12,8,14,16,17,13,12,12,26,13,7,3,13
Charlie Brown Jr.,8,2,6,0.25,37.28333333333333,2,10,0.2,2,7,0.286,0,0,0.0,1,1,2,0,2,0,2,1,5,1,6,-6,12.4,0,0,14.0,21,22,9,24,22,22,20,22,14,16,16,21,22,21,18,23,23,24,19,22,15,6,8,20,22,17,23,7,3,23
DaQuan Jeffries,17,11,6,0.647,45.975,6,17,0.353,2,10,0.2,0,2,0.0,0,5,5,5,3,0,1,1,2,1,14,-10,27.5,0,0,28.0,17,17,9,10,18,18,19,19,14,15,19,21,17,21,19,20,21,18,17,22,16,6,4,20,18,18,20,7,3,19
Dmytro Skapintsev,2,0,2,0.0,2.1333333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,26,26,5,26,26,24,25,24,21,24,21,21,22,21,19,26,26,24,24,22,20,1,1,24,24,14,26,7,3,26
Donte DiVincenzo,81,50,31,0.617,2360.3933333333334,445,1004,0.443,283,705,0.401,86,114,0.754,63,234,297,216,113,107,36,32,166,123,1259,162,2255.4,0,0,2341.0,1,1,25,16,3,2,2,13,1,1,4,6,6,14,6,5,5,4,4,1,3,22,24,4,2,6,2,7,3,2
Dylan Windler,3,2,1,0.667,7.433333333333334,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,1,0,3,8,5.7,0,0,6.0,23,22,2,6,25,23,24,6,17,21,1,21,22,21,19,23,24,23,24,22,20,1,2,24,23,10,24,7,3,24
Evan Fournier,3,2,1,0.667,38.63333333333333,4,20,0.2,2,15,0.133,2,2,1.0,0,4,4,3,1,4,0,0,4,1,12,-11,32.3,0,0,29.0,23,22,2,6,20,20,18,22,14,13,20,17,17,1,19,21,22,21,21,16,20,1,7,20,20,20,18,7,3,18
Immanuel Quickley,30,16,14,0.533,720.17,152,335,0.454,64,162,0.395,82,94,0.872,5,72,77,74,31,16,3,13,44,67,450,121,679.4,0,0,703.0,11,13,17,21,12,9,8,10,7,7,6,7,7,5,16,12,13,7,10,11,13,14,14,7,8,7,10,7,3,9
Isaiah Hartenstein,75,47,28,0.627,1896.3483333333334,235,365,0.644,1,3,0.333,111,157,0.707,244,382,626,188,93,87,85,29,210,136,582,406,2038.2,10,0,1741.0,4,4,23,14,4,5,7,2,17,20,10,3,3,16,1,2,2,5,5,2,1,21,26,3,5,2,4,3,3,5
