PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Aaron Wiggins,78,55,23,0.705,1227.9383333333333,212,377,0.562,62,126,0.492,56,71,0.789,60,126,186,86,56,56,19,33,91,59,542,94,1063.2,0,0,1026.0,5,4,17,10,8,8,8,3,8,10,2,6,6,12,6,10,9,10,6,5,9,18,14,7,8,11,8,5,2,8
Adam Flagler,2,2,0,1.0,14.016666666666667,1,7,0.143,1,6,0.167,0,0,0.0,0,0,0,4,0,0,0,0,0,0,3,0,9.0,0,0,8.0,22,22,1,1,22,22,22,22,19,19,20,20,21,20,22,22,22,18,22,21,20,1,1,21,22,15,22,5,2,22
Aleksej Pokusevski,10,8,2,0.8,60.45,4,16,0.25,2,11,0.182,2,4,0.5,2,8,10,5,3,1,1,0,5,2,12,-34,34.5,0,0,33.0,19,18,2,3,21,21,19,21,17,17,19,17,17,17,19,19,19,17,19,17,17,1,3,20,20,21,20,5,2,20
Bismack Biyombo,10,6,4,0.6,73.37333333333333,7,12,0.583,0,0,0.0,4,8,0.5,5,13,18,2,4,1,3,2,7,4,18,-3,50.6,0,0,46.0,19,21,5,20,19,19,21,1,22,22,22,16,16,17,16,18,18,21,16,17,14,8,5,16,18,18,18,5,2,19
Cason Wallace,82,57,25,0.695,1691.9216666666666,217,442,0.491,98,234,0.419,29,37,0.784,52,135,187,120,45,76,37,23,129,38,561,127,1259.4,0,0,1192.0,1,1,20,13,6,7,7,8,5,7,6,9,10,13,7,9,8,5,8,3,6,16,18,9,7,8,6,5,2,7
Chet Holmgren,82,57,25,0.695,2412.7966666666666,505,953,0.53,129,349,0.37,218,275,0.793,129,519,648,200,131,53,190,65,197,250,1357,423,3032.6,23,0,2820.0,1,1,20,13,2,3,3,6,3,3,11,2,2,11,1,1,1,4,3,6,1,20,21,2,2,2,2,1,2,2
Davis Bertans,15,11,4,0.733,91.10833333333333,10,26,0.385,10,24,0.417,14,15,0.933,2,8,10,9,1,3,3,1,10,8,44,24,86.5,0,0,85.0,16,15,5,6,18,17,16,18,15,15,7,11,13,3,19,19,19,16,21,15,14,6,7,15,16,12,17,5,2,17
Gordon Hayward,26,18,8,0.692,447.3666666666667,48,106,0.453,15,29,0.517,27,39,0.692,13,51,64,42,15,12,1,7,21,27,138,-1,301.8,0,0,285.0,14,14,10,15,11,13,12,13,13,14,1,10,9,15,11,11,11,12,13,11,17,11,9,11,11,16,11,5,2,11
Isaiah Joe,78,54,24,0.692,1444.8666666666666,222,485,0.458,147,353,0.416,45,52,0.865,32,148,180,99,47,46,22,15,87,91,636,352,1157.5,0,0,1198.0,5,6,18,15,7,6,6,12,2,2,8,7,7,6,10,7,10,8,7,8,8,14,13,6,6,5,7,5,2,6
Jalen Williams,71,51,20,0.718,2223.5983333333334,536,993,0.54,103,241,0.427,180,221,0.814,37,245,282,322,123,80,45,51,175,183,1355,383,2428.4,3,0,2312.0,8,8,13,8,4,2,2,4,4,6,4,3,3,8,8,4,5,3,4,2,4,19,19,3,3,3,3,4,2,3
