PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Admiral Schofield,23,15,8,0.652,84.35833333333333,10,26,0.385,6,16,0.375,0,2,0.0,3,14,17,7,5,1,0,3,9,3,26,-13,54.9,0,0,58.0,15,15,2,1,16,16,17,15,14,16,4,17,17,17,15,16,16,16,16,17,17,6,3,16,17,15,17,6,2,16
Anthony Black,69,39,30,0.565,1164.21,115,247,0.466,37,94,0.394,49,80,0.613,33,106,139,91,56,35,21,16,110,79,316,-33,731.3,0,0,695.0,6,7,14,11,9,11,10,9,11,11,3,9,9,14,10,10,10,9,8,10,8,9,12,7,10,17,12,6,2,12
Caleb Houstan,59,31,28,0.525,815.335,80,206,0.388,72,193,0.373,21,26,0.808,28,56,84,29,16,15,4,1,61,19,253,-30,438.3,0,0,476.0,9,11,11,14,13,13,13,14,6,6,7,13,13,5,11,14,13,13,13,13,15,4,6,13,13,16,13,6,2,13
Chuma Okeke,47,24,23,0.511,431.73,40,112,0.357,23,82,0.28,4,7,0.571,18,62,80,20,16,9,7,2,19,5,107,-70,265.0,0,0,262.0,13,14,7,15,14,14,14,17,12,12,13,15,15,15,13,13,14,14,13,14,12,5,5,15,14,18,14,6,2,14
Cole Anthony,81,47,34,0.58,1817.3116666666667,332,763,0.435,93,275,0.338,180,218,0.826,64,247,311,236,126,64,37,32,175,162,937,110,1841.2,3,0,1779.0,1,1,16,7,4,4,3,13,4,4,10,3,3,2,7,4,5,3,4,4,5,15,17,5,4,4,4,4,2,4
Franz Wagner,72,44,28,0.611,2337.4166666666665,528,1096,0.482,94,334,0.281,271,319,0.85,72,309,381,269,137,76,28,77,168,277,1421,204,2456.7,0,0,2373.0,5,4,11,4,2,2,2,6,3,3,12,2,2,1,6,2,2,2,2,2,6,17,16,2,2,1,2,6,2,2
Gary Harris,54,35,19,0.648,1297.3466666666666,131,297,0.441,76,205,0.371,34,45,0.756,24,67,91,87,31,49,14,8,91,36,372,91,769.7,0,0,752.0,12,8,6,2,7,9,8,11,5,5,8,10,10,7,12,12,12,10,11,5,11,8,10,11,8,6,11,6,2,10
Goga Bitadze,62,34,28,0.548,957.0866666666667,126,209,0.603,2,14,0.143,57,87,0.655,109,177,286,79,44,32,72,16,107,79,311,26,1040.7,5,0,886.0,8,10,11,12,10,10,12,2,17,17,17,8,7,13,3,8,6,11,10,12,1,9,11,7,11,9,8,3,2,8
Jalen Suggs,75,43,32,0.573,2024.59,336,714,0.471,153,385,0.397,118,156,0.756,48,181,229,205,132,106,47,26,205,183,943,45,1852.3,0,0,1836.0,4,5,15,10,3,3,4,8,1,1,2,5,5,6,9,7,8,4,3,1,3,13,18,4,3,8,3,6,2,3
Jett Howard,18,9,9,0.5,66.51666666666667,10,30,0.333,7,25,0.28,2,4,0.5,1,6,7,6,3,2,2,0,4,3,29,4,55.4,0,0,57.0,16,16,3,16,17,16,16,18,13,13,14,16,16,16,17,17,17,17,17,16,16,1,2,16,16,11,16,6,2,17
Joe Ingles,68,42,26,0.618,1169.0316666666668,99,227,0.436,70,161,0.435,28,34,0.824,18,124,142,203,67,43,5,5,88,32,296,165,847.9,0,0,807.0,7,6,10,3,8,12,11,12,7,8,1,11,11,3,13,9,9,5,7,6,13,7,9,12,12,3,9,6,2,9
Jonathan Isaac,58,35,23,0.603,914.61,146,286,0.51,42,112,0.375,59,82,0.72,73,187,260,30,27,43,70,16,64,69,393,182,1062.0,0,0,951.0,10,8,7,5,11,8,9,5,9,10,4,7,8,10,5,6,7,12,12,6,2,9,7,9,7,2,7,6,2,7
Kevon Harris,2,1,1,0.5,6.05,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,3,0,4,0,6.9,0,0,7.0,18,18,1,16,18,18,18,1,18,18,18,17,18,17,18,18,18,18,18,18,17,1,1,18,18,13,18,6,2,18
Markelle Fultz,43,25,18,0.581,909.9383333333334,154,326,0.472,4,18,0.222,23,33,0.697,56,82,138,120,50,42,15,27,65,40,335,13,801.6,0,0,711.0,14,13,5,6,12,7,7,7,15,14,15,12,12,11,8,11,11,6,9,8,10,14,8,10,9,10,10,6,2,11
