PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Buddy Hield,32,17,15,0.531,824.15,142,333,0.426,82,211,0.389,24,26,0.923,27,75,102,97,41,27,11,13,66,19,390,-27,730.9,1,0,747.0,14,15,16,18,9,6,7,17,4,5,8,14,15,1,12,12,12,10,7,9,11,19,18,17,7,26,10,7,2,8
Cameron Payne,31,16,15,0.516,602.3716666666667,107,259,0.413,52,136,0.382,21,23,0.913,16,39,55,96,35,20,8,16,53,28,287,3,546.0,1,0,546.0,17,17,16,21,14,9,8,18,8,8,10,15,17,2,15,16,17,11,11,13,15,21,16,14,10,13,11,7,2,11
D.J. Wilson,2,1,1,0.5,15.466666666666667,4,6,0.667,2,2,1.0,0,0,0.0,1,1,2,2,0,0,2,1,1,0,10,2,21.4,0,0,20.0,24,23,3,22,24,22,22,1,22,23,1,22,22,22,21,25,24,22,25,24,19,5,5,23,22,15,23,13,2,23
Danny Green,2,1,1,0.5,18.45,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,1,0,0,1,0,0,0,6.9,0,0,5.0,24,23,3,22,23,25,25,25,24,25,24,22,22,22,23,24,24,24,25,23,23,1,5,23,25,16,24,13,2,24
Danuel House Jr.,34,21,13,0.618,509.055,47,105,0.448,15,50,0.3,35,46,0.761,16,42,58,28,19,15,5,7,45,39,144,20,296.6,0,0,285.0,13,13,13,8,15,16,17,12,15,14,22,9,10,12,15,15,15,15,15,16,17,15,12,11,16,11,17,13,2,17
Darius Bazley,3,0,3,0.0,9.783333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0,0,0,-1,3.2,0,0,3.0,22,28,7,28,25,25,26,25,24,26,24,22,22,22,23,25,26,22,24,24,23,5,1,23,25,17,26,13,2,26
De'Anthony Melton,38,25,13,0.658,1023.3316666666667,139,360,0.386,77,214,0.36,66,79,0.835,28,113,141,114,39,60,16,22,84,58,421,218,950.2,0,0,905.0,10,10,13,6,7,7,6,23,5,4,15,5,6,9,11,9,9,6,8,5,9,22,20,7,6,4,7,13,2,6
Filip Petrusev,1,1,0,1.0,2.683333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,3,1.2,0,0,1.0,27,23,1,1,27,25,27,25,24,26,24,22,22,22,23,25,26,25,25,24,23,1,1,23,25,13,27,13,2,27
Furkan Korkmaz,35,22,13,0.629,299.9266666666667,30,76,0.395,14,40,0.35,14,20,0.7,4,26,30,25,10,14,3,2,17,16,88,45,202.5,0,0,191.0,12,11,13,7,18,19,19,20,16,16,18,19,19,18,19,19,19,18,18,17,18,8,10,18,19,8,19,13,2,19
Jaden Springer,32,17,15,0.531,377.365,46,118,0.39,8,37,0.216,28,34,0.824,25,33,58,35,26,25,11,14,49,29,128,-66,332.1,0,0,301.0,14,15,16,18,17,17,15,22,20,17,23,12,13,10,13,17,15,14,14,10,11,20,13,13,17,28,16,13,2,16
