PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Bol Bol,43,28,15,0.651,469.0283333333333,93,151,0.616,22,52,0.423,15,19,0.789,32,105,137,17,19,10,25,3,42,11,223,13,498.9,1,0,469.0,10,9,10,3,12,8,11,2,10,13,5,14,14,11,9,9,9,15,12,13,8,6,12,15,10,9,11,6,2,11
Bradley Beal,53,33,20,0.623,1766.7333333333333,377,735,0.513,101,235,0.43,109,134,0.813,54,178,232,265,131,52,27,37,127,102,964,107,1745.9,3,0,1720.0,8,8,15,7,6,3,3,6,5,5,4,5,5,9,5,6,6,4,4,6,7,18,18,5,4,7,5,4,2,5
Chimezie Metu,37,22,15,0.595,447.5183333333333,66,130,0.508,15,51,0.294,38,43,0.884,24,86,110,19,27,19,9,8,39,26,185,-37,402.5,1,0,385.0,13,13,10,14,14,12,13,8,14,14,14,9,9,4,11,10,12,14,10,12,13,12,10,10,12,18,13,6,2,13
David Roddy,17,10,7,0.588,62.888333333333335,10,23,0.435,1,8,0.125,1,1,1.0,2,9,11,4,3,2,0,0,4,3,22,-13,44.2,0,0,42.0,17,18,6,16,19,19,17,13,18,16,18,19,20,1,20,19,19,18,19,18,19,1,3,18,19,14,19,10,2,19
Devin Booker,68,43,25,0.632,2446.6566666666668,642,1305,0.492,152,418,0.364,405,457,0.886,56,252,308,472,178,61,28,48,206,352,1841,316,3007.6,13,0,2951.0,5,4,17,4,3,2,2,10,3,2,9,1,1,3,4,3,4,1,2,5,6,20,21,2,2,2,2,3,2,2
Drew Eubanks,75,42,33,0.56,1168.705,152,253,0.601,3,3,1.0,72,93,0.774,103,219,322,63,61,27,61,23,115,91,379,-106,1062.9,0,0,943.0,2,5,22,20,7,7,7,3,15,19,1,7,7,12,2,5,3,10,7,8,3,16,17,7,7,22,7,10,2,7
Eric Gordon,68,41,27,0.603,1892.63,274,618,0.443,150,397,0.378,51,64,0.797,16,106,122,139,73,66,30,40,79,63,749,131,1318.9,0,0,1352.0,5,6,18,10,5,6,6,12,4,4,7,8,8,10,14,8,10,6,6,4,5,19,16,8,6,6,6,10,2,6
Grayson Allen,75,45,30,0.6,2513.3,340,682,0.499,205,445,0.461,129,147,0.878,48,247,295,227,95,69,45,26,157,140,1014,262,1955.5,1,0,1969.0,2,2,20,11,2,4,4,9,1,1,3,4,4,5,6,4,5,5,5,2,4,17,20,4,3,4,4,6,2,4
Isaiah Thomas,6,4,2,0.667,19.383333333333333,3,10,0.3,2,4,0.5,0,0,0.0,0,0,0,3,0,0,0,2,0,2,8,-14,12.5,0,0,13.0,20,20,1,2,20,20,20,20,16,17,2,21,21,21,21,22,22,19,22,21,19,3,1,20,20,15,21,10,2,21
Ish Wainright,4,1,3,0.25,16.506666666666668,1,6,0.167,1,4,0.25,0,0,0.0,3,2,5,1,1,2,0,0,4,0,3,-4,15.5,0,0,14.0,21,22,3,22,21,21,21,22,18,17,16,21,21,21,19,20,20,21,21,18,19,1,3,22,22,11,20,10,2,20
