PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Anfernee Simons,46,11,35,0.239,1581.7433333333333,360,837,0.43,156,405,0.385,163,178,0.916,22,145,167,255,126,23,5,51,98,127,1039,-330,1579.9,3,0,1673.0,9,10,14,13,6,3,2,10,1,1,3,3,3,2,15,6,8,2,2,12,17,20,16,4,2,19,3,5,1,3
Ashton Hagans,19,3,16,0.158,315.57166666666666,29,71,0.408,8,25,0.32,14,17,0.824,14,31,45,54,30,11,9,9,40,19,80,-4,245.0,0,0,227.0,18,17,6,19,16,16,16,12,15,15,11,14,15,3,17,15,17,15,14,15,13,7,8,15,15,2,15,13,1,15
Dalano Banton,30,6,24,0.2,875.7533333333333,183,449,0.408,57,183,0.311,78,100,0.78,29,114,143,108,67,28,17,32,44,69,501,-242,902.6,2,0,899.0,14,13,9,15,12,9,8,13,9,7,12,7,7,9,12,11,11,5,7,9,9,15,9,10,10,16,11,6,1,11
Deandre Ayton,55,14,41,0.255,1783.4983333333332,427,749,0.57,1,10,0.1,65,79,0.823,176,433,609,90,99,56,42,41,109,78,920,-318,1980.8,32,0,1816.0,7,8,16,8,2,1,4,3,17,17,18,10,10,5,1,1,1,7,4,3,2,18,17,9,3,18,1,1,1,1
Duop Reath,68,17,51,0.25,1214.115,230,499,0.461,88,245,0.359,69,93,0.742,93,157,250,67,52,33,38,35,161,94,617,-188,1178.5,1,0,1164.0,3,5,20,9,9,6,6,5,3,4,5,9,9,16,4,4,4,13,11,8,3,17,19,7,6,13,7,9,1,7
Ibou Badji,22,5,17,0.227,225.81833333333333,14,22,0.636,0,0,0.0,6,12,0.5,20,31,51,13,15,3,20,3,46,14,34,-90,168.7,0,0,144.0,15,15,7,14,17,19,19,2,19,20,19,18,17,19,16,15,16,17,16,19,8,4,10,17,19,9,18,13,1,18
Ish Wainright,7,1,6,0.143,45.88333333333333,6,18,0.333,6,16,0.375,2,2,1.0,0,9,9,0,1,2,1,0,4,2,20,0,38.8,0,0,41.0,19,20,3,20,21,21,22,20,16,16,4,20,20,1,22,20,21,22,22,20,20,1,2,21,20,1,20,13,1,20
Jabari Walker,72,18,54,0.25,1700.5733333333333,234,509,0.46,41,139,0.295,129,171,0.754,151,357,508,71,66,42,22,63,173,138,638,-338,1480.1,11,0,1386.0,1,2,22,9,5,5,5,6,11,11,13,4,4,15,2,2,2,12,8,7,6,21,20,3,5,20,5,2,1,5
Jamaree Bouyea,6,0,6,0.0,57.21666666666667,5,21,0.238,0,8,0.0,0,0,0.0,2,8,10,8,8,0,0,2,3,1,10,-22,26.0,0,0,28.0,20,22,3,22,20,22,20,22,19,18,19,22,22,22,21,21,20,18,19,22,21,3,1,22,22,3,22,13,1,22
Jerami Grant,54,17,37,0.315,1830.1866666666667,383,850,0.451,111,276,0.402,255,312,0.817,37,154,191,152,116,45,34,64,117,212,1132,-351,1710.2,1,0,1744.0,8,5,15,3,1,2,1,7,2,2,2,1,1,8,8,5,7,4,3,6,4,22,18,1,1,21,2,9,1,2
