PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Alex Len,48,24,24,0.5,444.245,50,81,0.617,0,3,0.0,20,34,0.588,46,82,128,50,27,11,33,10,66,26,120,142,453.6,0,0,386.0,12,13,10,17,12,13,14,2,18,17,18,12,11,13,6,10,8,10,11,13,4,11,10,12,13,3,11,7,2,13
Chris Duarte,59,35,24,0.593,719.5183333333333,80,210,0.381,44,127,0.346,26,33,0.788,26,80,106,44,26,28,8,11,80,48,230,-67,505.2,0,0,496.0,8,8,10,5,10,11,10,18,10,9,13,9,12,6,12,11,11,11,12,8,11,13,11,8,10,19,10,7,2,10
Colby Jones,30,15,15,0.5,191.73666666666668,28,71,0.394,2,22,0.091,6,11,0.545,17,23,40,20,10,7,5,4,29,9,64,9,168.0,0,0,150.0,15,15,6,17,15,15,15,17,13,13,17,14,14,16,14,15,15,12,14,15,13,6,7,15,15,10,15,7,2,15
Davion Mitchell,72,41,31,0.569,1101.1,146,323,0.452,57,158,0.361,30,42,0.714,19,76,95,134,43,17,3,10,85,50,379,-45,711.0,0,0,705.0,5,6,16,10,8,7,7,11,8,8,9,8,9,10,13,12,13,5,7,10,15,11,12,7,8,17,9,7,2,9
De'Aaron Fox,74,42,32,0.568,2658.7633333333333,720,1549,0.465,214,580,0.369,312,423,0.738,67,273,340,418,194,150,31,68,193,333,1966,233,3350.0,6,0,3300.0,4,4,17,12,2,1,1,8,1,1,8,1,1,9,3,3,3,2,2,1,5,19,18,2,1,1,2,3,2,2
Domantas Sabonis,82,46,36,0.561,2928.0216666666665,634,1068,0.594,33,87,0.379,292,415,0.704,294,826,1120,673,272,74,48,86,250,375,1593,69,4040.5,77,26,3663.0,1,1,19,13,1,2,2,4,11,11,6,2,2,11,1,1,1,1,1,3,2,20,20,1,2,7,1,1,1,1
Filip Petrusev,2,1,1,0.5,6.626666666666667,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,1,3,3,3.0,0,0,3.0,20,20,1,17,20,20,20,6,18,20,18,17,16,17,19,20,20,20,20,19,18,1,2,17,20,12,20,7,2,20
Harrison Barnes,82,46,36,0.561,2380.87,347,732,0.474,149,385,0.387,157,196,0.801,67,182,249,99,58,54,12,27,98,164,1000,-80,1587.3,0,0,1629.0,1,1,19,13,4,5,5,7,3,4,3,4,4,4,3,7,5,7,5,4,10,16,14,4,5,20,5,7,2,5
JaVale McGee,46,28,18,0.609,339.3616666666667,79,132,0.598,1,7,0.143,26,45,0.578,42,84,126,17,34,14,20,5,46,39,185,7,429.7,0,0,397.0,13,12,7,3,13,12,12,3,16,14,16,9,8,14,7,9,9,14,10,12,8,7,9,11,12,11,13,7,2,12
Jalen Slawson,12,8,4,0.667,36.975,4,6,0.667,0,2,0.0,0,0,0.0,1,6,7,2,2,1,1,0,8,1,8,-6,23.4,0,0,21.0,16,16,3,1,17,16,19,1,18,19,18,19,19,19,17,17,17,18,16,16,16,1,4,17,17,14,17,7,2,17
