PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Blake Wesley,61,19,42,0.311,875.925,102,215,0.474,12,55,0.218,52,78,0.667,18,76,94,166,55,29,9,15,89,50,268,-144,688.8,0,0,616.0,10,2,11,7,10,10,10,11,13,13,17,9,8,16,13,11,12,7,9,9,11,11,13,10,11,13,10,7,3,10
Cedi Osman,72,17,55,0.236,1268.7516666666668,184,384,0.479,86,221,0.389,35,52,0.673,25,155,180,119,47,36,11,18,107,71,489,-353,977.5,0,0,968.0,5,8,16,17,9,8,9,10,6,7,5,10,10,15,11,8,8,9,10,7,10,12,16,7,9,18,9,7,3,9
Charles Bassey,19,3,16,0.158,205.275,29,40,0.725,0,1,0.0,5,6,0.833,23,53,76,21,15,8,17,1,31,10,63,-46,245.7,0,0,210.0,15,16,7,20,15,15,15,2,19,18,19,16,16,4,12,13,13,15,14,14,7,4,7,16,15,10,15,7,3,15
David Duke Jr.,4,3,1,0.75,51.35,10,18,0.556,3,6,0.5,3,3,1.0,2,8,10,5,3,2,0,0,4,4,26,6,48.5,0,0,48.0,17,16,1,1,17,17,17,5,14,17,2,18,18,1,17,17,17,18,16,17,19,1,3,17,17,6,17,7,3,17
Devin Vassell,68,17,51,0.25,2247.7433333333333,498,1056,0.472,166,446,0.372,161,201,0.801,27,234,261,277,108,73,23,34,74,152,1323,-291,2231.7,0,0,2219.0,9,8,13,13,1,2,2,12,1,1,6,3,3,7,10,5,6,2,5,3,5,16,11,3,2,15,2,7,3,2
Devonte' Graham,23,8,15,0.348,312.92333333333335,38,108,0.352,25,83,0.301,13,16,0.813,5,31,36,49,17,9,2,4,14,15,114,23,246.7,0,0,246.0,14,13,6,6,14,14,14,20,11,11,15,13,14,6,16,15,15,12,13,13,15,7,5,13,14,3,14,7,3,14
Dominick Barlow,33,7,26,0.212,419.54,56,113,0.496,3,9,0.333,29,42,0.69,45,68,113,36,9,12,14,8,47,31,144,-32,402.6,0,0,348.0,13,14,8,19,13,13,13,7,14,15,11,11,11,14,6,12,11,14,15,11,8,9,9,11,13,9,13,7,3,13
Doug McDermott,46,10,36,0.217,700.1466666666666,95,215,0.442,76,173,0.439,10,17,0.588,8,40,48,57,24,11,2,6,48,13,276,-156,434.1,0,0,483.0,11,12,10,18,11,11,10,16,7,10,3,15,13,18,14,14,14,11,11,12,15,8,10,14,10,14,12,7,3,11
Jamaree Bouyea,3,2,1,0.667,37.68333333333333,5,7,0.714,1,1,1.0,0,0,0.0,1,8,9,3,1,1,0,0,7,0,11,7,28.3,0,0,26.0,18,18,1,2,19,19,19,3,17,18,1,19,19,19,19,17,18,19,18,18,19,1,4,19,20,5,19,7,3,19
Jeremy Sochan,74,18,56,0.243,2193.095,340,776,0.438,70,227,0.308,111,144,0.771,137,339,476,249,140,62,40,67,168,131,861,-344,1971.7,7,0,1860.0,3,6,18,15,2,4,4,17,8,6,14,5,5,11,2,2,2,4,2,4,4,20,19,5,4,16,4,3,3,4
Julian Champagnie,74,19,55,0.257,1467.875,164,402,0.408,101,277,0.365,75,92,0.815,42,164,206,103,57,48,42,20,77,63,504,-141,1118.7,0,0,1094.0,3,2,16,12,8,9,8,19,4,4,7,7,7,5,8,7,7,10,8,6,3,13,12,8,8,11,7,7,3,8
Keldon Johnson,69,17,52,0.246,2038.3616666666667,391,862,0.454,127,367,0.346,175,221,0.792,95,282,377,195,100,51,20,56,149,166,1084,-347,1941.9,9,0,1925.0,7,8,14,14,5,3,3,15,3,3,9,2,2,10,4,3,3,5,6,5,6,19,17,2,3,17,5,2,3,3
Malaki Branham,75,18,57,0.24,1594.3266666666666,271,628,0.432,93,268,0.347,55,63,0.873,28,120,148,156,91,27,8,41,94,62,690,-373,1115.6,0,0,1157.0,2,6,20,16,6,7,5,18,5,5,8,8,9,2,9,9,9,8,7,10,13,18,15,9,7,19,8,7,3,7
Mamadi Diakite,3,2,1,0.667,15.95,4,5,0.8,0,0,0.0,4,6,0.667,1,2,3,2,0,0,1,0,1,3,12,5,21.6,0,0,19.0,18,18,1,2,20,20,20,1,19,20,19,17,16,16,19,20,20,20,20,20,17,1,2,18,19,7,20,7,3,20
RaiQuan Gray,3,2,1,0.667,39.03333333333333,10,17,0.588,3,7,0.429,0,0,0.0,2,5,7,6,1,1,1,1,0,0,23,14,45.4,0,0,43.0,18,18,1,2,18,17,18,4,14,16,4,19,19,19,17,19,19,17,18,18,17,4,1,19,18,4,18,7,3,18
Sandro Mamukelashvili,46,12,34,0.261,450.9583333333333,73,155,0.471,19,64,0.297,25,34,0.735,45,102,147,49,19,7,12,11,35,26,190,45,477.9,3,0,443.0,11,11,9,11,12,12,12,13,12,12,16,12,12,13,6,10,10,12,12,15,9,10,8,12,12,1,11,5,3,12
Sidy Cissoko,12,5,7,0.417,140.91833333333332,16,33,0.485,1,12,0.083,12,15,0.8,8,14,22,10,3,7,3,2,18,11,45,25,113.4,0,0,98.0,16,15,5,5,16,16,16,8,17,14,18,14,15,8,14,16,16,16,16,15,14,6,6,15,16,2,16,7,3,16
Tre Jones,77,21,56,0.273,2138.18,303,600,0.505,64,191,0.335,101,118,0.856,58,231,289,478,116,78,9,30,92,130,771,-22,1979.8,5,1,1776.0,1,1,18,9,3,5,7,6,9,8,10,6,6,3,5,6,5,1,4,2,11,15,14,6,6,8,3,4,2,5
Victor Wembanyama,71,19,52,0.268,2106.235,551,1186,0.465,128,394,0.325,292,367,0.796,161,594,755,274,260,88,254,27,153,381,1522,-143,3605.0,43,2,3363.0,6,2,14,10,4,1,1,14,2,2,12,1,1,9,1,1,1,3,1,1,1,14,18,1,1,12,1,1,1,1
Zach Collins,69,19,50,0.275,1525.7283333333332,298,616,0.484,58,181,0.32,122,162,0.753,118,252,370,194,132,34,52,39,206,151,776,-393,1637.0,3,0,1570.0,7,2,12,8,7,6,6,9,10,9,13,4,4,12,3,4,4,6,3,8,2,17,20,4,5,20,6,5,3,6
