PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Bruce Brown,34,7,27,0.206,884.7883333333333,129,268,0.481,20,63,0.317,50,60,0.833,28,102,130,92,45,24,9,21,67,40,328,-311,676.0,1,0,636.0,10,14,22,22,10,11,10,8,13,15,14,10,10,7,10,11,12,9,10,10,14,22,20,12,11,29,12,10,2,12
Chris Boucher,50,16,34,0.32,704.8833333333333,110,217,0.507,31,94,0.33,71,92,0.772,62,145,207,23,28,14,24,14,68,87,322,28,690.9,0,0,659.0,5,6,26,12,12,12,12,6,10,10,13,7,8,16,3,7,4,21,17,19,3,16,21,8,12,2,11,12,2,11
D.J. Carton,4,2,2,0.5,35.53333333333333,3,8,0.375,1,4,0.25,4,5,0.8,2,2,4,3,1,1,0,0,3,3,11,-31,22.3,0,0,21.0,26,23,4,2,27,27,27,23,23,25,19,23,24,13,26,27,27,26,26,27,26,1,4,24,27,12,27,12,2,27
Dennis Schroder,51,18,33,0.353,1558.575,247,559,0.442,77,220,0.35,127,149,0.852,22,118,140,313,83,46,8,40,105,118,698,-30,1414.5,6,0,1336.0,4,4,25,9,3,6,4,13,5,5,6,3,5,5,15,8,9,2,2,3,15,28,28,5,5,11,5,4,2,4
Garrett Temple,27,5,22,0.185,288.75333333333333,29,78,0.372,12,40,0.3,18,22,0.818,18,27,45,28,14,12,3,5,28,20,88,-79,215.0,0,0,203.0,15,21,18,23,21,21,21,24,17,19,16,18,18,12,17,21,21,20,20,20,22,9,10,19,21,18,21,12,2,21
Gary Trent Jr.,71,24,47,0.338,1993.5983333333334,361,847,0.426,178,453,0.393,74,96,0.771,25,163,188,119,47,77,10,31,96,78,974,-194,1592.1,1,0,1633.0,1,1,30,11,2,2,2,16,1,1,2,6,7,17,13,6,6,8,9,1,12,25,26,9,2,27,2,10,2,2
Gradey Dick,60,18,42,0.3,1267.6683333333333,189,445,0.425,88,241,0.365,44,51,0.863,27,105,132,68,50,34,2,26,87,48,510,-378,828.4,0,0,870.0,2,4,29,15,6,8,7,17,4,4,5,11,11,4,11,10,11,12,8,6,24,24,24,10,8,30,9,12,2,8
Immanuel Quickley,38,12,26,0.316,1265.1666666666667,236,559,0.422,107,271,0.395,127,151,0.841,12,170,182,257,70,34,7,32,75,124,706,-155,1362.9,8,0,1334.0,9,8,21,14,7,7,4,19,2,3,1,3,4,6,22,4,7,3,7,6,16,26,22,3,4,23,6,3,2,5
Jahmi'us Ramsey,7,0,7,0.0,121.085,18,41,0.439,6,22,0.273,5,6,0.833,4,18,22,8,7,7,0,2,10,5,47,-28,99.4,0,0,97.0,24,26,7,26,23,22,22,14,21,21,18,21,23,7,25,24,25,23,23,22,26,5,6,23,22,9,24,12,2,23
Jakob Poeltl,50,21,29,0.42,1319.1083333333333,248,378,0.656,0,0,0.0,59,107,0.551,146,283,429,127,77,35,76,37,149,99,555,-17,1516.3,20,0,1333.0,5,3,24,3,5,5,8,1,26,27,26,9,6,24,1,2,2,7,5,5,2,27,30,6,7,8,3,2,2,6
Jalen McDaniels,50,12,38,0.24,538.0066666666667,65,189,0.344,12,71,0.169,27,37,0.73,18,61,79,37,30,19,6,18,52,27,169,-162,364.3,0,0,347.0,5,8,27,18,14,16,14,25,17,12,24,15,15,19,17,15,17,18,14,14,17,19,18,17,16,25,18,12,2,18
Javon Freeman-Liberty,22,3,19,0.136,403.03833333333336,55,124,0.444,10,42,0.238,33,36,0.917,16,54,70,40,25,10,4,15,28,31,153,-159,314.0,0,0,301.0,21,22,13,25,18,18,18,12,19,18,21,13,16,3,19,17,19,17,18,21,20,17,10,13,18,24,20,12,2,19
Jontay Porter,26,6,20,0.231,359.73833333333334,40,104,0.385,20,60,0.333,15,18,0.833,26,56,82,60,21,20,20,3,35,11,115,-72,402.4,0,0,357.0,18,15,15,19,19,20,19,22,13,16,12,20,20,7,12,16,16,13,19,11,4,8,13,21,19,17,16,12,2,17
Jordan Nwora,34,6,28,0.176,528.8816666666667,101,217,0.465,33,95,0.347,35,42,0.833,20,96,116,44,41,20,12,15,29,31,270,-183,530.2,2,0,527.0,10,15,23,24,15,13,12,10,9,9,9,12,13,7,16,12,13,15,12,11,10,17,12,13,13,26,13,7,2,13
Kelly Olynyk,28,6,22,0.214,739.475,131,239,0.548,24,71,0.338,70,85,0.824,45,112,157,128,71,37,18,12,98,98,356,-203,830.4,3,0,775.0,14,15,18,21,11,10,11,4,12,12,11,8,9,11,6,9,8,6,6,4,5,14,27,7,10,28,8,6,2,9
Kira Lewis Jr.,1,0,1,0.0,1.55,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-4,0.0,0,0,0.0,28,26,2,26,30,28,29,28,26,27,26,27,28,27,29,28,29,30,28,29,26,1,2,29,29,6,30,12,2,30
