PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Brice Sensabaugh,32,8,24,0.25,584.3633333333333,85,218,0.39,34,115,0.296,37,41,0.902,16,86,102,55,47,13,6,13,43,33,241,-173,455.9,1,0,470.0,15,15,7,18,13,14,13,19,12,10,14,10,10,1,14,14,14,11,11,13,15,10,8,12,13,18,14,8,2,14
Collin Sexton,78,29,49,0.372,2074.7633333333333,506,1038,0.487,128,325,0.394,318,370,0.859,71,134,205,383,165,62,18,113,154,295,1458,-143,2353.5,4,0,2334.0,1,1,21,10,1,1,1,7,3,3,5,1,1,4,5,10,7,1,2,2,8,21,20,1,1,15,1,5,2,1
Darius Bazley,6,2,4,0.333,142.04166666666666,18,29,0.621,2,8,0.25,10,12,0.833,8,19,27,5,7,6,7,3,3,9,48,-32,119.9,0,0,108.0,20,18,2,14,18,19,20,2,19,20,16,16,17,7,18,18,18,21,17,15,12,5,1,18,19,8,18,14,2,18
Jason Preston,7,2,5,0.286,71.13333333333334,6,19,0.316,0,3,0.0,0,0,0.0,6,11,17,16,2,2,1,2,3,0,12,23,63.4,0,0,51.0,19,18,3,16,21,21,21,21,21,21,21,21,21,21,20,19,20,19,21,21,20,4,1,21,21,1,21,14,2,21
John Collins,68,27,41,0.397,1901.06,397,746,0.532,86,232,0.371,147,185,0.795,157,418,575,77,98,40,61,73,191,164,1027,-307,2037.5,24,0,1967.0,3,2,18,8,3,3,5,6,6,6,8,5,5,11,2,1,1,8,4,5,2,20,21,4,3,20,3,1,2,3
Johnny Juzang,20,5,15,0.25,371.80333333333334,51,110,0.464,32,77,0.416,10,14,0.714,7,29,36,23,13,4,2,4,29,12,144,-8,226.7,0,0,247.0,16,16,6,18,16,16,16,11,13,13,3,16,16,17,19,17,17,15,16,17,18,6,6,16,16,6,16,14,2,16
Jordan Clarkson,55,22,33,0.4,1682.3416666666667,337,816,0.413,91,309,0.294,177,201,0.881,49,139,188,277,146,35,6,51,81,140,942,-191,1560.1,6,1,1580.0,6,9,14,6,5,4,3,16,4,4,15,4,4,3,9,6,9,3,3,8,15,18,12,5,5,19,6,4,1,5
Kelly Olynyk,50,25,25,0.5,1019.255,145,258,0.562,36,84,0.429,80,95,0.842,63,191,254,219,81,37,12,10,132,101,406,-59,1105.3,3,0,1013.0,10,5,8,1,9,10,10,4,11,12,1,7,7,6,6,5,4,5,5,6,11,7,17,6,9,11,8,6,2,8
Kenneth Lofton Jr.,4,2,2,0.5,90.66666666666667,21,35,0.6,4,12,0.333,9,11,0.818,10,10,20,19,6,3,2,0,9,8,55,-2,116.5,0,0,108.0,21,18,1,1,20,17,19,3,17,19,11,18,18,8,16,20,19,16,18,20,18,1,4,19,17,5,19,14,2,18
Keyonte George,75,27,48,0.36,2022.5766666666666,319,815,0.391,147,440,0.334,189,223,0.848,15,196,211,332,188,36,7,51,91,203,974,-374,1666.2,1,0,1750.0,2,2,20,11,2,5,4,18,2,1,10,3,3,5,15,4,5,2,1,7,12,18,14,3,4,21,5,8,2,4
Kira Lewis Jr.,12,1,11,0.083,119.12666666666667,18,40,0.45,2,13,0.154,7,9,0.778,5,7,12,19,6,4,1,1,4,10,45,-44,96.9,0,0,88.0,18,21,4,21,19,19,17,12,19,18,20,19,19,14,21,21,21,16,18,17,20,2,3,17,20,9,20,14,2,20
Kris Dunn,66,25,41,0.379,1249.1766666666667,147,313,0.47,41,111,0.369,22,32,0.688,50,139,189,254,79,68,28,19,135,33,357,14,1173.8,1,0,1033.0,4,5,18,9,7,9,9,10,10,11,9,13,12,18,8,6,8,4,6,1,5,12,19,12,10,3,7,8,2,7
Lauri Markkanen,55,22,33,0.4,1819.7466666666667,427,890,0.48,175,439,0.399,249,277,0.899,122,327,449,110,77,50,26,45,100,243,1278,21,2132.8,19,0,2164.0,6,9,14,6,4,2,2,8,1,2,4,2,2,2,3,2,3,7,7,3,6,17,16,2,2,2,2,2,2,2
Luka Samanic,43,15,28,0.349,404.37666666666667,60,158,0.38,13,64,0.203,44,56,0.786,22,80,102,19,28,5,7,17,32,39,177,-51,335.9,1,0,335.0,13,12,12,13,15,15,15,20,14,14,19,9,9,13,12,15,14,16,14,16,12,11,7,9,15,10,15,8,2,15
Micah Potter,16,3,13,0.188,186.06,19,40,0.475,9,21,0.429,6,8,0.75,10,33,43,6,5,4,6,1,14,8,53,-28,138.6,0,0,131.0,17,17,5,20,17,18,17,9,15,16,1,20,20,15,16,16,16,20,20,17,15,2,5,19,18,7,17,14,2,17
Ochai Agbaji,51,25,26,0.49,1003.3866666666667,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,34,27,29,21,66,24,274,-121,629.7,0,0,606.0,8,5,10,4,11,12,11,15,9,8,12,15,15,15,11,13,12,12,13,12,4,13,10,14,12,13,12,14,2,12
Omer Yurtseven,48,17,31,0.354,545.1016666666667,99,184,0.538,5,24,0.208,19,28,0.679,72,136,208,29,37,8,18,12,52,34,222,-133,556.1,2,0,516.0,12,11,13,12,14,13,14,5,16,15,18,14,14,19,4,9,6,14,12,14,8,8,9,11,14,14,13,7,2,13
Simone Fontecchio,50,25,25,0.5,1159.7833333333333,161,358,0.45,91,233,0.391,32,40,0.8,52,124,176,73,51,30,18,21,81,35,445,9,858.7,0,0,881.0,10,5,8,1,8,8,7,14,4,5,6,11,11,10,7,11,11,9,10,9,8,13,12,10,8,4,10,14,2,10
Talen Horton-Tucker,51,14,37,0.275,1008.6983333333334,184,465,0.396,60,182,0.33,88,109,0.807,21,100,121,177,65,45,19,27,94,80,516,-107,1053.7,1,0,1002.0,8,13,16,17,10,7,6,17,7,7,13,6,6,9,13,12,13,6,9,4,7,15,15,8,7,12,9,8,2,9
Taylor Hendricks,40,13,27,0.325,856.4316666666666,108,240,0.45,53,140,0.379,23,29,0.793,46,139,185,32,27,28,30,12,77,21,292,-150,709.0,1,0,678.0,14,14,11,15,12,11,12,12,8,9,7,12,13,12,10,6,10,13,15,11,3,8,11,15,11,17,11,8,2,11
Walker Kessler,64,26,38,0.406,1493.1066666666666,229,350,0.654,4,19,0.211,56,93,0.602,165,316,481,60,66,30,154,32,132,85,518,-149,1671.2,7,0,1431.0,5,4,17,5,6,6,8,1,17,17,17,8,8,20,1,3,2,10,8,9,1,16,17,7,6,16,4,3,2,6
