PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Anthony Gill,50,9,41,0.18,466.49666666666667,75,160,0.469,10,41,0.244,29,36,0.806,37,57,94,34,23,13,11,16,48,29,189,5,401.8,0,0,375.0,7,7,17,13,13,12,12,11,17,14,21,13,12,7,7,12,11,12,11,15,10,14,12,13,12,4,14,13,2,13
Bilal Coulibaly,63,11,52,0.175,1715.25,188,432,0.435,64,185,0.346,92,131,0.702,56,200,256,110,87,57,48,43,137,101,532,-419,1232.2,1,0,1172.0,6,5,19,14,6,7,6,14,6,6,9,5,5,18,5,4,4,7,5,4,3,20,19,6,6,20,7,9,2,7
Corey Kispert,80,15,65,0.188,2067.435,386,794,0.486,184,480,0.383,114,157,0.726,30,195,225,157,98,42,16,48,141,116,1070,-445,1651.5,1,0,1752.0,1,1,24,9,4,4,4,9,1,2,4,4,4,15,10,5,5,5,4,6,8,21,20,4,4,21,5,9,2,4
Daniel Gafford,45,9,36,0.2,1191.785,203,294,0.69,0,0,0.0,84,119,0.706,131,230,361,69,46,44,97,24,147,111,490,-187,1403.7,9,0,1202.0,10,7,14,5,7,6,7,1,22,22,22,6,6,17,1,3,3,9,8,5,1,18,21,5,7,18,6,3,2,6
Danilo Gallinari,26,5,21,0.192,385.0233333333333,57,131,0.435,20,64,0.313,47,56,0.839,12,64,76,31,12,6,3,4,26,52,181,-77,333.7,0,0,326.0,15,14,10,7,16,15,15,15,10,10,15,7,8,4,18,11,13,14,16,19,20,6,7,8,13,13,16,13,2,15
Delon Wright,33,6,27,0.182,455.87666666666667,48,122,0.393,14,38,0.368,24,29,0.828,13,46,59,82,11,35,8,11,22,27,134,-49,445.8,0,0,375.0,14,10,11,12,14,17,16,21,11,16,7,14,14,5,17,17,17,8,18,8,15,10,6,14,16,9,11,13,2,13
Deni Avdija,75,14,61,0.187,2256.6433333333334,406,803,0.506,88,235,0.374,202,273,0.74,84,456,540,286,160,59,36,76,185,251,1102,-329,2304.0,18,0,2206.0,3,3,22,10,3,3,3,5,5,5,6,1,1,14,2,1,1,4,3,3,4,24,23,1,3,19,2,1,2,3
Eugene Omoruyi,43,5,38,0.116,393.3066666666667,81,167,0.485,13,46,0.283,32,49,0.653,35,50,85,35,21,27,5,17,62,47,207,-138,436.5,1,0,404.0,11,14,15,21,15,11,11,10,14,12,18,10,9,20,8,15,12,11,12,10,19,15,17,10,11,15,13,9,2,12
Hamidou Diallo,2,1,1,0.5,4.75,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,1,1,2,0,0,1,0,2,4,10.9,0,0,9.0,23,22,1,1,23,23,23,6,22,22,22,23,23,23,22,24,23,23,23,23,23,1,2,23,23,5,23,13,2,23
Jared Butler,40,6,34,0.15,565.6516666666666,98,201,0.488,24,78,0.308,31,36,0.861,9,49,58,126,50,29,8,13,58,43,251,-48,570.6,1,0,533.0,12,10,13,19,11,10,10,8,9,9,16,12,12,2,20,16,18,6,7,9,15,11,16,12,10,8,9,9,2,10
Johnny Davis,50,8,42,0.16,613.48,62,154,0.403,14,40,0.35,14,24,0.583,18,54,72,32,13,18,10,13,57,24,152,-150,357.4,0,0,326.0,7,9,18,17,9,13,14,20,11,15,8,19,17,21,14,13,15,13,15,12,11,11,15,16,15,17,15,13,2,15
Jordan Poole,78,15,63,0.192,2345.555,490,1186,0.413,184,564,0.326,192,219,0.877,32,180,212,343,188,86,25,75,244,209,1356,-552,2269.9,4,0,2317.0,2,1,23,7,1,2,2,18,1,1,13,2,3,1,9,6,6,2,2,1,5,23,24,2,2,23,3,6,2,2
Jules Bernard,19,2,17,0.105,149.275,29,64,0.453,11,29,0.379,5,9,0.556,10,16,26,16,8,3,1,2,14,13,74,26,133.2,0,0,135.0,18,21,7,22,21,20,21,13,16,18,5,22,22,22,19,21,21,19,21,22,22,3,4,21,21,3,21,13,2,21
Justin Champagnie,15,3,12,0.2,234.83833333333334,32,78,0.41,13,45,0.289,12,15,0.8,19,34,53,19,10,10,9,6,14,10,89,-59,228.1,0,0,212.0,20,19,5,5,19,19,19,19,14,13,17,21,21,8,13,19,19,18,19,16,14,9,4,22,19,11,19,13,2,19
Kyle Kuzma,70,13,57,0.186,2281.141666666667,608,1313,0.463,151,450,0.336,186,240,0.775,62,402,464,296,192,37,49,52,153,192,1553,-562,2619.8,14,0,2636.0,4,4,21,11,2,1,1,12,3,3,11,3,2,10,4,2,2,3,1,7,2,22,22,3,1,24,1,2,2,1
Landry Shamet,46,6,40,0.13,726.4966666666667,118,274,0.431,53,157,0.338,38,46,0.826,16,46,62,54,30,25,10,21,76,45,327,-149,557.4,0,0,566.0,9,10,16,20,8,9,8,17,7,7,10,9,10,6,16,17,16,10,9,11,11,16,18,11,8,16,10,13,2,9
Marvin Bagley III,24,5,19,0.208,574.9483333333334,132,227,0.581,8,17,0.471,46,65,0.708,84,110,194,28,30,15,19,24,41,56,318,-63,664.8,9,0,616.0,16,14,8,4,10,8,9,2,19,19,2,8,7,16,2,8,7,16,9,14,6,18,10,7,9,12,8,3,2,8
Mike Muscala,24,4,20,0.167,337.5883333333333,33,90,0.367,14,51,0.275,15,20,0.75,22,53,75,23,16,5,7,5,31,21,95,-134,239.5,0,0,231.0,16,17,9,15,17,18,17,23,11,11,20,18,19,13,11,14,14,17,14,20,17,8,9,17,18,14,18,13,2,18
Patrick Baldwin Jr.,38,6,32,0.158,493.5083333333333,59,155,0.381,31,97,0.32,19,28,0.679,17,106,123,29,19,18,15,4,56,25,168,-23,439.1,2,0,417.0,13,10,12,18,12,14,13,22,8,8,14,16,15,19,15,9,9,15,13,12,9,6,14,15,14,7,12,8,2,11
Richaun Holmes,17,4,13,0.235,317.50166666666667,49,88,0.557,1,3,0.333,22,26,0.846,38,66,104,10,12,8,10,14,41,20,121,-56,302.8,3,0,272.0,19,17,6,3,18,16,18,3,21,20,12,15,16,3,6,10,10,22,16,17,11,13,10,18,17,10,17,7,2,17
Ryan Rollins,10,1,9,0.1,65.88333333333334,13,25,0.52,2,3,0.667,13,17,0.765,2,9,11,11,7,8,3,2,7,14,41,57,96.7,0,0,87.0,21,22,4,23,22,22,22,4,20,20,1,20,20,12,22,22,22,21,22,17,20,3,3,20,22,1,22,13,2,22
Trey Jemison,2,0,2,0.0,1.4866666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,3,0.2,0,0,1.0,23,24,2,24,24,24,24,24,22,22,22,23,23,23,24,23,24,24,23,24,23,1,1,23,24,6,24,13,2,24
Tristan Vukcevic,10,3,7,0.3,153.41166666666666,29,67,0.433,10,36,0.278,17,22,0.773,6,30,36,13,10,5,7,3,28,18,85,32,173.7,0,0,168.0,21,19,3,2,20,20,20,16,17,17,19,17,18,11,21,20,20,20,19,20,17,5,8,19,20,2,20,13,2,20
Tyus Jones,66,11,55,0.167,1932.6666666666667,326,666,0.489,106,256,0.414,32,40,0.8,20,159,179,485,66,71,18,23,48,49,790,-497,1933.3,9,1,1738.0,5,5,20,15,5,5,5,7,4,4,3,10,11,8,12,7,8,1,6,2,7,17,12,9,5,22,4,3,1,5
