TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
ATL,Atlanta Hawks,"Bey, Saddiq",On,63,28,35,0.444,2061.6583333333333,1882,4016,0.469,579,1598,0.362,858,1064,0.806,602,1366,1968,1116,571.0,294,194,254,798,859,5201,-19.0,5,5,15,8,3,3,3,8,3,3,10,3,3,6,3,3,3,3,17,5,4,17,17,4,3,5
ATL,Atlanta Hawks,"Bogdanovic, Bogdan",On,79,35,44,0.443,2401.4083333333333,2149,4608,0.466,710,1919,0.37,902,1105,0.816,610,1633,2243,1320,642.0,385,208,271,879,933,5910,127.0,1,1,18,10,2,2,2,9,2,2,6,2,2,3,2,2,2,2,18,2,2,18,18,2,2,1
ATL,Atlanta Hawks,"Bufkin, Kobe",On,17,8,9,0.471,196.00333333333333,150,357,0.42,40,150,0.267,64,82,0.78,34,138,172,94,65.0,28,22,24,82,74,404,-35.0,16,15,4,5,15,15,15,18,16,15,18,15,15,11,15,14,15,15,6,14,14,5,5,14,15,8
ATL,Atlanta Hawks,"Capela, Clint",On,73,33,40,0.452,1883.0866666666666,1711,3745,0.457,528,1445,0.365,654,842,0.777,592,1317,1909,1051,509.0,287,188,237,680,708,4604,-17.0,3,3,17,7,6,5,5,13,5,5,8,6,6,14,4,5,4,6,14,6,6,16,15,6,6,4
ATL,Atlanta Hawks,"Fernando, Bruno",On,45,20,25,0.444,682.3033333333333,569,1200,0.474,170,490,0.347,208,277,0.751,127,431,558,357,219.0,106,57,66,286,258,1516,-96.0,10,10,9,8,10,10,10,4,11,10,13,10,10,16,11,10,10,10,10,10,10,9,10,10,10,16
ATL,Atlanta Hawks,"Forrest, Trent",On,38,18,20,0.474,413.76166666666666,330,736,0.448,99,293,0.338,120,155,0.774,89,244,333,229,120.0,64,41,41,144,134,879,-94.0,11,11,8,3,12,12,13,14,13,13,15,13,13,15,12,13,13,12,8,13,13,7,7,13,13,15
ATL,Atlanta Hawks,"Griffin, AJ",On,20,8,12,0.4,170.73,139,311,0.447,53,139,0.381,73,93,0.785,28,106,134,78,54.0,28,15,25,55,66,404,-51.0,14,15,6,16,16,16,16,15,15,16,3,14,14,10,16,16,16,16,5,14,15,6,4,16,15,12
ATL,Atlanta Hawks,"Gueye, Mouhamed",On,6,2,4,0.333,72.8,52,137,0.38,18,56,0.321,20,30,0.667,20,46,66,34,33.0,10,5,13,34,28,142,-41.0,18,18,2,17,18,18,17,19,18,18,17,18,18,19,17,17,17,18,3,17,19,3,2,17,18,10
ATL,Atlanta Hawks,"Hunter, De'Andre",On,57,26,31,0.456,1681.0933333333332,1503,3162,0.475,480,1260,0.381,643,797,0.807,409,1094,1503,923,466.0,269,160,175,645,665,4129,-49.0,6,7,12,6,7,7,7,2,7,7,4,7,7,5,7,7,7,7,13,7,7,13,13,7,7,11
ATL,Atlanta Hawks,"Johnson, Jalen",On,56,27,29,0.482,1888.8666666666666,1676,3622,0.463,489,1393,0.351,786,973,0.808,499,1327,1826,1057,526.0,304,196,215,676,774,4627,-76.0,7,6,11,2,5,6,6,11,6,6,12,5,5,4,6,4,5,5,15,4,3,14,14,5,5,14
ATL,Atlanta Hawks,"Krejci, Vit",On,22,9,13,0.409,541.32,490,1026,0.478,174,442,0.394,142,199,0.714,138,348,486,316,145.0,85,46,68,199,178,1296,1.0,13,13,7,14,11,11,11,1,10,11,2,12,12,18,10,11,11,11,9,11,11,10,9,11,11,2
ATL,Atlanta Hawks,"Lundy, Seth",On,9,2,7,0.222,51.983333333333334,38,80,0.475,12,45,0.267,26,31,0.839,7,32,39,28,17.0,5,6,3,15,21,114,-13.0,17,18,3,19,19,19,19,3,19,19,18,17,17,1,19,19,19,19,1,19,18,1,1,19,19,3
ATL,Atlanta Hawks,"Mathews, Garrison",On,66,29,37,0.439,992.1216666666667,859,1816,0.473,303,805,0.376,322,414,0.778,191,624,815,573,298.0,150,73,115,416,400,2343,-97.0,4,4,16,11,9,9,9,6,9,9,5,9,9,12,9,9,9,9,11,9,9,11,11,9,9,17
ATL,Atlanta Hawks,"Matthews, Wesley",On,36,11,25,0.306,412.87,330,760,0.434,119,344,0.346,164,211,0.777,83,263,346,206,100.0,65,45,56,186,169,943,-69.0,12,12,9,18,13,12,12,16,12,12,14,11,11,13,13,12,12,13,7,12,12,8,8,12,12,13
ATL,Atlanta Hawks,"Mills, Patty",On,19,9,10,0.474,201.91666666666666,172,405,0.425,56,171,0.327,64,81,0.79,55,137,192,103,51.0,28,15,22,88,74,464,-39.0,15,13,5,3,14,14,14,17,14,14,16,15,16,9,14,15,14,14,4,14,15,4,6,14,14,9
ATL,Atlanta Hawks,"Murray, Dejounte",On,78,34,44,0.436,2783.3433333333332,2505,5380,0.466,779,2117,0.368,1078,1359,0.793,777,1854,2631,1513,776.0,424,255,338,1080,1108,6867,-154.0,2,2,18,12,1,1,1,10,1,1,7,1,1,8,1,1,1,1,19,1,1,19,19,1,1,19
ATL,Atlanta Hawks,"Okongwu, Onyeka",On,55,23,32,0.418,1404.7366666666667,1259,2658,0.474,421,1156,0.364,628,761,0.825,324,916,1240,773,386.0,224,119,162,555,620,3567,-34.0,8,8,13,13,8,8,8,5,8,8,9,8,8,2,8,8,8,8,12,8,8,12,12,8,8,7
