TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
BOS,Boston Celtics,"Banton, Dalano",On,24,18,6,0.75,171.09333333333333,141,324,0.435,45,148,0.304,69,88,0.784,60,138,198,93,56.0,27,21,20,71,66,396,20.0,13,13,8,18,14,14,14,18,15,14,19,13,13,12,14,14,14,14,6,14,14,6,6,14,14,17
BOS,Boston Celtics,"Brissett, Oshae",On,55,46,9,0.836,630.165,561,1204,0.466,217,584,0.372,197,270,0.73,177,460,637,354,170.0,97,71,60,240,241,1536,114.0,10,9,9,6,10,10,10,17,10,10,15,10,10,16,10,10,10,10,10,10,10,10,10,10,10,12
BOS,Boston Celtics,"Brown, Jaylen",On,70,52,18,0.743,2342.5216666666665,2137,4328,0.494,754,1955,0.386,831,1050,0.791,457,1732,2189,1306,594.0,326,337,167,794,881,5859,413.0,5,6,18,19,3,3,3,8,4,4,10,3,2,10,4,3,3,3,18,3,3,16,18,2,3,8
BOS,Boston Celtics,"Davison, JD",On,8,8,0,1.0,39.01,38,74,0.514,11,32,0.344,10,20,0.5,13,36,49,27,12.0,10,10,3,17,14,97,23.0,18,18,1,1,18,18,18,3,18,18,17,18,18,19,18,18,18,18,2,18,18,1,2,18,18,16
BOS,Boston Celtics,"Hauser, Sam",On,79,62,17,0.785,1740.585,1562,3283,0.476,635,1647,0.386,564,697,0.809,410,1296,1706,953,423.0,239,241,139,596,587,4323,492.0,2,2,16,10,6,7,6,14,6,6,11,8,8,6,6,7,6,7,13,6,6,14,14,8,7,3
BOS,Boston Celtics,"Holiday, Jrue",On,69,53,16,0.768,2263.278333333333,2027,4168,0.486,769,1966,0.391,789,955,0.826,457,1676,2133,1245,555.0,310,301,168,740,807,5612,427.0,6,5,15,15,4,4,4,11,3,3,6,4,4,2,4,4,4,4,16,4,4,17,16,4,4,5
BOS,Boston Celtics,"Horford, Al",On,65,51,14,0.785,1739.7966666666666,1564,3197,0.489,621,1562,0.398,586,727,0.806,347,1299,1646,954,427.0,227,240,125,578,615,4335,421.0,7,7,11,11,7,6,7,9,7,7,5,6,6,8,7,6,7,6,14,7,7,13,13,7,6,6
BOS,Boston Celtics,"Kornet, Luke",On,63,48,15,0.762,983.31,893,1878,0.476,341,885,0.385,279,332,0.84,264,703,967,532,236.0,126,116,86,295,312,2406,218.0,8,8,13,16,9,9,9,15,9,9,12,9,9,1,9,9,9,9,11,9,9,11,11,9,9,9
BOS,Boston Celtics,"Mykhailiuk, Svi",On,41,32,9,0.78,413.16333333333336,392,781,0.502,135,359,0.376,115,149,0.772,111,293,404,253,113.0,75,46,38,144,123,1034,149.0,11,11,9,12,11,11,11,5,11,11,14,11,11,13,11,11,11,11,9,11,11,9,9,11,11,10
BOS,Boston Celtics,"Peterson, Drew",On,3,3,0,1.0,22.683333333333334,26,47,0.553,10,19,0.526,4,5,0.8,6,15,21,19,5.0,5,2,3,10,3,66,8.0,19,19,1,1,19,19,19,1,19,19,1,19,19,9,19,19,19,19,1,19,19,1,1,19,19,19
BOS,Boston Celtics,"Porzingis, Kristaps",On,57,43,14,0.754,1689.9483333333333,1560,3127,0.499,520,1364,0.381,646,791,0.817,315,1313,1628,942,421.0,218,263,112,547,666,4286,417.0,9,10,11,17,8,8,8,6,8,8,13,5,5,5,8,5,8,8,12,8,5,12,12,5,8,7
BOS,Boston Celtics,"Pritchard, Payton",On,82,64,18,0.78,1825.7333333333333,1648,3430,0.48,647,1665,0.389,566,716,0.791,473,1280,1753,1006,443.0,252,231,149,607,628,4509,449.0,1,1,18,12,5,5,5,12,5,5,8,7,7,11,2,8,5,5,15,5,8,15,15,6,5,4
BOS,Boston Celtics,"Queta, Neemias",On,28,24,4,0.857,333.21666666666664,323,642,0.503,125,300,0.417,108,141,0.766,104,243,347,198,83.0,53,41,30,133,120,879,135.0,12,12,5,5,12,12,12,4,12,12,3,12,12,15,12,12,12,12,8,12,12,8,8,12,12,11
BOS,Boston Celtics,"Springer, Jaden",On,17,15,2,0.882,129.63,125,242,0.517,50,112,0.446,20,28,0.714,37,83,120,75,40.0,27,16,13,46,32,320,38.0,16,15,4,4,15,15,15,2,14,15,2,16,17,17,15,16,16,15,5,14,15,5,4,16,15,15
BOS,Boston Celtics,"Stevens, Lamar",On,19,15,4,0.789,121.86833333333334,97,230,0.422,34,110,0.309,46,57,0.807,35,92,127,63,38.0,24,14,11,51,48,274,10.0,15,15,5,9,16,16,16,19,16,16,18,15,15,7,16,15,15,16,4,16,16,4,5,15,16,18
BOS,Boston Celtics,"Tatum, Jayson",On,74,57,17,0.77,2645.213333333333,2395,4908,0.488,903,2336,0.387,923,1121,0.823,541,1941,2482,1454,634.0,373,351,180,869,960,6616,608.0,3,4,16,14,1,1,1,10,1,1,9,1,1,3,1,1,1,1,19,1,1,19,19,1,1,2
BOS,Boston Celtics,"Tillman, Xavier",On,20,16,4,0.8,274.325,247,515,0.48,96,246,0.39,54,70,0.771,71,165,236,155,60.0,47,37,29,76,74,644,42.0,14,14,5,7,13,13,13,13,13,13,7,14,14,14,13,13,13,13,7,13,13,7,7,13,13,14
BOS,Boston Celtics,"Walsh, Jordan",On,9,9,0,1.0,83.47333333333333,79,169,0.467,25,72,0.347,20,29,0.69,35,72,107,49,18.0,19,11,8,33,25,203,47.0,17,17,1,1,17,17,17,16,17,17,16,16,16,18,16,17,17,17,3,17,17,3,3,17,17,13
BOS,Boston Celtics,"White, Derrick",On,73,58,15,0.795,2380.985,2190,4433,0.494,817,2048,0.399,843,1024,0.823,467,1778,2245,1357,567.0,330,341,179,783,878,6040,619.0,4,3,13,8,2,2,2,7,2,2,4,2,3,4,3,2,2,2,17,2,2,18,17,3,2,1
