TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
BKN,Brooklyn Nets,"Bates-Diop, Keita",On,14,6,8,0.429,67.59,47,108,0.435,11,39,0.282,25,29,0.862,15,35,50,30,24.0,5,5,9,25,26,130,-13.0,17,16,5,5,18,19,19,20,20,20,18,19,19,1,19,18,18,19,5,20,18,4,4,18,19,6
BKN,Brooklyn Nets,"Bridges, Mikal",On,82,32,50,0.39,2854.24,2394,5271,0.454,794,2217,0.358,914,1220,0.749,638,1943,2581,1533,745.0,388,321,289,1070,1071,6496,-185.0,1,1,21,13,1,1,1,12,1,1,11,1,1,15,1,1,1,1,21,1,1,21,21,1,1,19
BKN,Brooklyn Nets,"Brooks, Armoni",On,10,3,7,0.3,104.02333333333333,99,207,0.478,27,76,0.355,47,62,0.758,40,72,112,63,22.0,13,7,11,40,44,272,28.0,18,18,4,20,16,16,16,2,16,16,13,16,16,9,16,16,16,16,4,16,17,6,5,16,16,2
BKN,Brooklyn Nets,"Claxton, Nic",On,71,27,44,0.38,2115.6633333333334,1746,3827,0.456,554,1560,0.355,641,858,0.747,439,1429,1868,1123,560.0,288,254,200,783,787,4687,-278.0,2,3,20,14,2,3,3,10,3,2,14,3,3,16,3,2,2,2,20,2,2,19,19,3,3,21
BKN,Brooklyn Nets,"Clowney, Noah",On,23,10,13,0.435,369.85833333333335,292,666,0.438,82,251,0.327,138,177,0.78,101,241,342,164,117.0,55,46,58,126,156,804,-54.0,14,14,8,4,14,15,15,19,15,15,17,14,14,5,14,15,15,15,8,14,14,8,7,14,15,14
BKN,Brooklyn Nets,"Dinwiddie, Spencer",On,48,19,29,0.396,1473.9233333333334,1268,2780,0.456,465,1220,0.381,498,661,0.753,338,1031,1369,800,345.0,177,184,131,555,565,3499,-27.0,11,10,10,12,6,6,6,11,5,6,1,6,6,12,6,6,6,6,16,8,5,16,16,6,6,11
BKN,Brooklyn Nets,"Finney-Smith, Dorian",On,68,28,40,0.412,1934.5933333333332,1613,3561,0.453,576,1558,0.37,585,796,0.735,435,1308,1743,1006,488.0,269,197,185,706,698,4387,-107.0,3,2,18,7,4,4,4,14,2,3,3,4,4,20,4,4,4,4,18,4,4,18,18,4,4,18
BKN,Brooklyn Nets,"Giles III, Harry",On,16,6,10,0.375,81.25,82,169,0.485,14,58,0.241,32,43,0.744,39,52,91,51,26.0,8,8,10,40,33,210,-8.0,15,16,7,15,17,17,17,1,17,17,21,18,17,17,17,17,17,17,6,19,16,5,5,17,17,5
BKN,Brooklyn Nets,"Gilyard, Jacob",On,4,2,2,0.5,44.64333333333333,33,81,0.407,12,43,0.279,9,12,0.75,10,24,34,20,11.0,10,5,1,16,13,87,-16.0,20,19,2,1,20,20,20,21,19,18,19,21,21,14,20,20,20,20,2,17,18,1,2,20,20,7
BKN,Brooklyn Nets,"Johnson, Cameron",On,58,21,37,0.362,1599.0383333333334,1346,3002,0.448,459,1278,0.359,526,694,0.758,395,1065,1460,868,407.0,219,177,166,591,605,3677,-77.0,7,8,15,16,5,5,5,16,6,5,10,5,5,10,5,5,5,5,17,5,6,17,17,5,5,16
BKN,Brooklyn Nets,"Johnson, Keon",On,5,0,5,0.0,61.401666666666664,50,113,0.442,14,42,0.333,33,40,0.825,19,28,47,36,15.0,10,2,8,20,26,147,-25.0,19,21,3,21,19,18,18,17,17,19,16,17,18,3,18,19,19,18,3,17,20,3,3,18,18,10
BKN,Brooklyn Nets,"O'Neale, Royce",On,49,20,29,0.408,1202.225,1019,2244,0.454,371,1005,0.369,416,551,0.755,294,821,1115,672,342.0,197,134,111,518,466,2825,-22.0,10,9,10,9,7,7,7,13,7,7,5,7,7,11,7,7,7,7,15,6,7,13,15,7,7,8
BKN,Brooklyn Nets,"Schroder, Dennis",On,29,12,17,0.414,927.37,741,1649,0.449,260,700,0.371,278,376,0.739,202,615,817,477,266.0,121,92,97,320,344,2020,-96.0,13,13,9,6,10,11,11,15,10,10,2,12,12,18,12,11,12,10,10,11,10,10,10,11,11,17
