TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
CHA,Charlotte Hornets,"Bailey, Amari",On,10,1,9,0.1,64.63333333333334,54,114,0.474,18,49,0.367,21,27,0.778,13,47,60,29,20.0,11,7,4,12,19,147,5.0,23,24,4,23,25,25,25,5,25,25,8,24,24,15,24,24,24,26,2,24,24,1,1,25,25,1
CHA,Charlotte Hornets,"Ball, LaMelo",On,22,7,15,0.318,711.35,629,1352,0.465,171,505,0.339,273,347,0.787,176,469,645,373,200.0,120,59,69,322,300,1702,-139.0,18,12,9,9,15,12,14,9,14,13,21,7,7,11,7,14,13,14,12,9,15,13,20,9,12,16
CHA,Charlotte Hornets,"Bertans, Davis",On,28,9,19,0.321,582.9633333333334,466,1033,0.451,157,476,0.33,156,205,0.761,100,376,476,304,169.0,93,47,52,210,229,1245,-98.0,12,9,12,8,16,17,16,19,15,15,23,16,16,23,17,16,17,16,11,15,16,10,11,16,16,11
CHA,Charlotte Hornets,"Black, Leaky",On,26,2,24,0.077,284.08166666666665,231,514,0.449,65,191,0.34,90,115,0.783,56,200,256,134,78.0,36,39,24,90,96,617,-27.0,15,23,18,24,20,19,20,20,19,20,20,20,20,12,21,19,19,19,7,20,18,7,6,21,19,7
CHA,Charlotte Hornets,"Bolden, Marques",On,9,3,6,0.333,118.31666666666666,90,197,0.457,32,81,0.395,44,55,0.8,17,78,95,60,39.0,22,19,8,29,44,256,-24.0,24,20,3,6,23,23,23,15,23,23,4,22,22,7,23,23,23,23,4,23,22,3,3,23,23,5
CHA,Charlotte Hornets,"Bouknight, James",On,14,0,14,0.0,80.9,66,143,0.462,29,68,0.426,18,27,0.667,12,43,55,34,24.0,10,6,15,31,26,179,-11.0,21,25,8,25,24,24,24,12,24,24,1,25,24,25,25,25,25,24,3,25,25,4,4,24,24,3
CHA,Charlotte Hornets,"Bridges, Miles",On,69,17,52,0.246,2581.116666666667,2146,4677,0.459,677,1868,0.362,753,939,0.802,475,1661,2136,1356,716.0,351,218,270,924,884,5722,-633.0,2,2,24,13,1,1,1,13,1,1,9,1,1,6,1,1,1,1,26,1,2,26,26,1,1,26
CHA,Charlotte Hornets,"Curry, Seth",On,8,4,4,0.5,158.52833333333334,126,282,0.447,43,125,0.344,40,50,0.8,29,107,136,81,46.0,24,13,17,54,52,335,-25.0,25,19,1,1,22,22,22,22,22,22,18,23,23,7,22,22,22,22,5,22,23,5,5,22,22,6
CHA,Charlotte Hornets,"Hayward, Gordon",On,25,7,18,0.28,797.8833333333333,720,1484,0.485,185,484,0.382,245,318,0.77,185,514,699,449,245.0,122,90,88,319,300,1870,-133.0,16,12,10,10,10,7,9,1,13,14,5,10,9,20,6,11,9,8,18,8,6,20,19,9,9,14
CHA,Charlotte Hornets,"Maledon, Theo",On,13,3,10,0.231,200.08,175,386,0.453,46,131,0.351,83,112,0.741,65,128,193,104,61.0,29,24,21,106,97,479,-57.0,22,20,5,16,21,21,21,16,21,21,16,21,21,24,18,21,21,21,6,21,21,6,8,20,21,10
