TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
CHI,Chicago Bulls,"Bitim, Onuralp",On,23,11,12,0.478,267.9916666666667,221,491,0.45,59,170,0.347,95,121,0.785,69,179,248,146,74.0,40,19,28,107,107,596,-45.0,14,13,5,8,13,14,13,18,13,13,13,13,13,10,13,13,13,13,6,14,14,6,6,13,13,13
CHI,Chicago Bulls,"Carter, Jevon",On,72,35,37,0.486,1003.6016666666667,865,1899,0.456,231,675,0.342,324,435,0.745,252,663,915,505,247.0,203,109,114,398,391,2285,27.0,6,6,12,6,9,9,9,16,9,9,15,9,9,14,9,9,9,9,11,7,8,11,10,9,9,4
CHI,Chicago Bulls,"Caruso, Alex",On,71,34,37,0.479,2040.3433333333332,1728,3664,0.472,476,1353,0.352,739,920,0.803,409,1368,1777,1034,526.0,351,212,199,732,803,4671,4.0,7,7,12,7,5,5,5,8,5,5,10,4,4,4,6,5,5,5,14,4,5,14,14,5,5,8
CHI,Chicago Bulls,"Craig, Torrey",On,53,22,31,0.415,1048.6016666666667,887,1963,0.452,241,701,0.344,360,455,0.791,263,686,949,518,241.0,178,93,86,426,425,2375,-181.0,9,9,10,15,8,8,8,17,8,8,14,8,8,9,8,8,8,8,10,9,9,10,11,8,8,18
CHI,Chicago Bulls,"DeRozan, DeMar",On,79,37,42,0.468,2988.568333333333,2567,5453,0.471,704,1941,0.363,1086,1357,0.8,654,1983,2637,1515,714.0,462,293,290,1134,1182,6924,-62.0,1,1,16,10,1,1,1,10,2,2,8,1,1,7,1,1,1,1,18,1,1,18,18,1,1,14
CHI,Chicago Bulls,"Dosunmu, Ayo",On,76,37,39,0.487,2212.4683333333332,1900,4076,0.466,511,1437,0.356,732,913,0.802,510,1495,2005,1178,562.0,342,228,237,872,804,5043,-158.0,4,1,14,5,4,4,4,13,4,4,9,5,5,5,4,4,4,4,15,5,4,15,15,4,4,16
CHI,Chicago Bulls,"Drell, Henri",On,4,2,2,0.5,29.916666666666668,30,62,0.484,10,25,0.4,12,18,0.667,15,21,36,17,9.0,6,5,3,12,13,82,6.0,18,18,1,3,17,17,17,2,17,17,1,17,17,18,17,17,17,17,2,17,17,1,2,17,17,7
CHI,Chicago Bulls,"Drummond, Andre",On,79,37,42,0.468,1351.2516666666668,1161,2496,0.465,277,794,0.349,549,722,0.76,415,904,1319,615,365.0,222,152,159,521,629,3148,26.0,1,1,16,10,6,6,6,14,7,6,11,6,6,12,5,6,6,6,13,6,6,13,13,6,6,5
CHI,Chicago Bulls,"Funk, Andrew",On,5,3,2,0.6,13.4,13,28,0.464,4,10,0.4,2,2,1.0,8,12,20,6,5.0,2,4,4,4,4,32,4.0,17,16,1,1,18,18,18,15,18,18,1,18,18,1,18,18,18,18,1,18,18,2,1,18,18,8
CHI,Chicago Bulls,"Green, Javonte",On,9,5,4,0.556,230.4,228,439,0.519,52,141,0.369,49,65,0.754,60,157,217,131,66.0,41,20,19,84,66,557,28.0,15,15,3,2,14,13,14,1,14,14,6,15,15,13,14,14,14,14,5,13,13,4,5,15,14,3
