TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
CLE,Cleveland Cavaliers,"Allen, Jarrett",On,77,46,31,0.597,2442.0616666666665,2159,4419,0.489,662,1802,0.367,796,1001,0.795,501,1690,2191,1478,668.0,394,223,262,817,950,5776,201.0,2,2,17,5,1,1,1,2,1,1,6,1,1,1,1,1,1,1,18,1,1,18,18,1,1,3
CLE,Cleveland Cavaliers,"Bates, Emoni",On,15,8,7,0.533,132.815,98,230,0.426,36,98,0.367,20,38,0.526,26,72,98,68,46.0,17,9,13,45,40,252,-84.0,14,14,3,14,15,15,15,17,15,15,7,15,15,17,15,15,15,15,4,15,15,4,4,15,15,17
CLE,Cleveland Cavaliers,"Garland, Darius",On,57,31,26,0.544,1900.4383333333333,1638,3367,0.486,515,1361,0.378,630,816,0.772,364,1276,1640,1132,560.0,304,174,214,700,743,4421,112.0,7,9,13,13,5,5,6,3,7,7,5,5,5,6,6,6,6,3,16,4,7,16,14,5,5,6
CLE,Cleveland Cavaliers,"Jerome, Ty",On,2,1,1,0.5,14.816666666666666,13,27,0.481,3,11,0.273,3,4,0.75,3,7,10,7,4.0,1,0,3,10,3,32,-14.0,18,18,1,15,18,17,18,8,18,18,18,17,18,9,18,18,18,17,1,17,17,1,2,18,17,12
CLE,Cleveland Cavaliers,"Jones, Damian",On,39,24,15,0.615,269.7316666666667,198,446,0.444,58,195,0.297,61,94,0.649,51,177,228,126,99.0,28,22,22,89,89,515,-91.0,13,13,6,3,13,13,13,14,13,13,17,13,13,15,13,13,13,13,6,13,13,6,6,13,13,18
CLE,Cleveland Cavaliers,"LeVert, Caris",On,68,38,30,0.559,1958.0833333333333,1686,3545,0.476,563,1543,0.365,703,910,0.773,393,1321,1714,1124,534.0,297,205,191,753,791,4638,120.0,5,5,16,12,3,4,4,10,3,3,10,3,3,5,4,4,4,4,15,5,3,13,16,3,4,5
CLE,Cleveland Cavaliers,"Merrill, Sam",On,61,36,25,0.59,1068.9183333333333,883,1926,0.458,342,942,0.363,315,432,0.729,205,742,947,602,292.0,138,91,102,399,413,2423,28.0,6,6,12,7,10,10,10,13,9,9,11,10,10,12,10,10,10,10,9,10,10,9,10,10,10,10
CLE,Cleveland Cavaliers,"Mitchell, Donovan",On,55,36,19,0.655,1942.65,1746,3605,0.484,538,1495,0.36,669,843,0.794,415,1376,1791,1097,523.0,332,204,212,693,761,4699,325.0,8,6,8,2,4,3,3,5,5,4,14,4,4,2,3,3,3,6,14,3,4,15,13,4,3,1
CLE,Cleveland Cavaliers,"Mobley, Evan",On,50,29,21,0.58,1532.35,1349,2787,0.484,382,1053,0.363,490,624,0.785,304,1089,1393,917,438.0,242,160,162,551,561,3570,33.0,11,11,9,10,8,8,8,6,8,8,12,8,8,3,8,8,8,8,11,8,8,11,11,8,8,8
CLE,Cleveland Cavaliers,"Mobley, Isaiah",On,10,2,8,0.2,71.92166666666667,53,124,0.427,22,53,0.415,7,13,0.538,15,45,60,32,25.0,8,1,9,17,20,135,-30.0,16,17,4,18,16,16,16,16,16,16,1,16,16,16,16,16,16,16,3,16,16,3,3,16,16,15
