TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
DAL,Dallas Mavericks,"Brown III, Greg",On,6,3,3,0.5,39.74333333333333,34,74,0.459,8,20,0.4,19,28,0.679,13,35,48,22,17.0,4,7,5,12,18,95,-9.0,20,20,2,19,20,20,20,15,20,20,1,21,20,22,20,20,20,20,3,21,20,3,3,20,20,13
DAL,Dallas Mavericks,"Curry, Seth",On,36,21,15,0.583,456.885,393,842,0.467,141,380,0.371,177,236,0.75,95,311,406,247,133.0,83,49,42,183,221,1104,85.0,14,14,9,15,14,14,14,11,14,14,8,14,14,10,15,14,14,14,9,14,14,9,9,14,14,7
DAL,Dallas Mavericks,"Dennis, Dexter",On,4,1,3,0.25,29.866666666666667,21,55,0.382,3,20,0.15,20,28,0.714,6,25,31,13,11.0,7,4,1,9,18,65,-9.0,21,21,2,21,21,21,21,22,22,20,22,20,20,17,22,21,21,21,2,20,21,1,1,20,21,13
DAL,Dallas Mavericks,"Doncic, Luka",On,70,46,24,0.657,2624.04,2405,4884,0.492,831,2216,0.375,963,1271,0.758,506,1828,2334,1393,656.0,385,282,198,968,1128,6604,319.0,4,3,17,4,1,1,1,4,1,1,7,1,1,9,1,1,1,1,22,1,1,22,22,1,1,1
DAL,Dallas Mavericks,"Exum, Dante",On,55,36,19,0.655,1087.6216666666667,1029,2036,0.505,350,884,0.396,381,499,0.764,190,773,963,622,247.0,139,110,86,414,458,2789,239.0,8,7,13,5,8,8,8,1,8,8,3,8,8,7,10,8,8,7,14,9,9,13,15,8,8,3
DAL,Dallas Mavericks,"Fudge, Alex",On,2,0,2,0.0,25.75,20,50,0.4,5,19,0.263,7,8,0.875,8,15,23,13,8.0,4,1,3,10,8,52,-19.0,22,22,1,22,22,22,22,20,21,22,21,22,22,1,21,22,22,21,1,21,22,2,2,22,22,15
DAL,Dallas Mavericks,"Gafford, Daniel",On,29,21,8,0.724,622.57,591,1173,0.504,159,475,0.335,178,241,0.739,132,460,592,369,177.0,101,90,53,246,231,1519,85.0,15,14,5,1,13,13,13,2,13,13,17,13,13,15,13,13,13,13,10,13,11,10,10,13,13,7
DAL,Dallas Mavericks,"Green, Josh",On,57,32,25,0.561,1504.72,1352,2782,0.486,469,1222,0.384,521,686,0.759,285,999,1284,810,391.0,218,138,127,606,644,3694,-100.0,7,9,18,17,5,5,5,7,5,5,5,5,5,8,5,5,5,5,18,5,6,18,18,5,5,20
DAL,Dallas Mavericks,"Hardaway Jr., Tim",On,79,49,30,0.62,2120.3283333333334,1869,3943,0.474,663,1815,0.365,825,1057,0.781,395,1413,1808,1118,538.0,293,191,174,826,966,5226,13.0,1,1,22,9,2,3,2,10,2,2,11,2,2,4,3,2,3,3,21,3,4,21,21,2,2,11
DAL,Dallas Mavericks,"Hardy, Jaden",On,73,44,29,0.603,989.2133333333334,836,1833,0.456,286,780,0.367,350,467,0.749,224,649,873,513,299.0,139,91,93,404,415,2308,-126.0,3,4,20,12,9,10,9,16,10,9,10,10,9,11,8,10,10,10,15,9,10,15,14,9,9,22
