TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
DEN,Denver Nuggets,"Braun, Christian",On,82,57,25,0.695,1655.565,1437,3057,0.47,368,1044,0.352,492,673,0.731,400,1165,1565,942,448.0,245,222,204,699,624,3734,-13.0,1,1,16,11,7,7,7,12,7,7,12,7,7,13,6,7,7,7,11,7,6,13,12,7,7,13
DEN,Denver Nuggets,"Caldwell-Pope, Kentavious",On,76,54,22,0.711,2401.7566666666667,2297,4427,0.519,602,1522,0.396,812,1055,0.77,523,1687,2210,1565,611.0,368,249,217,801,926,6008,572.0,6,6,11,5,3,3,3,1,3,3,2,3,3,5,4,3,3,3,15,3,3,15,15,3,3,2
DEN,Denver Nuggets,"Gillespie, Collin",On,24,15,9,0.625,225.365,197,415,0.475,57,162,0.352,74,98,0.755,50,161,211,130,52.0,38,15,19,86,77,525,15.0,14,15,5,17,13,13,13,11,13,13,13,13,13,9,13,13,13,13,5,13,13,5,5,13,13,8
DEN,Denver Nuggets,"Gordon, Aaron",On,73,49,24,0.671,2296.81,2156,4269,0.505,543,1470,0.369,770,987,0.78,542,1612,2154,1430,585.0,346,233,212,761,879,5625,423.0,7,7,12,14,4,4,4,4,4,4,9,4,4,3,3,4,4,4,14,4,5,14,14,4,4,4
DEN,Denver Nuggets,"Holiday, Justin",On,58,38,20,0.655,862.0133333333333,772,1586,0.487,216,567,0.381,255,340,0.75,180,588,768,512,223.0,149,111,84,375,301,2015,55.0,9,10,10,16,9,9,9,7,9,9,5,9,9,10,9,9,9,9,9,9,9,9,9,9,9,7
DEN,Denver Nuggets,"Huff, Jay",On,20,16,4,0.8,49.325,37,83,0.446,14,46,0.304,15,20,0.75,4,33,37,28,17.0,10,5,2,25,12,103,-9.0,15,14,1,1,16,17,17,15,16,17,16,16,16,10,16,17,17,17,1,15,16,2,1,16,17,11
DEN,Denver Nuggets,"Jackson, Reggie",On,82,57,25,0.695,1816.82,1610,3341,0.482,439,1185,0.37,576,774,0.744,404,1278,1682,1077,511.0,259,205,179,760,683,4235,79.0,1,1,16,11,6,6,6,8,6,5,8,5,5,12,5,6,5,6,13,6,8,11,13,6,6,6
DEN,Denver Nuggets,"Jokic, Nikola",On,79,55,24,0.696,2736.5333333333333,2631,5088,0.517,682,1752,0.389,909,1159,0.784,600,1955,2555,1814,691.0,415,269,249,899,1035,6853,682.0,5,5,12,10,1,1,1,3,1,1,4,1,1,2,2,1,1,1,17,1,1,16,17,1,1,1
DEN,Denver Nuggets,"Jordan, DeAndre",On,36,24,12,0.667,395.71666666666664,324,726,0.446,93,253,0.368,104,154,0.675,109,271,380,201,120.0,42,50,50,195,133,845,-88.0,12,12,6,15,12,12,12,14,12,12,10,12,12,16,12,12,12,12,6,12,12,6,6,12,12,15
DEN,Denver Nuggets,"Key, Braxton",On,20,14,6,0.7,59.983333333333334,46,104,0.442,13,48,0.271,22,29,0.759,6,41,47,32,17.0,9,7,7,31,20,127,-11.0,15,16,3,8,15,15,15,17,17,16,17,15,15,6,15,15,15,15,1,16,15,3,3,15,15,12
DEN,Denver Nuggets,"Murray, Jamal",On,59,44,15,0.746,1861.37,1772,3425,0.517,460,1177,0.391,569,720,0.79,400,1279,1679,1148,486.0,280,239,186,642,684,4573,311.0,8,8,7,3,5,5,5,2,5,6,3,6,6,1,6,5,6,5,12,5,4,12,10,5,5,5
DEN,Denver Nuggets,"Nnaji, Zeke",On,58,41,17,0.707,576.12,469,1058,0.443,127,393,0.323,149,211,0.706,125,369,494,284,157.0,91,104,63,288,218,1214,-168.0,9,9,9,6,10,10,10,16,11,11,15,11,11,15,11,11,11,11,8,10,10,7,8,10,11,17
DEN,Denver Nuggets,"Pickett, Jalen",On,27,20,7,0.741,121.78833333333333,99,206,0.481,34,95,0.358,31,41,0.756,17,87,104,80,38.0,13,14,7,55,31,263,-1.0,13,13,4,4,14,14,14,9,14,14,11,14,14,7,14,14,14,14,4,14,14,3,4,14,14,10
DEN,Denver Nuggets,"Porter Jr., Michael",On,81,57,24,0.704,2564.605,2430,4827,0.503,621,1662,0.374,828,1071,0.773,611,1815,2426,1652,639.0,370,264,254,889,976,6309,472.0,3,1,12,7,2,2,2,5,2,2,7,2,2,4,1,2,2,2,16,2,2,17,16,2,2,3
DEN,Denver Nuggets,"Strawther, Julian",On,50,34,16,0.68,545.415,465,1035,0.449,138,407,0.339,161,213,0.756,131,376,507,307,156.0,78,70,75,253,199,1229,-103.0,11,11,8,13,11,11,11,13,10,10,14,10,10,8,10,10,10,10,7,11,11,8,7,11,10,16
DEN,Denver Nuggets,"Tyson, Hunter",On,18,14,4,0.778,47.97666666666667,42,85,0.494,22,55,0.4,8,13,0.615,3,36,39,32,17.0,7,4,1,27,9,114,8.0,17,16,1,2,17,16,16,6,15,15,1,17,17,17,17,16,16,15,1,17,17,1,2,17,16,9
DEN,Denver Nuggets,"Watson, Peyton",On,80,56,24,0.7,1487.8366666666666,1266,2663,0.475,361,962,0.375,425,582,0.73,300,1057,1357,841,412.0,205,219,161,659,528,3318,-69.0,4,4,12,8,8,8,8,10,8,8,6,8,8,14,8,8,8,8,10,8,7,10,11,8,8,14
