TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
DET,Detroit Pistons,"Bagley III, Marvin",On,26,2,24,0.077,478.4033333333333,424,872,0.486,114,287,0.397,168,201,0.836,105,305,410,261,158.0,60,41,54,208,174,1130,-74.0,13,19,20,25,14,12,14,5,13,15,3,14,14,3,13,14,14,13,19,17,13,16,18,13,12,14
DET,Detroit Pistons,"Boeheim, Buddy",On,10,0,10,0.0,84.00166666666667,65,151,0.43,27,77,0.351,44,54,0.815,24,63,87,47,21.0,9,8,7,32,35,201,21.0,24,28,9,28,26,26,26,27,26,25,13,25,25,5,24,25,25,26,6,27,25,3,7,25,26,3
DET,Detroit Pistons,"Bogdanovic, Bojan",On,28,3,25,0.107,920.9333333333333,829,1693,0.49,213,588,0.362,322,422,0.763,195,603,798,501,285.0,104,75,108,411,353,2193,-251.0,12,17,21,23,9,9,9,3,10,10,8,9,9,24,9,9,9,9,23,10,10,22,23,10,9,27
DET,Detroit Pistons,"Brown Jr., Troy",On,22,2,20,0.091,416.7216666666667,333,757,0.44,98,278,0.353,127,162,0.784,83,275,358,206,134.0,70,28,55,141,131,891,-128.0,17,19,15,24,16,16,16,22,16,16,12,16,16,19,15,16,16,16,16,15,20,18,15,17,16,19
DET,Detroit Pistons,"Burks, Alec",On,43,7,36,0.163,900.5766666666667,751,1646,0.456,242,637,0.38,374,479,0.781,203,587,790,450,279.0,108,100,111,388,383,2118,-186.0,8,8,24,15,10,10,10,17,7,8,5,8,8,20,8,10,10,10,22,9,9,23,22,8,10,22
DET,Detroit Pistons,"Cazalon, Malcolm",On,1,0,1,0.0,2.5833333333333335,4,5,0.8,0,0,0.0,3,3,1.0,0,0,0,1,0.0,0,0,0,0,3,11,5.0,31,28,1,28,31,31,31,1,31,31,31,31,31,1,31,31,31,31,1,31,31,1,1,31,31,4
DET,Detroit Pistons,"Cunningham, Cade",On,62,9,53,0.145,2074.225,1818,3829,0.475,441,1272,0.347,705,908,0.776,493,1438,1931,1126,681.0,276,207,276,945,758,4782,-350.0,5,5,27,18,2,2,2,8,2,2,16,2,2,23,1,2,2,2,30,2,2,30,30,2,2,30
DET,Detroit Pistons,"Duren, Jalen",On,61,13,48,0.213,1777.4816666666666,1545,3287,0.47,398,1117,0.356,589,772,0.763,411,1299,1710,971,577.0,220,181,234,770,636,4077,-311.0,6,2,26,7,3,3,3,10,3,3,9,3,3,25,3,3,3,3,29,3,3,29,29,3,3,28
DET,Detroit Pistons,"Evbuomwan, Tosan",On,13,1,12,0.077,292.58666666666664,230,516,0.446,54,179,0.302,110,141,0.78,60,196,256,134,93.0,49,21,38,111,104,624,-100.0,22,24,10,25,20,20,20,20,22,20,27,20,19,21,18,19,19,20,12,19,22,13,12,20,20,17
DET,Detroit Pistons,"Flynn, Malachi",On,24,4,20,0.167,342.14,261,599,0.436,82,246,0.333,112,139,0.806,58,195,253,149,96.0,57,35,39,125,105,716,-108.0,14,11,15,11,18,18,18,24,18,18,21,19,20,10,19,20,20,19,13,18,16,14,13,19,18,18
DET,Detroit Pistons,"Fontecchio, Simone",On,16,4,12,0.25,484.11,409,942,0.434,114,374,0.305,161,200,0.805,117,369,486,263,135.0,85,42,68,206,159,1093,-36.0,19,11,10,4,13,14,13,26,13,13,25,15,15,11,12,13,12,12,17,12,12,20,17,15,14,9
DET,Detroit Pistons,"Fournier, Evan",On,29,6,23,0.207,541.04,415,966,0.43,113,377,0.3,173,214,0.808,83,376,459,259,170.0,96,52,61,216,160,1116,-129.0,11,10,19,8,12,13,12,28,15,12,28,13,13,7,15,11,13,14,21,11,11,19,20,14,13,20
DET,Detroit Pistons,"Gallinari, Danilo",On,6,1,5,0.167,89.52166666666666,83,160,0.519,35,75,0.467,48,55,0.873,14,57,71,53,24.0,13,5,9,30,45,249,26.0,25,24,7,11,25,24,25,2,24,26,1,24,24,2,27,26,26,25,7,25,28,5,5,24,24,2
DET,Detroit Pistons,"Gibson, Taj",On,4,1,3,0.25,39.123333333333335,33,76,0.434,6,28,0.214,5,8,0.625,4,25,29,21,7.0,8,5,4,11,5,77,-5.0,28,24,2,4,30,30,30,25,30,30,30,30,30,31,30,30,30,30,2,30,28,2,2,30,30,6
DET,Detroit Pistons,"Grimes, Quentin",On,6,3,3,0.5,115.37,82,207,0.396,32,95,0.337,28,35,0.8,23,82,105,57,35.0,18,14,15,55,25,224,-44.0,25,17,2,1,24,25,24,29,25,24,19,26,26,14,25,24,24,24,8,23,24,8,8,28,25,11
DET,Detroit Pistons,"Harris, Joe",On,16,4,12,0.25,169.97833333333332,141,309,0.456,42,118,0.356,65,87,0.747,40,104,144,88,55.0,22,23,24,85,73,389,-48.0,19,11,10,4,23,23,23,16,23,23,10,22,22,28,21,23,23,23,10,22,21,11,10,22,23,12
DET,Detroit Pistons,"Hayes, Killian",On,42,7,35,0.167,1007.6583333333333,883,1845,0.479,218,624,0.349,305,402,0.759,195,682,877,591,324.0,125,106,123,437,372,2289,-244.0,9,8,23,11,8,8,8,7,9,9,15,10,10,27,9,8,8,7,24,8,8,24,24,9,8,25
DET,Detroit Pistons,"Ivey, Jaden",On,77,14,63,0.182,2217.4766666666665,1924,4073,0.472,510,1407,0.362,815,1037,0.786,489,1559,2048,1193,706.0,277,216,290,967,836,5173,-350.0,1,1,31,10,1,1,1,9,1,1,7,1,1,18,2,1,1,1,31,1,1,31,31,1,1,30
DET,Detroit Pistons,"Knox II, Kevin",On,31,4,27,0.129,560.2333333333333,487,1053,0.462,127,384,0.331,220,289,0.761,132,375,507,315,163.0,76,41,71,237,227,1321,-85.0,10,11,22,21,11,11,11,11,11,11,22,11,11,26,11,12,11,11,20,13,13,21,21,11,11,16
DET,Detroit Pistons,"Livers, Isaiah",On,23,1,22,0.043,469.39666666666665,391,854,0.458,115,337,0.341,176,236,0.746,99,286,385,244,152.0,68,37,54,213,191,1073,-199.0,16,24,18,27,15,15,15,15,12,14,17,12,12,29,14,15,15,15,18,16,15,16,19,12,15,23
