TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
HOU,Houston Rockets,"Brooks, Dillon",On,72,36,36,0.5,2226.7383333333332,1931,4135,0.467,583,1620,0.36,816,1024,0.797,482,1522,2004,1196,586.0,343,199,268,955,872,5261,-21.0,6,6,13,8,4,4,4,6,4,4,5,4,4,1,4,4,4,4,14,4,4,14,14,4,4,13
HOU,Houston Rockets,"Bullock Jr., Reggie",On,44,24,20,0.545,417.47333333333336,351,771,0.455,109,313,0.348,142,181,0.785,96,299,395,190,126.0,67,40,51,172,148,953,-53.0,12,11,6,3,13,13,13,10,13,13,9,13,13,4,13,13,13,13,5,13,13,5,5,13,13,15
HOU,Houston Rockets,"Eason, Tari",On,22,12,10,0.545,480.105,399,895,0.446,122,338,0.361,218,281,0.776,132,359,491,223,131.0,84,57,59,242,222,1138,88.0,13,13,4,3,12,12,12,16,12,12,4,12,12,7,12,12,12,12,6,12,12,6,6,12,12,3
HOU,Houston Rockets,"Green, Jalen",On,82,41,41,0.5,2601.3816666666667,2272,4890,0.465,696,1967,0.354,959,1227,0.782,558,1810,2368,1381,658.0,385,222,319,1068,1060,6199,31.0,1,1,17,8,2,2,2,7,2,2,8,2,2,6,2,2,2,2,16,2,2,17,16,2,2,8
HOU,Houston Rockets,"Green, Jeff",On,78,39,39,0.5,1307.3383333333334,1057,2378,0.444,341,983,0.347,558,711,0.785,301,879,1180,586,355.0,205,142,147,582,572,3013,-77.0,2,2,15,8,7,8,8,17,7,7,11,6,6,3,8,8,8,8,11,8,7,10,11,6,7,16
HOU,Houston Rockets,"Hinton, Nate",On,15,8,7,0.533,74.55166666666666,74,150,0.493,15,54,0.278,25,36,0.694,25,69,94,39,21.0,10,12,9,35,27,188,13.0,15,16,3,5,15,15,15,3,15,15,15,15,15,15,15,15,15,15,2,16,15,2,3,15,15,10
HOU,Houston Rockets,"Holiday, Aaron",On,78,39,39,0.5,1269.2966666666666,1077,2390,0.451,344,964,0.357,493,647,0.762,315,914,1229,612,335.0,215,119,157,581,526,2991,85.0,2,2,15,8,8,7,7,14,6,8,7,8,8,11,7,7,7,7,10,7,8,11,10,8,8,4
HOU,Houston Rockets,"Landale, Jock",On,56,28,28,0.5,763.46,680,1472,0.462,223,615,0.363,288,376,0.766,236,558,794,380,233.0,127,88,87,316,311,1871,161.0,10,10,7,8,11,11,11,9,10,11,2,11,11,9,10,11,11,11,7,11,11,7,7,11,11,2
HOU,Houston Rockets,"Marjanovic, Boban",On,14,9,5,0.643,70.91,68,133,0.511,8,34,0.235,17,26,0.654,18,57,75,33,26.0,11,7,9,19,26,161,-20.0,16,15,1,1,16,16,16,2,16,17,16,16,16,17,16,16,16,16,3,15,16,2,1,16,16,12
HOU,Houston Rockets,"Samuels Jr., Jermaine",On,14,8,6,0.571,60.13166666666667,59,115,0.513,8,37,0.216,16,23,0.696,15,44,59,31,19.0,8,7,7,27,18,142,-13.0,16,16,2,2,17,17,17,1,16,16,17,17,17,14,17,17,17,17,1,17,16,1,2,17,17,11
