TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
IND,Indiana Pacers,"Brown, Bruce",On,33,19,14,0.576,980.5783333333334,989,1900,0.521,299,753,0.397,368,454,0.811,210,639,849,642,284.0,148,124,117,438,376,2645,80.0,13,13,9,11,11,11,11,2,10,11,4,10,10,3,11,11,11,11,13,12,10,12,12,10,11,8
IND,Indiana Pacers,"Brown, Kendall",On,15,10,5,0.667,62.50833333333333,45,108,0.417,7,37,0.189,16,23,0.696,20,39,59,30,27.0,11,7,5,25,17,113,-24.0,17,16,4,4,17,18,17,21,19,17,21,18,18,19,17,17,17,18,6,19,17,5,6,18,18,21
IND,Indiana Pacers,"Haliburton, Tyrese",On,69,40,29,0.58,2223.5383333333334,2195,4318,0.508,672,1795,0.374,802,1011,0.793,441,1518,1959,1450,569.0,333,297,236,970,847,5864,294.0,5,5,18,10,1,1,1,9,1,1,11,1,1,6,1,1,1,1,22,1,1,21,22,1,1,1
IND,Indiana Pacers,"Hield, Buddy",On,52,29,23,0.558,1335.7383333333332,1336,2600,0.514,423,1104,0.383,437,562,0.778,281,837,1118,883,381.0,205,171,144,609,501,3532,91.0,11,11,12,18,7,7,7,5,6,6,6,7,8,11,8,8,8,7,16,8,6,15,15,8,7,7
IND,Indiana Pacers,"Jackson, Isaiah",On,60,37,23,0.617,770.905,744,1473,0.505,171,496,0.345,256,335,0.764,185,472,657,479,245.0,144,110,84,375,308,1915,29.0,8,7,12,6,13,13,13,12,13,13,18,12,12,13,13,13,13,13,11,13,11,10,10,12,13,11
IND,Indiana Pacers,"Jackson, Quenton",On,3,3,0,1.0,10.533333333333333,7,16,0.438,3,7,0.429,2,2,1.0,0,9,9,6,5.0,2,1,0,4,1,19,0.0,20,19,1,1,20,20,21,19,21,21,2,20,20,1,20,20,20,20,3,20,20,1,3,21,21,16
IND,Indiana Pacers,"Johnson, James",On,9,4,5,0.444,47.195,46,92,0.5,12,33,0.364,12,17,0.706,13,21,34,32,12.0,16,2,4,15,14,116,5.0,18,18,4,20,18,17,18,14,17,18,16,19,19,18,19,19,19,17,4,17,19,4,4,19,17,15
IND,Indiana Pacers,"Mathurin, Bennedict",On,59,33,26,0.559,1538.39,1430,2924,0.489,385,1057,0.364,583,736,0.792,342,976,1318,907,452.0,252,167,204,712,629,3828,-92.0,9,9,16,17,6,6,6,17,7,7,15,5,5,7,5,6,6,6,17,6,7,19,17,5,6,22
IND,Indiana Pacers,"McConnell, T.J.",On,71,40,31,0.563,1290.9766666666667,1291,2497,0.517,318,828,0.384,408,519,0.786,282,799,1081,821,347.0,225,141,148,618,498,3308,95.0,4,5,19,14,9,8,8,3,9,9,5,9,9,9,7,9,9,9,15,7,9,16,16,9,8,6
IND,Indiana Pacers,"McDermott, Doug",On,18,12,6,0.667,204.33166666666668,224,428,0.523,67,164,0.409,37,61,0.607,49,113,162,149,54.0,35,15,19,83,67,552,13.0,15,15,6,4,15,15,15,1,15,15,3,16,16,21,15,16,15,15,8,16,16,7,7,16,15,14
IND,Indiana Pacers,"Nembhard, Andrew",On,68,41,27,0.603,1696.685,1607,3219,0.499,457,1233,0.371,502,662,0.758,341,1132,1473,1064,457.0,274,216,183,729,626,4173,65.0,6,3,17,7,5,5,5,15,5,5,13,6,6,17,6,4,5,5,18,5,5,17,18,6,5,10
IND,Indiana Pacers,"Nesmith, Aaron",On,72,41,31,0.569,1994.655,1923,3776,0.509,557,1457,0.382,665,854,0.779,378,1342,1720,1282,531.0,309,257,236,880,759,5068,161.0,3,3,19,13,3,3,3,7,3,3,7,3,3,10,2,3,3,3,21,2,3,21,21,3,3,3
IND,Indiana Pacers,"Nwora, Jordan",On,18,8,10,0.444,182.51166666666666,173,353,0.49,34,115,0.296,79,104,0.76,39,116,155,121,44.0,38,20,19,87,77,459,-16.0,15,17,8,20,16,16,16,16,16,16,20,15,15,16,16,15,16,16,7,15,15,7,8,15,16,20
IND,Indiana Pacers,"Sheppard, Ben",On,57,32,25,0.561,814.26,825,1631,0.506,211,590,0.358,240,304,0.789,197,520,717,522,194.0,151,94,91,383,298,2101,69.0,10,10,14,15,12,12,12,11,12,12,17,13,13,8,12,12,12,12,10,11,13,11,11,13,12,9
IND,Indiana Pacers,"Siakam, Pascal",On,41,23,18,0.561,1303.4733333333334,1259,2484,0.507,335,886,0.378,437,574,0.761,251,901,1152,825,307.0,181,142,138,532,504,3290,104.0,12,12,11,16,8,9,9,10,8,8,9,7,7,14,10,7,7,8,14,9,8,14,14,7,9,5
