TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
LAC,LA Clippers,"Batum, Nicolas",On,3,2,1,0.667,54.108333333333334,43,95,0.453,17,51,0.333,19,25,0.76,12,39,51,19,18.0,8,9,6,24,25,122,0.0,18,18,3,3,18,18,18,16,17,16,17,17,18,17,18,17,18,18,4,18,17,4,4,18,18,11
LAC,LA Clippers,"Boston Jr., Brandon",On,32,17,15,0.531,345.1716666666667,283,649,0.436,76,258,0.295,98,127,0.772,98,221,319,158,105.0,53,42,45,126,109,740,-111.0,13,13,8,19,14,14,14,19,14,14,20,14,14,14,14,14,14,14,8,14,13,9,8,14,14,21
LAC,LA Clippers,"Brown, Kobe",On,44,27,17,0.614,393.99833333333333,330,743,0.444,89,283,0.314,120,151,0.795,118,242,360,193,115.0,60,43,52,167,137,869,-92.0,11,11,9,17,13,13,13,18,13,13,18,13,13,11,11,13,13,12,9,13,12,10,10,13,13,19
LAC,LA Clippers,"Coffey, Amir",On,70,46,24,0.657,1460.5966666666666,1284,2665,0.482,384,1023,0.375,568,677,0.839,318,953,1271,761,420.0,221,156,163,568,559,3520,-92.0,5,4,15,6,8,8,8,11,8,7,10,8,8,3,8,8,8,8,15,8,7,16,14,8,8,19
LAC,LA Clippers,"Covington, Robert",On,3,2,1,0.667,69.28666666666666,70,127,0.551,21,48,0.438,19,28,0.679,14,49,63,45,23.0,19,10,5,30,30,180,45.0,18,18,3,3,16,16,16,1,15,17,1,17,17,19,17,16,17,16,6,16,16,3,6,15,16,9
LAC,LA Clippers,"Diabate, Moussa",On,11,7,4,0.636,64.23833333333333,55,116,0.474,14,41,0.341,29,38,0.763,28,36,64,33,20.0,10,4,7,27,26,153,-2.0,16,15,6,10,17,17,17,13,18,18,16,15,15,16,16,18,16,17,5,17,18,6,5,17,17,13
LAC,LA Clippers,"George, Paul",On,74,48,26,0.649,2501.766666666667,2250,4453,0.505,695,1695,0.41,960,1159,0.828,476,1740,2216,1389,663.0,420,265,229,941,1008,6155,461.0,3,1,17,7,1,1,1,3,1,2,2,2,2,7,2,1,1,1,21,1,1,21,21,1,1,1
LAC,LA Clippers,"Harden, James",On,72,46,26,0.639,2469.6683333333335,2171,4372,0.497,669,1737,0.385,1018,1207,0.843,485,1670,2155,1353,654.0,403,258,215,907,991,6029,291.0,4,4,17,9,2,2,2,5,2,1,7,1,1,2,1,2,2,2,20,3,2,20,20,2,2,3
LAC,LA Clippers,"Hyland, Bones",On,37,20,17,0.541,540.21,443,968,0.458,135,394,0.343,165,216,0.764,116,363,479,248,173.0,84,52,61,222,203,1186,-65.0,12,12,9,18,11,11,11,15,11,11,15,11,11,15,12,11,11,11,11,11,11,11,11,11,11,18
LAC,LA Clippers,"Leonard, Kawhi",On,68,44,24,0.647,2330.04,2086,4182,0.499,601,1555,0.386,891,1077,0.827,463,1621,2084,1272,613.0,411,243,210,839,906,5664,392.0,6,7,15,8,3,3,3,4,3,3,6,3,3,8,3,3,3,3,19,2,3,19,18,3,3,2
LAC,LA Clippers,"Mann, Terance",On,75,47,28,0.627,1872.8916666666667,1638,3328,0.492,471,1266,0.372,693,828,0.837,398,1302,1700,992,509.0,277,170,157,681,673,4440,52.0,2,3,20,14,5,5,5,7,5,5,12,5,5,5,4,5,5,5,16,6,6,15,17,5,5,8
LAC,LA Clippers,"Martin, KJ",On,2,2,0,1.0,31.366666666666667,23,59,0.39,9,30,0.3,7,12,0.583,9,24,33,12,12.0,8,3,6,9,14,62,-4.0,20,18,1,1,19,19,19,21,19,19,19,20,19,20,19,19,19,20,3,18,19,4,2,19,19,14
LAC,LA Clippers,"Miller, Jordan",On,8,5,3,0.625,28.191666666666666,23,51,0.451,6,17,0.353,8,11,0.727,8,17,25,13,11.0,2,3,3,11,9,60,-13.0,17,17,5,15,20,19,20,17,20,20,14,19,20,18,20,20,20,19,2,20,19,2,3,20,20,15
LAC,LA Clippers,"Moon, Xavier",On,14,7,7,0.5,119.25,99,238,0.416,18,90,0.2,24,31,0.774,39,82,121,57,40.0,20,16,18,37,30,240,-37.0,15,15,7,20,15,15,15,20,16,15,21,16,16,13,15,15,15,15,7,15,15,7,7,15,15,16
LAC,LA Clippers,"Plumlee, Mason",On,46,29,17,0.63,673.9266666666666,601,1230,0.489,183,470,0.389,256,325,0.788,137,461,598,357,184.0,107,64,71,256,284,1641,11.0,10,10,9,12,10,10,10,8,10,10,5,10,10,12,10,10,10,10,12,10,10,12,12,10,10,10
LAC,LA Clippers,"Powell, Norman",On,76,48,28,0.632,1990.3783333333333,1756,3602,0.488,556,1402,0.397,845,1032,0.819,380,1376,1756,1057,529.0,316,230,205,851,854,4913,212.0,1,1,20,11,4,4,4,10,4,4,3,4,4,9,5,4,4,4,18,4,4,18,19,4,4,4
LAC,LA Clippers,"Primo, Joshua",On,2,2,0,1.0,10.266666666666667,9,17,0.529,3,8,0.375,1,4,0.25,2,9,11,6,6.0,1,2,1,3,2,22,-1.0,20,18,1,1,21,21,21,2,21,21,11,21,21,21,21,21,21,21,1,21,21,1,1,21,21,12
LAC,LA Clippers,"Theis, Daniel",On,59,37,22,0.627,1006.4066666666666,899,1873,0.48,276,727,0.38,352,422,0.834,203,662,865,532,247.0,164,129,113,452,367,2426,62.0,9,9,13,13,9,9,9,12,9,9,8,9,9,6,9,9,9,9,13,9,9,13,13,9,9,7
LAC,LA Clippers,"Tucker, P.J.",On,28,11,17,0.393,419.9716666666667,350,756,0.463,107,294,0.364,147,174,0.845,99,280,379,189,115.0,69,39,39,165,164,954,-52.0,14,14,9,21,12,12,12,14,12,12,13,12,12,1,13,12,12,13,9,12,14,8,9,12,12,17
LAC,LA Clippers,"Westbrook, Russell",On,68,45,23,0.662,1528.8166666666666,1375,2819,0.488,395,1004,0.393,637,779,0.818,328,1077,1405,825,416.0,262,152,163,680,626,3782,104.0,6,6,14,5,7,7,7,9,7,8,4,7,6,10,7,7,7,7,14,7,8,16,16,7,7,6
LAC,LA Clippers,"Zubac, Ivica",On,68,42,26,0.618,1794.4483333333333,1577,3197,0.493,455,1202,0.379,638,762,0.837,379,1281,1660,974,517.0,285,175,151,599,668,4247,184.0,6,8,17,16,6,6,6,6,6,6,9,6,7,4,6,6,6,6,17,5,5,14,15,6,6,5
