TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
LAL,Los Angeles Lakers,"Castleton, Colin",On,16,9,7,0.563,59.08,37,99,0.374,5,36,0.139,24,30,0.8,13,30,43,21,21.0,11,4,9,23,16,103,-44.0,16,15,6,12,17,17,17,18,18,17,19,17,17,4,17,17,17,17,5,16,17,5,5,17,17,16
LAL,Los Angeles Lakers,"Christie, Max",On,67,38,29,0.567,944.3183333333334,814,1663,0.489,228,594,0.384,386,497,0.777,148,725,873,529,286.0,127,111,96,325,382,2242,-17.0,8,8,15,10,8,8,8,11,8,8,9,7,7,10,9,7,7,8,13,8,8,14,14,9,8,11
LAL,Los Angeles Lakers,"Davis, Anthony",On,76,45,31,0.592,2700.2433333333333,2478,4932,0.502,638,1716,0.372,1099,1369,0.803,461,1971,2432,1638,749.0,416,339,263,827,1124,6693,151.0,3,3,19,5,1,1,1,6,2,1,11,1,1,3,1,1,1,1,21,1,1,21,20,1,1,3
LAL,Los Angeles Lakers,"Dinwiddie, Spencer",On,28,19,9,0.679,678.485,623,1209,0.515,196,479,0.409,320,394,0.812,112,499,611,393,185.0,83,75,59,212,284,1762,94.0,13,11,7,2,11,11,11,2,10,11,2,10,10,1,12,11,11,11,11,12,10,10,11,11,11,5
LAL,Los Angeles Lakers,"Fudge, Alex",On,4,1,3,0.25,14.466666666666667,5,20,0.25,1,11,0.091,9,12,0.75,3,7,10,2,8.0,3,0,1,6,6,20,-20.0,21,20,2,20,21,21,21,21,20,20,20,20,20,16,19,20,20,21,1,21,20,1,1,20,20,12
LAL,Los Angeles Lakers,"Giles III, Harry",On,7,5,2,0.714,18.67,9,31,0.29,1,11,0.091,0,0,0.0,3,7,10,4,11.0,4,0,3,8,1,19,-33.0,19,18,1,1,20,20,20,20,20,20,20,21,21,21,19,20,20,20,3,19,20,4,2,21,21,13
LAL,Los Angeles Lakers,"Hachimura, Rui",On,68,40,28,0.588,1825.4933333333333,1685,3298,0.511,458,1172,0.391,687,889,0.773,288,1331,1619,1121,498.0,269,203,183,541,731,4515,123.0,7,7,14,6,6,6,6,4,6,6,5,6,6,12,6,6,6,6,16,6,6,16,16,6,6,4
LAL,Los Angeles Lakers,"Hayes, Jaxson",On,70,41,29,0.586,877.1333333333333,767,1549,0.495,236,588,0.401,288,391,0.737,153,626,779,496,291.0,126,70,85,319,315,2058,-107.0,6,5,15,7,9,9,9,10,7,9,4,11,11,19,8,10,10,9,14,9,11,13,13,10,9,20
LAL,Los Angeles Lakers,"Hodge, D'Moi",On,7,1,6,0.143,41.24333333333333,27,67,0.403,5,30,0.167,17,24,0.708,8,22,30,18,14.0,7,4,2,13,16,76,-35.0,19,20,5,21,18,18,18,16,18,18,18,18,18,20,18,18,18,18,4,18,17,3,4,17,18,14
LAL,Los Angeles Lakers,"Hood-Schifino, Jalen",On,21,10,11,0.476,108.98333333333333,72,180,0.4,18,69,0.261,47,63,0.746,21,81,102,46,42.0,11,11,12,44,44,209,-54.0,14,14,9,18,14,14,14,17,14,14,16,14,14,18,14,14,14,14,7,16,14,7,8,14,14,18
LAL,Los Angeles Lakers,"James, LeBron",On,71,41,30,0.577,2503.6833333333334,2331,4537,0.514,613,1596,0.384,950,1211,0.784,425,1808,2233,1531,716.0,386,292,230,771,1048,6225,218.0,5,5,17,8,3,4,4,3,4,4,8,3,3,7,3,3,3,4,19,2,4,18,18,3,4,1
LAL,Los Angeles Lakers,"Lewis, Maxwell",On,34,18,16,0.529,102.825,59,167,0.353,12,62,0.194,36,48,0.75,20,66,86,37,48.0,14,9,12,41,28,166,-73.0,11,12,11,15,15,16,15,19,16,15,17,15,15,16,15,15,15,16,8,15,15,7,7,15,16,19
LAL,Los Angeles Lakers,"Mays, Skylar",On,17,8,9,0.471,77.105,65,135,0.481,14,40,0.35,25,32,0.781,14,44,58,43,23.0,15,6,9,38,22,169,-9.0,15,16,7,19,16,15,16,14,15,16,12,16,16,9,16,16,16,15,6,14,16,5,6,16,15,10
LAL,Los Angeles Lakers,"Prince, Taurean",On,78,44,34,0.564,2107.6216666666664,1889,3877,0.487,532,1381,0.385,821,1058,0.776,378,1486,1864,1242,574.0,315,233,226,694,859,5131,-118.0,2,4,20,11,5,5,5,12,5,5,6,5,5,11,5,5,5,5,17,5,5,17,17,5,5,21
LAL,Los Angeles Lakers,"Reaves, Austin",On,82,47,35,0.573,2628.95,2357,4720,0.499,629,1673,0.376,1062,1358,0.782,431,1880,2311,1543,739.0,377,305,256,828,1118,6405,-41.0,1,1,21,9,2,2,2,7,3,3,10,2,2,8,2,2,2,2,20,4,2,20,21,2,2,15
LAL,Los Angeles Lakers,"Reddish, Cam",On,48,27,21,0.563,984.0616666666666,866,1790,0.484,220,632,0.348,377,489,0.771,183,687,870,553,308.0,186,112,102,336,396,2329,-50.0,10,10,12,12,7,7,7,13,9,7,13,8,8,13,7,8,8,7,15,7,7,15,15,7,7,17
LAL,Los Angeles Lakers,"Russell, D'Angelo",On,76,46,30,0.605,2484.1283333333336,2337,4622,0.506,652,1696,0.384,906,1144,0.792,414,1790,2204,1535,679.0,382,301,244,799,975,6232,184.0,3,2,17,4,4,3,3,5,1,2,7,4,4,5,4,4,4,3,18,3,3,19,19,4,3,2
LAL,Los Angeles Lakers,"Vanderbilt, Jarred",On,29,14,15,0.483,581.2366666666667,526,1058,0.497,151,373,0.405,221,289,0.765,116,402,518,347,184.0,122,62,69,194,236,1424,43.0,12,13,10,17,12,12,12,8,12,12,3,12,12,14,11,12,12,12,10,10,12,11,10,12,12,6
LAL,Los Angeles Lakers,"Vincent, Gabe",On,11,7,4,0.636,217.635,182,384,0.474,48,152,0.316,103,127,0.811,39,163,202,113,70.0,45,17,18,74,98,515,31.0,17,17,3,3,13,13,13,15,13,13,15,13,13,2,13,13,13,13,9,13,13,9,9,13,13,7
LAL,Los Angeles Lakers,"Windler, Dylan",On,8,4,4,0.5,27.69333333333333,26,45,0.578,7,16,0.438,11,14,0.786,3,18,21,17,9.0,4,1,1,11,7,70,-1.0,18,19,3,16,19,19,19,1,17,19,1,19,19,6,19,19,19,19,2,19,19,1,3,19,19,9
LAL,Los Angeles Lakers,"Wood, Christian",On,50,28,22,0.56,871.9433333333334,745,1502,0.496,181,533,0.34,361,476,0.758,147,652,799,471,275.0,122,110,70,311,389,2032,3.0,9,9,13,14,10,10,10,9,11,10,14,9,9,15,10,9,9,10,12,10,9,12,12,8,10,8
