TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MEM,Memphis Grizzlies,"Aldama, Santi",On,61,23,38,0.377,1618.0566666666666,1278,2946,0.434,455,1341,0.339,514,674,0.763,353,1035,1388,851,481.0,257,216,209,618,623,3525,-275.0,2,1,32,7,2,2,2,15,2,2,18,2,2,16,2,2,2,2,32,2,2,31,32,2,2,32
MEM,Memphis Grizzlies,"Allen, Timmy",On,5,0,5,0.0,125.45166666666667,90,251,0.359,23,79,0.291,34,42,0.81,44,81,125,46,38.0,21,12,23,53,46,237,-65.0,28,31,8,31,25,26,25,31,29,28,31,26,28,3,24,26,26,27,7,26,26,11,11,26,26,18
MEM,Memphis Grizzlies,"Bane, Desmond",On,42,14,28,0.333,1442.8483333333334,1206,2707,0.446,408,1188,0.343,467,607,0.769,324,977,1301,748,446.0,229,177,215,610,568,3287,-201.0,8,8,26,11,3,3,3,8,3,3,16,4,4,13,3,3,3,4,30,5,4,32,31,4,3,29
MEM,Memphis Grizzlies,"Biyombo, Bismack",On,30,14,16,0.467,718.0883333333334,621,1330,0.467,205,543,0.378,198,274,0.723,157,504,661,385,223.0,85,92,95,303,262,1645,-62.0,13,8,18,2,11,10,11,2,11,13,2,13,12,27,11,11,11,10,23,17,11,22,23,11,11,17
MEM,Memphis Grizzlies,"Clarke, Brandon",On,6,2,4,0.333,134.31833333333333,114,276,0.413,26,86,0.302,33,45,0.733,47,88,135,81,38.0,31,18,30,50,45,287,-8.0,27,23,3,11,24,24,24,25,26,25,27,27,26,24,23,25,25,21,7,22,22,13,10,27,24,6
MEM,Memphis Grizzlies,"Evbuomwan, Tosan",On,4,0,4,0.0,73.99166666666666,58,135,0.43,26,67,0.388,13,19,0.684,19,44,63,42,19.0,7,6,7,26,17,155,-28.0,31,31,3,31,31,30,31,18,26,29,1,32,32,30,31,31,31,28,3,32,32,2,2,32,30,12
MEM,Memphis Grizzlies,"Gabriel, Wenyen",On,5,1,4,0.2,81.01666666666667,50,139,0.36,16,54,0.296,30,42,0.714,20,60,80,35,35.0,16,7,11,31,28,146,-16.0,28,27,3,28,30,31,30,30,30,30,28,28,28,29,29,29,29,31,6,28,29,4,5,30,31,9
MEM,Memphis Grizzlies,"Gilyard, Jacob",On,37,10,27,0.27,653.7616666666667,500,1185,0.422,213,581,0.367,200,259,0.772,132,377,509,365,186.0,100,67,98,259,221,1413,-156.0,10,12,24,20,13,14,13,21,10,11,5,12,13,12,15,14,15,12,20,16,14,23,20,14,13,26
MEM,Memphis Grizzlies,"Goodwin, Jordan",On,17,7,10,0.412,497.24333333333334,403,950,0.424,111,324,0.343,144,197,0.731,154,316,470,241,155.0,108,61,71,188,171,1061,-71.0,19,14,14,3,17,17,17,19,17,17,17,18,17,25,13,17,16,17,17,14,16,18,17,18,17,19
MEM,Memphis Grizzlies,"Harrison, Shaquille",On,3,1,2,0.333,5.966666666666667,3,10,0.3,0,2,0.0,0,0,0.0,0,4,4,2,2.0,1,1,1,3,0,6,-11.0,33,27,1,11,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,1,1,33,33,7
