TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MIA,Miami Heat,"Adebayo, Bam",On,71,40,31,0.563,2416.4733333333334,1974,4271,0.462,583,1598,0.365,876,1083,0.809,443,1658,2101,1254,616.0,405,177,218,831,937,5407,50.0,2,2,20,9,1,1,1,12,1,1,10,1,1,16,1,1,1,1,21,1,1,20,21,1,1,7
MIA,Miami Heat,"Bryant, Thomas",On,38,22,16,0.579,441.365,376,794,0.474,128,313,0.409,141,164,0.86,88,304,392,247,125.0,65,39,45,152,144,1021,11.0,11,11,8,6,13,13,13,7,13,13,2,13,13,3,13,13,13,13,9,13,13,9,9,13,13,14
MIA,Miami Heat,"Butler, Jimmy",On,60,33,27,0.55,2042.0583333333334,1705,3583,0.476,539,1415,0.381,841,1007,0.835,389,1392,1781,1102,513.0,333,151,193,739,814,4790,215.0,6,6,16,14,3,3,3,5,2,3,7,2,3,5,3,3,3,3,19,2,3,18,19,3,3,1
MIA,Miami Heat,"Cain, Jamal",On,26,14,12,0.538,259.09166666666664,211,462,0.457,59,179,0.33,88,115,0.765,64,167,231,127,84.0,40,15,22,101,104,569,-27.0,15,15,7,16,16,16,16,18,16,16,18,16,16,20,15,16,16,16,7,16,16,7,7,16,16,19
MIA,Miami Heat,"Hampton, R.J.",On,8,3,5,0.375,76.02166666666666,67,138,0.486,21,60,0.35,32,45,0.711,14,62,76,40,19.0,4,6,9,26,30,187,21.0,20,21,4,21,20,19,20,2,20,20,15,19,19,21,20,19,20,20,2,20,19,3,2,19,19,11
MIA,Miami Heat,"Herro, Tyler",On,42,23,19,0.548,1407.105,1188,2545,0.467,385,993,0.388,477,590,0.808,282,979,1261,785,378.0,213,100,139,481,531,3238,31.0,10,10,12,15,6,6,6,9,6,6,6,7,7,18,6,6,6,6,15,7,7,16,16,6,6,10
MIA,Miami Heat,"Highsmith, Haywood",On,66,39,27,0.591,1365.835,1099,2390,0.46,338,963,0.351,514,617,0.833,264,932,1196,711,389.0,220,104,120,471,520,3050,7.0,4,3,16,4,7,7,7,14,7,7,14,6,6,6,7,7,7,7,16,6,6,15,15,7,7,15
MIA,Miami Heat,"Jaquez Jr., Jaime",On,75,44,31,0.587,2113.195,1766,3778,0.467,531,1465,0.362,823,1010,0.815,423,1474,1897,1157,544.0,318,155,219,781,865,4886,108.0,1,1,20,5,2,2,2,8,3,2,11,3,2,13,2,2,2,2,20,3,2,21,20,2,2,4
MIA,Miami Heat,"Jovic, Nikola",On,46,24,22,0.522,896.2366666666667,768,1599,0.48,265,663,0.4,308,380,0.811,149,640,789,519,214.0,148,67,81,297,324,2109,149.0,8,8,14,17,12,11,12,3,10,12,3,12,12,14,12,12,12,10,10,11,10,10,10,12,12,2
MIA,Miami Heat,"Love, Kevin",On,55,31,24,0.564,924.2633333333333,767,1672,0.459,255,715,0.357,405,490,0.827,202,641,843,518,227.0,126,47,107,345,394,2194,109.0,7,7,15,8,11,12,11,15,11,9,13,10,10,7,9,11,11,11,12,12,12,12,12,10,11,3
MIA,Miami Heat,"Lowry, Kyle",On,37,21,16,0.568,1037.0633333333333,841,1821,0.462,277,709,0.391,423,518,0.817,218,672,890,556,299.0,170,74,114,399,434,2382,13.0,12,12,8,7,9,9,9,13,8,10,5,9,9,11,8,10,9,9,13,8,8,14,13,9,9,12
MIA,Miami Heat,"Martin, Caleb",On,64,36,28,0.563,1756.5533333333333,1457,3147,0.463,437,1185,0.369,635,785,0.809,367,1189,1556,922,431.0,253,116,195,611,701,3986,66.0,5,5,18,10,5,5,5,11,5,5,9,5,5,15,4,5,5,5,17,5,5,19,17,5,5,5
MIA,Miami Heat,"Mills, Patty",On,13,6,7,0.462,213.39833333333334,188,395,0.476,55,161,0.342,59,72,0.819,41,145,186,117,47.0,47,11,20,68,83,490,45.0,18,19,5,19,17,17,17,4,17,17,17,17,17,10,17,17,17,17,5,15,18,6,5,17,17,8
