TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MIL,Milwaukee Bucks,"Antetokounmpo, Giannis",On,73,45,28,0.616,2567.2433333333333,2351,4714,0.499,764,2035,0.375,1066,1432,0.744,511,1881,2392,1474,668.0,364,277,225,1015,1113,6532,339.0,5,5,17,10,2,1,2,5,2,2,7,2,1,18,1,2,2,1,20,1,3,20,21,1,2,2
MIL,Milwaukee Bucks,"Antetokounmpo, Thanasis",On,34,21,13,0.618,155.43166666666667,125,257,0.486,46,125,0.368,32,41,0.78,23,102,125,83,64.0,31,14,14,68,37,328,-40.0,13,13,9,9,14,14,14,10,14,14,12,15,15,11,15,14,14,14,8,14,14,7,8,15,14,17
MIL,Milwaukee Bucks,"Beasley, Malik",On,79,46,33,0.582,2337.3716666666664,2148,4380,0.49,717,1899,0.378,881,1128,0.781,464,1768,2232,1311,595.0,315,267,207,860,919,5894,291.0,2,4,20,15,4,4,4,9,3,4,6,4,4,10,3,4,4,4,18,3,4,18,19,4,4,3
MIL,Milwaukee Bucks,"Beauchamp, MarJon",On,48,30,18,0.625,607.6883333333334,546,1103,0.495,169,438,0.386,227,292,0.777,109,414,523,320,183.0,103,58,71,283,230,1488,-12.0,11,10,11,5,11,10,10,6,11,12,4,10,10,13,12,10,11,11,12,9,11,13,11,10,10,11
MIL,Milwaukee Bucks,"Beverley, Patrick",On,26,16,10,0.615,543.465,444,930,0.477,149,402,0.371,172,221,0.778,99,370,469,285,145.0,81,59,42,208,200,1209,-46.0,14,14,8,11,13,13,13,16,13,13,11,13,13,12,13,13,13,13,9,12,10,9,9,13,13,18
MIL,Milwaukee Bucks,"Bolden, Marques",On,2,2,0,1.0,2.9633333333333334,5,6,0.833,3,4,0.75,0,0,0.0,0,4,4,4,0.0,0,0,0,1,0,13,8.0,21,20,1,1,21,20,21,1,19,21,1,20,20,20,20,21,21,20,1,21,21,1,1,21,20,7
MIL,Milwaukee Bucks,"Connaughton, Pat",On,76,45,31,0.592,1676.28,1459,3045,0.479,478,1309,0.365,684,889,0.769,320,1149,1469,909,444.0,247,155,145,659,703,4080,-14.0,4,5,18,14,6,6,6,15,6,6,16,6,6,14,6,6,6,6,16,6,7,16,16,6,6,13
MIL,Milwaukee Bucks,"Crowder, Jae",On,50,25,25,0.5,1155.6983333333333,980,2111,0.464,353,962,0.367,428,566,0.756,211,792,1003,624,292.0,175,105,84,437,459,2741,-69.0,10,12,15,19,8,8,8,17,8,8,14,8,8,17,8,8,8,8,14,8,8,14,14,8,8,20
MIL,Milwaukee Bucks,"Gallinari, Danilo",On,17,9,8,0.529,154.745,117,257,0.455,31,95,0.326,38,46,0.826,25,100,125,59,56.0,26,12,14,59,40,303,-48.0,16,17,6,18,15,15,14,18,15,15,19,14,14,3,14,15,14,15,7,15,15,7,7,14,15,19
MIL,Milwaukee Bucks,"Green, AJ",On,56,35,21,0.625,614.2816666666666,524,1089,0.481,197,505,0.39,202,255,0.792,114,413,527,329,169.0,99,49,50,258,205,1447,50.0,8,7,12,5,10,11,11,14,9,10,3,12,12,4,11,11,10,10,10,11,13,11,10,12,11,6
MIL,Milwaukee Bucks,"Jackson Jr., Andre",On,57,33,24,0.579,572.3283333333334,493,1019,0.484,168,451,0.373,216,274,0.788,118,373,491,308,174.0,77,55,45,286,211,1370,-89.0,7,8,13,16,12,12,12,13,12,11,9,11,11,6,10,12,12,12,11,13,12,10,12,11,12,21
MIL,Milwaukee Bucks,"Lillard, Damian",On,73,48,25,0.658,2578.4283333333333,2330,4746,0.491,798,2102,0.38,1090,1385,0.787,490,1927,2417,1408,680.0,348,281,227,978,1083,6548,389.0,5,2,15,3,1,2,1,8,1,1,5,1,2,7,2,1,1,2,21,2,2,21,20,2,1,1
MIL,Milwaukee Bucks,"Livingston, Chris",On,21,13,8,0.619,90.53333333333333,78,155,0.503,24,64,0.375,22,28,0.786,14,61,75,45,30.0,14,7,11,55,23,202,-27.0,15,15,6,8,16,16,16,3,16,16,8,16,16,9,16,16,16,16,6,17,16,6,6,16,16,16
MIL,Milwaukee Bucks,"Lopez, Brook",On,79,48,31,0.608,2411.1516666666666,2160,4453,0.485,714,1921,0.372,980,1247,0.786,462,1858,2320,1320,636.0,293,287,218,858,995,6014,278.0,2,2,18,12,3,3,3,11,4,3,10,3,3,8,4,3,3,3,19,5,1,19,18,3,3,4
MIL,Milwaukee Bucks,"Lopez, Robin",On,16,10,6,0.625,64.73,53,117,0.453,21,59,0.356,10,15,0.667,13,40,53,29,24.0,10,4,6,29,14,137,-23.0,17,16,4,5,17,17,17,19,17,17,18,18,18,19,17,18,17,17,5,18,17,5,5,18,17,15
MIL,Milwaukee Bucks,"Middleton, Khris",On,55,31,24,0.564,1487.27,1391,2784,0.5,410,1116,0.367,550,726,0.758,316,1100,1416,868,400.0,186,171,136,600,587,3742,125.0,9,9,13,17,7,7,7,4,7,7,13,7,7,16,7,7,7,7,15,7,6,15,15,7,7,5
MIL,Milwaukee Bucks,"Payne, Cameron",On,47,30,17,0.638,701.705,632,1280,0.494,192,528,0.364,261,341,0.765,144,476,620,383,192.0,103,68,60,346,280,1717,-14.0,12,10,10,4,9,9,9,7,10,9,17,9,9,15,9,9,9,9,13,9,9,12,13,9,9,13
MIL,Milwaukee Bucks,"Portis, Bobby",On,82,49,33,0.598,2008.1666666666667,1800,3718,0.484,567,1547,0.367,706,893,0.791,419,1369,1788,1087,515.0,294,190,176,838,755,4873,-5.0,1,1,20,13,5,5,5,12,5,5,15,5,5,5,5,5,5,5,17,4,5,17,17,5,5,9
MIL,Milwaukee Bucks,"Rollins, Ryan",On,3,0,3,0.0,11.966666666666667,13,22,0.591,2,5,0.4,0,0,0.0,2,7,9,9,3.0,7,1,1,2,4,28,5.0,19,21,3,21,19,19,19,2,20,19,2,20,20,20,19,19,19,19,3,19,19,3,2,19,19,8
MIL,Milwaukee Bucks,"Washington Jr., TyTy",On,11,5,6,0.455,55.92166666666667,37,93,0.398,11,38,0.289,18,19,0.947,6,41,47,24,23.0,16,4,3,28,21,103,-13.0,18,18,4,20,18,18,18,20,18,18,20,17,17,2,18,17,18,18,4,16,17,4,4,17,18,12
MIL,Milwaukee Bucks,"Wigginton, Lindell",On,3,3,0,1.0,7.63,4,11,0.364,1,5,0.2,2,2,1.0,0,5,5,1,2.0,1,1,0,2,1,11,-10.0,19,19,1,1,20,21,20,21,21,19,21,19,19,1,20,20,20,21,2,20,19,1,2,20,21,10
