TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MIN,Minnesota Timberwolves,"Alexander-Walker, Nickeil",On,82,56,26,0.683,1920.9183333333333,1639,3359,0.488,545,1362,0.4,706,904,0.781,347,1362,1709,1082,554.0,321,252,162,783,756,4529,312.0,1,1,19,14,7,7,7,7,4,6,3,8,8,9,8,7,7,6,13,6,5,12,14,8,7,4
MIN,Minnesota Timberwolves,"Anderson, Kyle",On,79,55,24,0.696,1781.8816666666667,1455,3111,0.468,431,1156,0.373,734,931,0.788,351,1245,1596,946,515.0,311,240,167,713,769,4075,167.0,3,3,15,11,8,8,8,15,8,8,11,6,6,4,7,8,8,8,12,7,7,13,12,6,8,7
MIN,Minnesota Timberwolves,"Brown Jr., Troy",On,37,28,9,0.757,409.79,338,714,0.473,110,300,0.367,177,222,0.797,83,303,386,221,132.0,51,50,46,182,174,963,1.0,11,10,8,3,11,12,12,14,11,10,12,10,11,1,11,11,11,12,9,12,12,9,9,11,11,16
MIN,Minnesota Timberwolves,"Conley, Mike",On,76,53,23,0.697,2193.4583333333335,1843,3803,0.485,576,1470,0.392,807,1032,0.782,433,1530,1963,1215,678.0,336,268,203,826,957,5069,274.0,5,5,13,9,3,3,3,9,3,3,5,3,3,8,3,3,3,3,17,4,4,17,17,3,3,5
MIN,Minnesota Timberwolves,"Edwards, Anthony",On,79,54,25,0.684,2770.383333333333,2401,4890,0.491,729,1872,0.389,1038,1327,0.782,539,1978,2517,1502,813.0,451,364,249,1065,1111,6569,432.0,3,4,17,13,1,1,1,5,1,1,6,1,1,7,1,1,1,1,19,1,1,19,19,1,1,1
MIN,Minnesota Timberwolves,"Garza, Luka",On,25,17,8,0.68,121.84,116,253,0.458,30,100,0.3,39,52,0.75,40,88,128,70,35.0,22,6,10,56,44,301,7.0,14,15,6,15,14,14,14,18,14,14,16,14,14,14,13,14,13,14,7,14,16,4,7,14,14,15
MIN,Minnesota Timberwolves,"Gobert, Rudy",On,76,53,23,0.697,2593.1133333333332,2202,4468,0.493,672,1686,0.399,940,1231,0.764,527,1892,2419,1423,795.0,395,324,242,958,1106,6016,411.0,5,5,13,9,2,2,2,4,2,2,4,2,2,13,2,2,2,2,18,2,2,18,18,2,2,2
MIN,Minnesota Timberwolves,"Jackson, Justin",On,2,2,0,1.0,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0.0,0,0,0,0,0,0,0.0,19,19,1,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,19,19,1,1,19,19,17
MIN,Minnesota Timberwolves,"McDaniels, Jaden",On,72,48,24,0.667,2105.4533333333334,1804,3679,0.49,530,1378,0.385,735,958,0.767,409,1466,1875,1131,603.0,328,243,195,821,863,4873,156.0,7,7,15,17,4,4,4,6,6,4,8,5,5,12,4,4,4,5,15,5,6,16,16,4,4,8
MIN,Minnesota Timberwolves,"McLaughlin, Jordan",On,56,35,21,0.625,626.12,551,1136,0.485,190,474,0.401,165,229,0.721,105,434,539,397,160.0,130,68,53,224,239,1457,155.0,9,9,12,19,9,9,9,8,9,9,1,11,10,18,9,9,9,9,11,9,9,10,11,9,9,9
MIN,Minnesota Timberwolves,"Miller, Leonard",On,17,13,4,0.765,52.4,53,105,0.505,12,37,0.324,11,14,0.786,12,33,45,37,20.0,16,6,8,25,10,129,8.0,16,16,2,2,17,17,17,2,18,18,15,18,18,5,17,17,17,17,3,17,16,3,3,18,18,14
MIN,Minnesota Timberwolves,"Milton, Shake",On,38,27,11,0.711,490.70666666666665,407,882,0.461,100,299,0.334,207,264,0.784,96,354,450,243,145.0,79,64,66,197,220,1121,-28.0,10,11,10,7,10,10,10,17,12,11,14,9,9,6,10,10,10,10,10,10,10,11,10,10,10,19
MIN,Minnesota Timberwolves,"Minott, Josh",On,32,23,9,0.719,91.42833333333333,84,176,0.477,19,70,0.271,43,54,0.796,22,61,83,57,31.0,21,10,11,46,37,230,20.0,12,12,8,6,15,15,15,11,15,15,18,13,13,2,15,15,15,15,6,15,14,6,5,15,15,13
MIN,Minnesota Timberwolves,"Moore Jr., Wendell",On,25,18,7,0.72,75.13166666666666,73,151,0.483,16,57,0.281,21,29,0.724,19,52,71,47,29.0,19,7,10,39,22,183,-6.0,14,14,5,5,16,16,16,10,16,16,17,17,17,17,16,16,16,16,4,16,15,4,4,16,16,18
MIN,Minnesota Timberwolves,"Morris, Monte",On,27,19,8,0.704,407.825,353,741,0.476,115,297,0.387,142,191,0.743,81,291,372,231,92.0,75,64,30,140,154,963,88.0,13,13,6,8,12,11,11,12,10,12,7,12,12,15,12,12,12,11,8,11,10,8,8,12,11,10
MIN,Minnesota Timberwolves,"Nix, Daishen",On,15,11,4,0.733,49.78333333333333,52,100,0.52,15,41,0.366,23,31,0.742,10,30,40,32,10.0,15,4,6,24,20,142,28.0,17,17,2,4,18,18,18,1,17,17,13,16,16,16,18,18,18,18,2,18,18,2,2,17,17,12
MIN,Minnesota Timberwolves,"Reid, Naz",On,81,56,25,0.691,1963.8283333333334,1658,3500,0.474,523,1371,0.381,709,917,0.773,373,1387,1760,1073,560.0,347,277,194,775,767,4548,248.0,2,1,17,12,6,6,6,13,7,5,9,7,7,11,5,6,6,7,14,3,3,15,13,7,6,6
MIN,Minnesota Timberwolves,"Towns, Karl-Anthony",On,62,42,20,0.677,2025.565,1766,3545,0.498,533,1332,0.4,773,974,0.794,371,1431,1802,1140,609.0,293,225,192,800,855,4838,321.0,8,8,11,16,5,5,5,3,5,7,2,4,4,3,6,5,5,4,16,8,8,14,15,5,5,3
MIN,Minnesota Timberwolves,"Warren, T.J.",On,11,7,4,0.636,124.67333333333333,120,257,0.467,39,103,0.379,35,45,0.778,32,96,128,73,29.0,25,13,11,46,46,314,51.0,18,18,2,18,13,13,13,16,13,13,10,15,15,10,14,13,13,13,4,13,13,6,5,13,13,11
