TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
NOP,New Orleans Pelicans,"Alvarado, Jose",On,56,38,18,0.679,1028.37,901,1864,0.483,297,757,0.392,407,527,0.772,233,702,935,583,271.0,211,93,106,409,407,2506,240.0,11,6,10,3,11,11,11,9,11,11,5,11,11,11,11,11,11,11,10,10,11,10,10,11,11,2
NOP,New Orleans Pelicans,"Brockington, Izaiah",On,1,1,0,1.0,3.3833333333333333,5,13,0.385,1,4,0.25,1,1,1.0,4,3,7,2,0.0,0,1,1,1,1,12,3.0,18,18,1,1,19,18,19,19,20,19,19,19,19,1,18,19,18,18,1,19,18,2,1,19,19,15
NOP,New Orleans Pelicans,"Crutcher, Jalen",On,1,1,0,1.0,2.65,2,4,0.5,2,2,1.0,0,0,0.0,0,3,3,2,1.0,0,0,1,1,0,6,1.0,18,18,1,1,20,20,20,2,18,20,1,20,20,20,20,19,20,18,2,19,19,2,1,20,20,16
NOP,New Orleans Pelicans,"Daniels, Dyson",On,61,34,27,0.557,1358.525,1185,2455,0.483,355,928,0.383,518,667,0.777,316,916,1232,746,354.0,249,124,124,523,529,3243,71.0,8,10,15,15,7,7,7,10,7,7,9,7,7,8,7,7,7,7,14,7,7,11,14,7,7,9
NOP,New Orleans Pelicans,"Gates, Kaiser",On,1,0,1,0.0,7.433333333333334,4,14,0.286,2,6,0.333,3,5,0.6,2,5,7,1,2.0,3,0,3,1,2,13,-2.0,18,20,3,20,18,19,18,20,18,18,17,18,18,19,19,18,18,20,3,18,19,4,1,18,18,17
NOP,New Orleans Pelicans,"Hawkins, Jordan",On,67,38,29,0.567,1160.58,1008,2163,0.466,322,861,0.374,440,577,0.763,278,769,1047,652,317.0,189,96,135,453,449,2778,12.0,4,6,18,13,10,10,9,13,10,9,14,10,10,14,9,10,10,10,11,11,10,12,12,10,10,14
NOP,New Orleans Pelicans,"Ingram, Brandon",On,64,38,26,0.594,2102.68,1902,3807,0.5,507,1338,0.379,735,956,0.769,444,1484,1928,1215,588.0,336,213,221,817,776,5046,175.0,7,6,14,12,4,4,4,3,4,4,10,3,3,13,3,4,4,4,18,4,4,17,18,4,4,6
NOP,New Orleans Pelicans,"Jones, Herbert",On,76,46,30,0.605,2321.4283333333333,2073,4177,0.496,573,1482,0.387,831,1074,0.774,464,1635,2099,1320,601.0,399,245,239,906,873,5550,231.0,2,2,19,7,1,1,1,5,1,1,7,1,1,10,2,1,1,1,19,1,1,18,20,1,1,3
NOP,New Orleans Pelicans,"Lewis Jr., Kira",On,15,9,6,0.6,143.56,104,257,0.405,25,97,0.258,71,92,0.772,35,108,143,64,38.0,21,10,16,60,72,304,-19.0,15,15,6,9,15,15,15,18,15,15,18,15,15,12,15,15,15,15,6,15,15,6,6,15,15,19
NOP,New Orleans Pelicans,"Liddell, E.J.",On,8,3,5,0.375,23.083333333333332,16,37,0.432,3,18,0.167,17,21,0.81,5,14,19,6,8.0,6,3,0,4,13,52,-4.0,16,16,5,19,17,17,17,17,17,17,20,17,17,3,17,17,17,17,4,16,17,1,4,17,17,18
NOP,New Orleans Pelicans,"Marshall, Naji",On,66,41,25,0.621,1257.1233333333332,1094,2261,0.484,330,844,0.391,514,658,0.781,279,884,1163,695,330.0,232,106,149,491,501,3032,205.0,5,5,13,5,8,8,8,8,8,10,6,8,8,4,8,8,8,8,12,8,8,14,13,8,8,4
NOP,New Orleans Pelicans,"McCollum, CJ",On,66,42,24,0.636,2158.536666666667,1942,3949,0.492,568,1472,0.386,733,942,0.778,434,1507,1941,1230,564.0,359,214,239,794,786,5185,195.0,5,3,12,4,3,3,3,6,2,2,8,4,4,6,4,3,3,3,17,3,3,18,17,3,3,5
NOP,New Orleans Pelicans,"Murphy III, Trey",On,57,35,22,0.614,1690.265,1470,3059,0.481,487,1235,0.394,617,793,0.778,344,1205,1549,925,439.0,313,163,184,607,630,4044,265.0,10,9,11,6,6,6,6,11,5,5,4,6,6,7,6,6,6,6,15,5,6,15,15,6,6,1
NOP,New Orleans Pelicans,"Nance Jr., Larry",On,61,34,27,0.557,1216.1383333333333,1016,2142,0.474,327,868,0.377,462,595,0.776,248,817,1065,668,344.0,230,102,136,445,458,2821,71.0,8,10,15,15,9,9,10,12,9,8,11,9,9,9,10,9,9,9,13,9,9,13,11,9,9,9
NOP,New Orleans Pelicans,"Robinson-Earl, Jeremiah",On,39,22,17,0.564,334.31333333333333,275,596,0.461,75,218,0.344,128,171,0.749,93,234,327,168,117.0,45,25,26,136,127,753,-22.0,13,13,8,14,13,14,14,16,14,14,16,14,14,17,13,13,13,14,8,14,13,7,7,14,14,20
