TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
NYK,New York Knicks,"Achiuwa, Precious",On,49,32,17,0.653,1186.8683333333333,964,2149,0.449,305,871,0.35,384,488,0.787,334,780,1114,575,334.0,180,126,137,410,442,2617,6.0,6,6,20,9,7,7,7,12,7,7,15,7,7,11,7,7,7,7,20,7,6,20,20,7,7,11
NYK,New York Knicks,"Anunoby, OG",On,23,20,3,0.87,801.81,724,1460,0.496,231,597,0.387,302,368,0.821,198,608,806,431,225.0,136,87,75,295,315,1981,353.0,14,10,7,2,9,9,9,1,10,9,3,9,11,6,10,9,9,8,18,8,8,14,16,11,9,3
NYK,New York Knicks,"Arcidiacono, Ryan",On,20,15,5,0.75,45.155,30,75,0.4,11,40,0.275,7,10,0.7,8,37,45,18,17.0,10,3,4,14,9,78,2.0,16,14,8,5,19,19,20,21,18,18,22,22,22,23,20,19,18,20,9,18,20,5,6,22,19,13
NYK,New York Knicks,"Barrett, RJ",On,26,15,11,0.577,766.5083333333333,677,1436,0.471,199,527,0.378,286,364,0.786,186,508,694,385,213.0,125,57,87,319,315,1839,-17.0,13,14,13,20,11,10,11,8,11,11,6,11,12,12,11,10,11,10,17,10,10,17,18,11,10,23
NYK,New York Knicks,"Bogdanovic, Bojan",On,29,17,12,0.586,557.07,430,984,0.437,149,427,0.349,169,218,0.775,133,350,483,263,169.0,68,45,59,204,200,1178,-95.0,12,12,14,19,14,14,14,17,14,14,16,13,13,18,14,14,14,14,13,14,14,13,14,13,14,26
NYK,New York Knicks,"Brown Jr., Charlie",On,8,2,6,0.25,37.28333333333333,29,67,0.433,10,30,0.333,8,11,0.727,10,26,36,15,12.0,1,5,1,15,11,76,-6.0,21,22,9,24,22,21,21,18,19,20,17,20,21,22,18,20,20,21,7,23,18,3,8,21,21,17
NYK,New York Knicks,"Brunson, Jalen",On,77,49,28,0.636,2726.3033333333333,2437,5101,0.478,758,2002,0.379,1041,1332,0.782,740,1835,2575,1407,714.0,434,224,276,993,1166,6673,512.0,3,2,23,12,1,1,1,5,1,2,5,1,1,15,2,1,2,1,25,1,2,25,26,1,1,1
NYK,New York Knicks,"Burks, Alec",On,23,11,12,0.478,310.9683333333333,225,539,0.417,74,224,0.33,103,128,0.805,85,190,275,129,101.0,38,25,35,114,114,627,-70.0,14,17,14,22,15,15,15,19,15,15,20,15,15,7,15,15,15,15,12,15,15,12,12,15,15,25
NYK,New York Knicks,"DiVincenzo, Donte",On,81,50,31,0.617,2360.3933333333334,2068,4372,0.473,664,1806,0.368,824,1040,0.792,624,1554,2178,1261,651.0,383,208,231,856,925,5624,162.0,1,1,25,16,3,3,3,7,3,3,10,3,3,9,3,3,3,3,24,3,3,24,24,3,3,6
NYK,New York Knicks,"Diakite, Mamadi",On,3,3,0,1.0,8.485,4,12,0.333,1,4,0.25,4,5,0.8,3,9,12,4,6.0,1,1,1,5,3,13,-2.0,23,21,1,1,24,25,25,25,25,25,25,24,24,8,24,25,24,24,3,23,23,3,3,24,24,15
NYK,New York Knicks,"Flynn, Malachi",On,14,12,2,0.857,60.52,46,99,0.465,10,37,0.27,17,20,0.85,12,48,60,24,24.0,8,6,11,17,18,119,-4.0,19,16,5,3,17,17,17,9,19,19,24,17,17,4,17,17,17,17,10,19,17,10,9,17,17,16
NYK,New York Knicks,"Fournier, Evan",On,3,2,1,0.667,38.63333333333333,30,77,0.39,2,24,0.083,16,19,0.842,10,23,33,13,7.0,11,1,7,22,15,78,-11.0,23,22,2,6,20,19,19,22,24,22,26,18,18,5,18,21,21,23,4,17,23,9,10,18,19,20
NYK,New York Knicks,"Gibson, Taj",On,16,7,9,0.438,165.38,136,304,0.447,40,120,0.333,47,53,0.887,23,124,147,62,39.0,22,11,17,71,58,359,-24.0,18,19,12,23,16,16,16,13,16,16,17,16,16,2,16,16,16,16,11,16,16,11,11,16,16,24
NYK,New York Knicks,"Grimes, Quentin",On,45,29,16,0.644,909.5733333333334,739,1685,0.439,250,678,0.369,296,395,0.749,231,632,863,425,240.0,128,73,121,351,355,2024,5.0,8,8,19,11,8,8,8,16,8,8,9,10,9,19,9,8,8,9,19,9,9,19,19,8,8,12
NYK,New York Knicks,"Hart, Josh",On,81,49,32,0.605,2706.7716666666665,2315,4999,0.463,739,2024,0.365,954,1227,0.778,757,1822,2579,1371,733.0,420,236,303,962,1069,6323,346.0,1,2,26,18,2,2,2,10,2,1,13,2,2,16,1,2,1,2,26,2,1,26,25,2,2,4
NYK,New York Knicks,"Hartenstein, Isaiah",On,75,47,28,0.627,1896.3483333333334,1719,3524,0.488,520,1385,0.375,703,891,0.789,483,1317,1800,1052,517.0,312,173,199,711,751,4661,406.0,4,4,23,14,4,4,4,3,4,4,7,4,4,10,4,4,4,4,23,4,4,23,23,4,4,2
NYK,New York Knicks,"Jeffries, DaQuan",On,17,11,6,0.647,45.975,33,86,0.384,12,44,0.273,7,15,0.467,7,38,45,24,8.0,8,4,6,14,12,85,-10.0,17,17,9,10,18,18,18,23,17,17,23,22,19,24,21,18,18,17,6,19,19,8,6,20,18,18
NYK,New York Knicks,"McBride, Miles",On,68,42,26,0.618,1327.74,1075,2417,0.445,374,1051,0.356,386,517,0.747,344,858,1202,669,362.0,208,110,155,478,463,2910,-16.0,5,5,22,15,6,6,6,14,6,6,14,6,6,20,6,6,6,6,21,6,7,21,21,6,6,21
NYK,New York Knicks,"Milton, Shake",On,6,5,1,0.833,27.336666666666666,25,51,0.49,6,18,0.333,8,9,0.889,7,22,29,19,7.0,3,3,5,12,9,64,9.0,22,20,2,4,23,23,23,2,22,23,17,20,23,1,21,22,22,19,4,22,20,7,4,22,23,9
NYK,New York Knicks,"Quickley, Immanuel",On,30,16,14,0.533,720.17,627,1320,0.475,181,494,0.366,307,396,0.775,179,504,683,350,191.0,105,49,81,299,323,1742,121.0,11,13,17,21,12,12,12,6,12,12,12,8,8,17,12,11,12,12,15,12,12,16,17,10,12,7
NYK,New York Knicks,"Randle, Julius",On,46,29,17,0.63,1630.095,1449,3031,0.478,468,1212,0.386,662,845,0.783,425,1133,1558,834,472.0,252,134,175,608,709,4028,218.0,7,8,20,13,5,5,5,4,5,5,4,5,5,14,5,5,5,5,22,5,5,22,22,5,5,5
NYK,New York Knicks,"Robinson, Mitchell",On,31,19,12,0.613,768.11,648,1440,0.45,232,577,0.402,285,386,0.738,236,487,723,365,201.0,125,51,90,254,334,1813,13.0,10,11,14,17,10,11,10,11,9,10,2,12,10,21,8,12,10,11,16,10,11,18,15,9,11,8
NYK,New York Knicks,"Sims, Jericho",On,45,30,15,0.667,584.7833333333333,463,1050,0.441,165,449,0.367,152,194,0.784,154,388,542,274,169.0,76,46,75,194,194,1243,-10.0,8,7,18,6,13,13,13,15,13,13,11,14,14,13,13,13,13,13,13,13,13,14,13,14,13,18
NYK,New York Knicks,"Skapintsev, Dmytro",On,2,0,2,0.0,2.1333333333333333,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,1,0.0,0,0,0,1,0,3,0.0,26,26,5,26,26,26,26,26,25,26,1,25,25,25,26,26,26,26,1,26,25,1,1,26,26,14
NYK,New York Knicks,"Toppin, Jacob",On,9,2,7,0.222,38.151666666666664,26,64,0.406,10,27,0.37,12,14,0.857,5,20,25,15,12.0,5,2,4,13,14,74,-16.0,20,22,11,25,21,22,22,20,19,21,8,19,20,3,23,23,23,21,7,21,22,5,5,19,22,21
NYK,New York Knicks,"Windler, Dylan",On,3,2,1,0.667,7.433333333333334,5,14,0.357,3,10,0.3,0,0,0.0,1,11,12,4,1.0,1,0,0,3,1,13,8.0,23,22,2,6,25,24,24,24,23,24,21,25,25,25,25,24,24,24,2,23,25,1,2,25,24,10
