TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
OKC,Oklahoma City Thunder,"Bertans, Davis",On,15,11,4,0.733,91.10833333333333,87,181,0.481,32,80,0.4,42,47,0.894,17,63,80,49,21.0,12,8,11,43,44,248,24.0,16,15,5,6,18,16,16,11,16,16,7,15,15,3,17,18,18,17,2,18,18,8,8,15,16,12
OKC,Oklahoma City Thunder,"Biyombo, Bismack",On,10,6,4,0.6,73.37333333333333,62,136,0.456,25,59,0.424,16,20,0.8,12,58,70,39,24.0,15,11,9,25,16,165,-3.0,19,21,5,20,19,19,19,19,19,19,1,20,20,17,20,19,19,19,4,16,17,7,4,21,19,18
OKC,Oklahoma City Thunder,"Dieng, Ousmane",On,33,21,12,0.636,364.9533333333333,306,663,0.462,109,306,0.356,116,139,0.835,70,253,323,201,109.0,52,43,37,117,135,837,1.0,12,13,11,19,12,13,12,16,12,12,19,12,12,6,12,12,12,13,11,13,12,10,10,13,13,13
OKC,Oklahoma City Thunder,"Dort, Luguentz",On,79,54,25,0.684,2245.971666666667,2127,4166,0.511,609,1550,0.393,845,1022,0.827,399,1537,1936,1266,560.0,373,310,231,899,906,5708,347.0,4,6,20,17,3,4,4,2,2,3,10,3,3,10,3,4,3,4,20,4,4,19,20,3,3,6
OKC,Oklahoma City Thunder,"Flagler, Adam",On,2,2,0,1.0,14.016666666666667,12,26,0.462,7,17,0.412,3,3,1.0,2,13,15,8,4.0,1,2,0,3,2,34,0.0,22,22,1,1,22,22,22,16,22,22,3,22,22,1,22,22,22,22,1,22,22,1,1,22,22,15
OKC,Oklahoma City Thunder,"Giddey, Josh",On,80,56,24,0.7,2011.5583333333334,1933,3798,0.509,560,1386,0.404,717,866,0.828,373,1388,1761,1233,527.0,330,295,227,763,775,5143,376.0,3,3,18,11,5,5,5,4,5,5,4,5,5,9,5,5,5,5,18,6,5,18,18,5,5,4
OKC,Oklahoma City Thunder,"Gilgeous-Alexander, Shai",On,75,55,20,0.733,2552.6866666666665,2416,4816,0.502,718,1843,0.39,1041,1231,0.846,463,1777,2240,1411,596.0,458,353,265,1036,1037,6591,613.0,7,4,13,6,1,1,1,7,1,1,12,1,1,5,1,1,1,1,21,1,2,21,22,1,1,1
OKC,Oklahoma City Thunder,"Hayward, Gordon",On,26,18,8,0.692,447.3666666666667,395,834,0.474,122,317,0.385,150,191,0.785,89,320,409,229,120.0,73,55,48,171,164,1062,-1.0,14,14,10,15,11,11,11,14,11,11,15,11,11,19,11,11,11,11,12,11,11,11,12,11,11,16
OKC,Oklahoma City Thunder,"Holmgren, Chet",On,82,57,25,0.695,2412.7966666666666,2286,4497,0.508,609,1597,0.381,904,1091,0.829,431,1690,2121,1383,609.0,399,373,270,922,967,6085,423.0,1,1,20,13,2,2,2,5,2,2,16,2,2,8,2,2,2,2,22,2,1,22,21,2,2,2
OKC,Oklahoma City Thunder,"Joe, Isaiah",On,78,54,24,0.692,1444.8666666666666,1291,2681,0.482,408,1118,0.365,676,793,0.852,279,965,1244,740,387.0,266,171,141,607,659,3666,352.0,5,6,18,15,7,7,7,10,7,7,18,6,6,4,7,7,7,7,16,7,8,16,16,6,7,5
OKC,Oklahoma City Thunder,"Johnson, Keyontae",On,9,7,2,0.778,66.2,52,114,0.456,15,44,0.341,20,22,0.909,14,51,65,31,29.0,10,6,6,18,18,139,-7.0,21,20,2,4,20,20,20,18,21,21,22,18,19,2,19,20,20,21,6,19,20,4,2,19,20,20
OKC,Oklahoma City Thunder,"Mann, Tre",On,13,11,2,0.846,119.43833333333333,99,209,0.474,37,105,0.352,22,27,0.815,16,82,98,69,39.0,20,12,8,39,26,257,-5.0,18,15,2,2,15,15,15,13,15,15,21,17,17,14,18,15,16,15,7,15,16,5,7,17,15,19
OKC,Oklahoma City Thunder,"Micic, Vasilije",On,30,23,7,0.767,360.985,332,632,0.525,103,258,0.399,96,131,0.733,60,233,293,226,107.0,73,43,48,134,137,863,110.0,13,12,7,5,13,12,13,1,13,13,8,13,13,21,13,13,13,12,10,11,12,11,11,12,12,10
OKC,Oklahoma City Thunder,"Muscala, Mike",On,16,9,7,0.563,91.40666666666667,77,175,0.44,26,73,0.356,19,23,0.826,19,69,88,52,28.0,13,7,8,31,21,199,-2.0,15,17,7,21,17,18,17,21,18,18,20,19,18,11,16,17,17,16,5,17,19,5,5,18,18,17
OKC,Oklahoma City Thunder,"Pokusevski, Aleksej",On,10,8,2,0.8,60.45,46,111,0.414,23,59,0.39,11,16,0.688,10,37,47,33,21.0,5,6,4,21,17,126,-34.0,19,18,2,3,21,21,21,22,20,19,11,21,21,22,21,21,21,20,2,21,20,2,3,20,21,21
OKC,Oklahoma City Thunder,"Sarr, Olivier",On,15,8,7,0.533,98.20166666666667,79,168,0.47,32,77,0.416,31,38,0.816,23,76,99,44,39.0,9,13,4,32,30,221,1.0,16,18,7,22,16,17,18,15,16,17,2,16,16,13,15,16,15,18,7,20,15,2,6,16,17,13
OKC,Oklahoma City Thunder,"Wallace, Cason",On,82,57,25,0.695,1691.9216666666666,1518,3064,0.495,463,1194,0.388,572,706,0.81,302,1119,1421,913,471.0,340,227,179,679,625,4071,127.0,1,1,20,13,6,6,6,8,6,6,13,7,7,16,6,6,6,6,17,5,6,17,17,7,6,8
OKC,Oklahoma City Thunder,"Waters III, Lindy",On,38,25,13,0.658,280.2083333333333,231,511,0.452,90,239,0.377,67,86,0.779,51,193,244,158,88.0,44,29,22,106,81,619,-35.0,11,11,12,18,14,14,14,20,14,14,17,14,14,20,14,14,14,14,9,14,14,9,9,14,14,22
OKC,Oklahoma City Thunder,"Wiggins, Aaron",On,78,55,23,0.705,1227.9383333333333,1107,2202,0.503,329,815,0.404,413,520,0.794,225,831,1056,707,332.0,229,174,134,446,465,2956,94.0,5,4,17,10,8,8,8,6,8,8,5,8,8,18,8,8,8,8,15,8,7,15,15,8,8,11
OKC,Oklahoma City Thunder,"Williams, Jalen",On,71,51,20,0.718,2223.5983333333334,2130,4172,0.511,566,1470,0.385,769,941,0.817,380,1551,1931,1282,554.0,391,326,238,870,854,5595,383.0,8,8,13,8,4,3,3,3,4,4,14,4,4,12,4,3,4,3,19,3,3,20,19,4,4,3
OKC,Oklahoma City Thunder,"Williams, Jaylin",On,69,48,21,0.696,896.9466666666667,776,1621,0.479,277,698,0.397,339,407,0.833,165,610,775,494,246.0,161,92,89,360,354,2168,124.0,9,10,16,12,10,10,10,12,10,10,9,10,10,7,10,10,10,10,13,10,10,13,13,10,10,9
OKC,Oklahoma City Thunder,"Williams, Kenrich",On,69,49,20,0.71,1029.0066666666667,903,1843,0.49,290,720,0.403,386,475,0.813,210,709,919,547,284.0,196,134,116,403,407,2482,152.0,9,9,13,9,9,9,9,9,9,9,6,9,9,15,9,9,9,9,14,9,9,14,14,9,9,7
