TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
ORL,Orlando Magic,"Anthony, Cole",On,81,47,34,0.58,1817.3116666666667,1513,3180,0.476,393,1144,0.344,742,954,0.778,407,1156,1563,911,539.0,299,205,176,787,800,4161,110.0,1,1,16,7,4,4,4,11,4,4,12,4,4,5,4,4,4,4,15,4,4,15,15,4,4,4
ORL,Orlando Magic,"Banchero, Paolo",On,80,46,34,0.575,2798.701666666667,2339,4965,0.471,634,1807,0.351,1095,1458,0.751,608,1835,2443,1408,832.0,481,297,272,1123,1226,6407,1.0,2,2,16,8,1,1,1,13,1,1,10,1,1,10,1,1,1,1,18,1,1,18,18,1,1,12
ORL,Orlando Magic,"Bitadze, Goga",On,62,34,28,0.548,957.0866666666667,802,1730,0.464,211,625,0.338,367,491,0.747,238,653,891,453,298.0,152,134,98,399,415,2182,26.0,8,10,11,12,10,10,10,14,11,11,14,10,10,11,9,10,10,12,9,12,8,8,9,10,10,9
ORL,Orlando Magic,"Black, Anthony",On,69,39,30,0.565,1164.21,957,2027,0.472,257,712,0.361,445,598,0.744,245,777,1022,586,407.0,194,153,120,476,489,2616,-33.0,6,7,14,11,9,9,9,12,9,8,7,9,8,12,8,8,8,9,12,9,5,11,10,9,9,17
ORL,Orlando Magic,"Carter Jr., Wendell",On,55,30,25,0.545,1406.3033333333333,1173,2444,0.48,336,926,0.363,490,650,0.754,283,926,1209,731,421.0,246,113,122,531,585,3172,51.0,11,12,9,13,6,6,6,7,5,5,6,7,7,9,6,5,5,6,13,5,11,12,12,7,6,7
ORL,Orlando Magic,"Fultz, Markelle",On,43,25,18,0.581,909.9383333333334,774,1625,0.476,196,551,0.356,307,416,0.738,209,604,813,479,280.0,176,70,87,336,367,2051,13.0,14,13,5,6,12,12,11,10,12,13,9,12,12,13,12,12,12,10,8,11,13,7,7,12,12,10
ORL,Orlando Magic,"Harris, Gary",On,54,35,19,0.648,1297.3466666666666,1098,2280,0.482,296,859,0.345,534,684,0.781,255,852,1107,669,368.0,223,136,129,541,589,3026,91.0,12,8,6,2,7,7,7,6,7,7,11,6,6,3,7,7,7,8,11,7,7,13,13,6,7,6
ORL,Orlando Magic,"Harris, Kevon",On,2,1,1,0.5,6.05,7,10,0.7,2,4,0.5,4,4,1.0,0,5,5,5,1.0,0,0,0,4,2,20,0.0,18,18,1,16,18,18,18,1,18,18,1,18,18,1,18,18,18,18,1,18,18,1,1,18,18,13
ORL,Orlando Magic,"Houstan, Caleb",On,59,31,28,0.525,815.335,653,1434,0.455,214,628,0.341,275,374,0.735,200,557,757,389,238.0,105,86,63,335,314,1795,-30.0,9,11,11,14,13,13,13,15,10,10,13,13,13,14,13,13,13,13,6,13,12,6,6,13,13,16
ORL,Orlando Magic,"Howard, Jett",On,18,9,9,0.5,66.51666666666667,47,107,0.439,20,64,0.313,26,37,0.703,11,55,66,33,28.0,8,6,5,24,27,140,4.0,16,16,3,16,17,17,17,16,17,17,18,16,17,16,17,17,17,17,2,17,17,2,2,16,17,11
